Gene = Mosmo
index = 688
Annotated 5SS: [  240 48702]
Annotated 3SS: [48488 52845]
SMsplice 5SS: [  240  9833 10066 18846 48702]
SMsplice 3SS: [ 9704  9915 18642 48488 52845]
top_k =  500
Partition function (log Z): -25.884159913370866

Sorted 5' Splice Sites (High to Low Probability):
Position 240: 0.9895811085599163
Position 9833: 0.7117311858623125
Position 10066: 0.43220646062885704
Position 10214: 0.2943078466906554
Position 4908: 0.223614728315866
Position 2855: 0.1925741640586283
Position 5250: 0.1128927652262315
Position 17071: 0.09144986062639128
Position 11728: 0.08782488838181397
Position 10009: 0.07546722271231548
Position 821: 0.06332842197260562
Position 4399: 0.05770334891031705
Position 13288: 0.05117106548700563
Position 16740: 0.04345738342522927
Position 14620: 0.03362721845287937
Position 10020: 0.030163416599692208
Position 82: 0.013320992910139858
Position 10622: 0.010957085118615048
Position 9126: 0.010809972473514581
Position 13072: 0.00943873612949423
Position 10695: 0.009016881011278333
Position 304: 0.008677237257880735
Position 11563: 0.007659320737537692
Position 12784: 0.007359343804276776
Position 9859: 0.006760882714693488
Position 4923: 0.006369439950130936
Position 18846: 0.006177448296214713
Position 2881: 0.005888413724132062
Position 869: 0.00563521662023799
Position 2020: 0.005586446094745245
Position 1559: 0.005577197400406921
Position 10230: 0.002896409294139823
Position 11732: 0.002842491572099388
Position 2550: 0.0016560422991665476
Position 105: 0.0011435970209452773
Position 281: 0.0006935719877941603
Position 4412: 0.000632386680565689
Position 4108: 0.0005203582024028752
Position 1923: 0.0004742427820405887
Position 1956: 0.0003776560353355773
Position 662: 0.0003559097214598181
Position 5103: 0.000350665468981675
Position 1149: 0.00030478270373986225
Position 6701: 0.0002611509672636898
Position 249: 0.00023937235944899318
Position 10236: 0.00014819687956880656
Position 1655: 0.00014478198016424918
Position 1258: 0.0001307946048790382
Position 2525: 0.00012768612564695542
Position 10130: 0.00011999844581063674
Position 1960: 9.533991869854943e-05
Position 112: 9.296447866528182e-05
Position 2791: 9.009835285596608e-05
Position 2109: 8.898683137238353e-05
Position 10089: 6.075834830017942e-05
Position 1319: 6.003495502673045e-05
Position 10121: 5.831579966485614e-05
Position 2164: 5.384046793480619e-05
Position 963: 4.497130970365583e-05
Position 874: 3.13724175118601e-05
Position 316: 1.0163869164138806e-05
Position 272: 9.962301297064821e-06
Position 266: 8.235864404166169e-06
Position 297: 4.2413035056427725e-06
Position 232: 2.1408216302365566e-06
Position 653: 2.057072673346343e-06
Position 4746: 2.038054497653663e-06
Position 596: 7.785052694953403e-07
Position 370: 6.619121630233524e-07
Position 377: 6.045417139266902e-07
Position 604: 6.012664216241109e-07
Position 598: 5.97139030292032e-07
Position 602: 5.79054996742643e-07
Position 600: 5.751750787494996e-07
Position 606: 5.477471947256337e-07
Position 368: 5.281937072187645e-07
Position 608: 4.296618460310137e-07
Position 508: 2.939442557509261e-07
Position 374: 2.1838595556856489e-07
Position 590: 2.0173579396450606e-07
Position 337: 2.7905353529996926e-10
Position 383: 2.562271023698853e-10
Position 344: 2.3290420494593383e-10
Position 162: 6.311343039273592e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 9915: 0.790010396682127
Position 16987: 0.7677270929115246
Position 9704: 0.6548787666755796
Position 2717: 0.17805306563779655
Position 4826: 0.1288507523582275
Position 9964: 0.10631408818237183
Position 11468: 0.10586837695084347
Position 5102: 0.09257076710472749
Position 18642: 0.08761351540083422
Position 722: 0.06275803626695675
Position 16656: 0.0625248241927241
Position 13184: 0.061267191799472515
Position 17674: 0.05638926906098261
Position 9623: 0.049082539674336595
Position 10595: 0.047261870655864874
Position 4314: 0.04642452061090863
Position 14435: 0.03516235462531553
Position 4839: 0.03151138339071925
Position 9681: 0.02056355915891619
Position 4759: 0.020311238303128608
Position 4978: 0.01353192800577282
Position 158: 0.013075602764192782
Position 11819: 0.012333082964501862
Position 4720: 0.011714044750878588
Position 2733: 0.011667163766917708
Position 9041: 0.010809972473514581
Position 12975: 0.010267178669129197
Position 10088: 0.010221324274396136
Position 4273: 0.01005085893853392
Position 4603: 0.008766502865534516
Position 4750: 0.008407261192564887
Position 4563: 0.008149281317192881
Position 9911: 0.008002665055080875
Position 12713: 0.007359343804276776
Position 11885: 0.006826686136238245
Position 19130: 0.0061774482962147345
Position 1862: 0.006051895356946325
Position 4907: 0.0047633241645089934
Position 4795: 0.00467037451252624
Position 4789: 0.004555354434591789
Position 2745: 0.00445933778407049
Position 757: 0.0036965155006198915
Position 5128: 0.003682117302512522
Position 5131: 0.0027897240467113886
Position 2583: 0.002492744523145031
Position 13438: 0.0021423074245174125
Position 1366: 0.002085589283111356
Position 4285: 0.0020409504137738964
Position 1381: 0.0017861997671693068
Position 2444: 0.0017749852341948456
Position 2550: 0.0016470566737930628
Position 661: 0.0011228929782261718
Position 198: 0.0009908406096616454
Position 4874: 0.0009294095138654644
Position 401: 0.000717952009100202
Position 3928: 0.0007142019882435546
Position 6547: 0.0006955893156396332
Position 1458: 0.0005705120379112315
Position 1937: 0.0004854605048982602
Position 2752: 0.0004775773552049754
Position 1005: 0.00047426616760618445
Position 10621: 0.00045224490878271166
Position 9251: 0.000442269673243914
Position 651: 0.0003983770555266589
Position 465: 0.0003910883845158262
Position 6619: 0.00032370439866614444
Position 10213: 0.0003147560443790174
Position 1267: 0.000298860983954037
Position 1476: 0.00029104120186289556
Position 677: 0.00021382832444967
Position 9481: 0.000181752801785108
Position 1492: 0.00017641952179335262
Position 10899: 0.00015284767250769922
Position 5842: 0.00014781570642280904
Position 1453: 0.00014781435045877058
Position 2417: 0.0001405430407380264
Position 686: 0.0001372156650421718
Position 1085: 0.00011490656512324768
Position 9300: 0.00010953631868757423
Position 8187: 0.00010757317069314816
Position 3540: 0.00010292127586135391
Position 1998: 0.00010010781438228388
Position 8697: 9.818964886849064e-05
Position 4566: 8.053986754798096e-05
Position 2635: 7.454747473911399e-05
Position 4948: 6.462728681873497e-05
Position 3740: 6.0949743232237164e-05
Position 2911: 5.7234186538961064e-05
Position 1468: 5.4410015665067445e-05
Position 4160: 5.0947817316136596e-05
Position 815: 4.250471644474793e-05
Position 1408: 4.176930837775614e-05
Position 3496: 4.1425242906624384e-05
Position 1175: 4.055943540530593e-05
Position 7746: 4.0086890544391534e-05
Position 1194: 3.667136556914093e-05
Position 2554: 3.646790474368342e-05
Position 1753: 3.565430577207774e-05
Position 2787: 3.2224122273629266e-05
Position 5638: 3.135981820234158e-05
Position 1336: 2.642351264099942e-05
Position 2926: 2.5601104455022215e-05
Position 3924: 2.4606554974460645e-05
Position 764: 2.3893130846696216e-05
Position 6360: 2.2753523241022725e-05
Position 5469: 2.2135711710810346e-05
Position 1889: 2.098222257826855e-05
Position 1306: 2.023086639882851e-05
Position 508: 1.9645461051571808e-05
Position 1190: 1.874290105332851e-05
Position 3825: 1.843286374352069e-05
Position 5870: 1.6195821286199245e-05
Position 5802: 1.5465240084941635e-05
Position 2028: 1.4689826522143613e-05
Position 1795: 1.3427848157463318e-05
Position 1413: 1.292834176296817e-05
Position 3373: 1.249365237652609e-05
Position 4406: 1.215126667632286e-05
Position 1357: 1.1592118809839158e-05
Position 1432: 1.1145186530584028e-05
Position 1338: 1.0776848026523542e-05
Position 1528: 9.987845470276534e-06
Position 1219: 9.966862971683206e-06
Position 2594: 7.160324626030044e-06
Position 1455: 6.988830152086939e-06
Position 820: 6.726203216317003e-06
Position 627: 6.623622707962189e-06
Position 3775: 6.617424566399446e-06
Position 1604: 5.9351298400116196e-06
Position 1563: 5.891509572561356e-06
Position 1404: 5.479463420259648e-06
Position 4195: 5.456723006655612e-06
Position 368: 4.921037813369564e-06
Position 3085: 4.19549534825992e-06
Position 1385: 4.1477083629587665e-06
Position 1877: 3.6111142634196754e-06
Position 1866: 3.405160858358387e-06
Position 1340: 3.3817224209229154e-06
Position 535: 3.0757566512598916e-06
Position 1292: 2.934465677664577e-06
Position 731: 2.7779652396257017e-06
Position 692: 2.7469138137536776e-06
Position 924: 2.4835985107517232e-06
Position 511: 2.1364267386807208e-06
Position 784: 2.6167843482304735e-08
Position 777: 6.700541154169234e-09
Position 1835: 3.4163899044656623e-09
Position 585: 2.3935609050917467e-09
Position 633: 1.5885378592379197e-09
Position 631: 1.4773975919632165e-09
Position 767: 3.9343005205544076e-10
Position 450: 2.1782942211332269e-10
Position 232: 3.272311691263279e-11
