Gene = Mad1l1
index = 656
Annotated 5SS: [    46   6563  10958  13962  17980  18638  21119  21338  25766  60055
 127639 177633 188784 204316 216038 232923 255739]
Annotated 3SS: [  6399  10816  13781  17854  18555  20987  21222  25703  59967 127493
 177491 188726 204226 215946 232714 255547 312277]
SMsplice 5SS: [    46   6563  10958  13962  17980  18638  21119  21338  25766  30236
  31857  60055  69599 127639 139368 141849 142164 159008 168556 170589
 177633 180188 188784 204316 209634 211921 216038 226075 226274 232923
 233368 240644 243804 250856 255739 284202 298667 305013 308799 310158]
SMsplice 3SS: [  6399  10748  13781  17854  18555  20987  21222  25661  30126  31632
  59967  69521 127493 139277 141754 141984 158890 168475 170500 177491
 180072 188726 204226 209513 211780 215946 225990 226177 232714 233279
 240511 243684 250767 255547 284092 298613 304921 308673 310067 312277]
top_k =  500
Partition function (log Z): -105.06682944580875

Sorted 5' Splice Sites (High to Low Probability):
Position 6563: 0.9991918483238114
Position 21119: 0.9879932847512121
Position 13962: 0.9857709822380616
Position 17980: 0.9843693350619453
Position 21338: 0.9128296300088542
Position 18638: 0.8975081614440652
Position 46: 0.8687093017989783
Position 10958: 0.8595601142777601
Position 31857: 0.7425073425001747
Position 25766: 0.7208890867705642
Position 30236: 0.6409753197741862
Position 13581: 0.4461683667792321
Position 14985: 0.4331734076219386
Position 18806: 0.4165173596545269
Position 414: 0.3085679904223439
Position 4418: 0.3056919685736593
Position 8063: 0.2858224863325097
Position 25770: 0.2594246303888718
Position 1569: 0.251744441157052
Position 15499: 0.24118001689200397
Position 15561: 0.2315852747713381
Position 2881: 0.22106042409201845
Position 2869: 0.1889314163464574
Position 2112: 0.18190178818703004
Position 11764: 0.10976421803736973
Position 3698: 0.10317097650977053
Position 24520: 0.10029716624991046
Position 7383: 0.0974547356747864
Position 29797: 0.08827496152626435
Position 21349: 0.08714658389561529
Position 15032: 0.08214597245896985
Position 12635: 0.07676377809560594
Position 9235: 0.07353515859793545
Position 11768: 0.07134206016060228
Position 15177: 0.06600854315491772
Position 2997: 0.061558775224200876
Position 25192: 0.0460917477862751
Position 987: 0.043045875074058326
Position 8260: 0.041728148652267066
Position 15147: 0.040814349407898305
Position 1307: 0.039400613201973356
Position 13524: 0.03504109019545516
Position 1210: 0.03366042138655016
Position 3565: 0.030999496796969075
Position 14630: 0.025993426412391094
Position 31414: 0.02485146915006271
Position 8316: 0.022934788291342212
Position 18444: 0.022091119708663794
Position 13676: 0.021624682832538784
Position 3067: 0.0204905740801668
Position 2217: 0.016648964893645268
Position 26163: 0.0146433728839562
Position 30260: 0.01436035138737444
Position 16831: 0.014168854508356497
Position 14005: 0.013926303215362994
Position 21079: 0.011659777589890159
Position 16777: 0.011476638732562272
Position 31769: 0.010605684850009739
Position 16791: 0.010467747728782874
Position 32295: 0.009108940485185603
Position 15326: 0.008459624425654006
Position 1718: 0.00836946789115382
Position 19783: 0.0078057603618353006
Position 12131: 0.007314912237159934
Position 30571: 0.007267935990398623
Position 13202: 0.006703600064702695
Position 105: 0.006456387591641814
Position 6079: 0.0063890124835577836
Position 17915: 0.006165548158442065
Position 15895: 0.006148879127365936
Position 2860: 0.0057919983952950185
Position 29739: 0.005009019288100499
Position 15198: 0.00487378501109962
Position 4031: 0.004580055310717949
Position 164: 0.004518328642043104
Position 34945: 0.004124167797154008
Position 14788: 0.0026152108172335783
Position 160: 0.0024447562509290212
Position 1091: 0.0023653447607541035
Position 31370: 0.0022987971369397868
Position 19056: 0.002279942319797976
Position 3364: 0.002238290937493322
Position 18684: 0.0018316255201145098
Position 12348: 0.0018161166930800057
Position 2130: 0.0017565685055741713
Position 7052: 0.0015992405909647045
Position 18248: 0.0012411221613108723
Position 11077: 0.0012186637419942222
Position 14957: 0.001145237908728002
Position 18478: 0.0009982758934882563
Position 12440: 0.0009816060755971035
Position 1079: 0.0008848307546468289
Position 363: 0.0008792178294647494
Position 18054: 0.0007256258068854671
Position 6979: 0.000679977362956753
Position 11466: 0.0006276310042491036
Position 18818: 0.000602773579520966
Position 11274: 0.0005472450491147592
Position 20357: 0.000502161053099084
Position 387: 0.00048341098171101487
Position 18074: 0.00043883336362922316
Position 169: 0.0004320690182454916
Position 766: 0.00043185340808891265
Position 20381: 0.00043161916639874553
Position 19074: 0.0003551035157439755
Position 351: 0.0003431397541150579
Position 192: 0.0002970775026026267
Position 640: 0.00029601387190738426
Position 17921: 0.0002631216327455806
Position 355: 0.00022231125194231222
Position 1820: 0.00018362119034587935
Position 228: 0.0001760517258296354
Position 21154: 0.0001630322735236222
Position 1585: 0.00014369986575205604
Position 21150: 0.00011450183251580156
Position 14515: 0.00010880722600725211
Position 6544: 0.00010454431543396643
Position 7056: 0.00010380317332068248
Position 7009: 9.942678834689772e-05
Position 1200: 9.931779595818909e-05
Position 241: 9.374709783780612e-05
Position 18659: 7.93456441586194e-05
Position 13911: 5.3191237421430815e-05
Position 58: 4.189217937187378e-05
Position 15064: 4.1615413556448446e-05
Position 201: 1.9215453011093225e-05
Position 129: 1.2896098501449664e-05
Position 444: 1.1521257893693097e-05
Position 324: 1.05148278677358e-05
Position 21033: 9.642977943277856e-06
Position 263: 9.409349707319847e-06
Position 345: 5.499338469849872e-06
Position 21047: 1.9236152590296577e-06
Position 243: 1.281186559365015e-06
Position 450: 1.2161009540338912e-06
Position 452: 1.1412753193957799e-06
Position 448: 1.0526332067036579e-06
Position 454: 9.496470550807004e-07
Position 199: 5.675690701708904e-07
Position 446: 2.68225352912929e-07
Position 367: 2.3789644305923372e-07
Position 456: 2.2163852849303638e-07
Position 604: 1.829628639310877e-07
Position 432: 1.0856012149641283e-07
Position 314: 6.718611894664027e-08
Position 458: 1.0178520116900645e-08
Position 425: 8.423762680267241e-09
Position 460: 6.305371091558063e-09
Position 462: 5.828361146941759e-09
Position 464: 5.4149875647013555e-09
Position 401: 4.48617540618611e-09
Position 466: 4.415078664295847e-09
Position 602: 1.9928680174886634e-09
Position 634: 9.2779516131371e-10
Position 395: 2.647544097120182e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 21222: 0.9929673341650176
Position 13781: 0.991933082869477
Position 17854: 0.9907890444826426
Position 20987: 0.9831777010550609
Position 6399: 0.9754686184703881
Position 18555: 0.9640395170378558
Position 25661: 0.895543620695052
Position 10748: 0.7794577936971097
Position 31632: 0.6964155704870622
Position 30126: 0.6579440627497457
Position 14882: 0.4913267493215329
Position 41322: 0.44593839863433193
Position 2779: 0.3575775015346409
Position 13471: 0.3321099389418476
Position 18724: 0.32177712988996354
Position 4319: 0.3056919685736606
Position 7881: 0.23628444723684983
Position 254: 0.195402397857549
Position 1993: 0.18355331826113944
Position 13430: 0.17072420086537904
Position 15236: 0.1587560645747122
Position 11595: 0.14142020751058065
Position 3490: 0.1303875627355672
Position 31687: 0.1260249784267565
Position 1470: 0.11278981902545962
Position 32214: 0.10744095583449262
Position 15397: 0.10608413465101539
Position 15358: 0.10090638579553471
Position 15058: 0.09260680686444928
Position 31824: 0.08712909417867908
Position 1443: 0.07788098770422572
Position 7291: 0.07750589419019997
Position 29652: 0.07070679847780914
Position 2714: 0.0588669103323787
Position 34681: 0.05641985711308227
Position 35628: 0.056066893238882615
Position 8139: 0.055925592839019926
Position 25703: 0.052086364861657734
Position 24254: 0.046529841351854666
Position 9180: 0.045709474971670966
Position 15265: 0.04445371626057624
Position 24412: 0.04214648816767149
Position 2986: 0.04070603594104707
Position 37155: 0.038504972610073886
Position 12504: 0.0370119391173832
Position 15461: 0.036325360416063414
Position 16716: 0.036113240969701775
Position 10816: 0.036105760807204124
Position 34734: 0.03391654985340239
Position 32398: 0.03382932660367027
Position 1164: 0.03326652883353885
Position 25610: 0.03320556014290899
Position 1396: 0.03205545809458757
Position 25145: 0.03034677658818484
Position 31265: 0.029469073312563803
Position 10693: 0.028431265628444523
Position 7904: 0.028377548820044524
Position 29738: 0.02662635720574724
Position 34712: 0.023956999800170513
Position 6402: 0.023827774168859478
Position 1413: 0.0233616798646245
Position 18777: 0.022803487040112213
Position 14624: 0.021199188601242945
Position 7294: 0.019827013907902192
Position 18340: 0.01917163418414972
Position 904: 0.018267497745696214
Position 12347: 0.01760234322791856
Position 15061: 0.01734006602855457
Position 14452: 0.017218560836323005
Position 15400: 0.016870695163209035
Position 10677: 0.016783957887002397
Position 1010: 0.01677833453198878
Position 11598: 0.015957881605942786
Position 28498: 0.015787750800900942
Position 15101: 0.015155763045827395
Position 9034: 0.014123026765500889
Position 12535: 0.013953265141104974
Position 25971: 0.012604364377138353
Position 20937: 0.012566603901454695
Position 24305: 0.011726012603512082
Position 1137: 0.011515741021044837
Position 24876: 0.011281420936524969
Position 2927: 0.011255970009553898
