Gene = Zranb1
index = 1207
Annotated 5SS: [  404 19294 35553 40198 41620 42482 50260 51359 51771]
Annotated 3SS: [18442 35364 40043 41547 42282 50138 51228 51540 52590]
SMsplice 5SS: [  404 29593 35553 40198 41620 46501 50260 51771]
SMsplice 3SS: [29468 35364 40043 41547 46396 50138 51540 53754]
top_k =  500
Partition function (log Z): -31.983909434445117

Sorted 5' Splice Sites (High to Low Probability):
Position 404: 0.584853448074121
Position 18: 0.2535312299099669
Position 911: 0.23862050368545284
Position 4874: 0.0815978018574492
Position 3064: 0.07895711051763878
Position 13049: 0.041483182395309
Position 2432: 0.027860921003833094
Position 1486: 0.02688427989426262
Position 712: 0.010000557772354238
Position 3174: 0.009126393258385821
Position 1331: 0.005413021619035122
Position 1445: 0.004459822324632293
Position 3616: 0.002916981897797299
Position 5848: 0.002644836997365807
Position 2017: 0.0024314719609565705
Position 6051: 0.0019300437145113236
Position 716: 0.001554431694939649
Position 3626: 0.0014082162820571295
Position 706: 0.001166513386332199
Position 3599: 0.0010121591024693202
Position 2061: 0.0007376512737541702
Position 1354: 0.0005938799462652803
Position 1909: 0.00045188063535398713
Position 938: 0.00018587362962482084
Position 1597: 0.00014583400355450629
Position 30: 0.00012433172912733814
Position 3085: 0.00010852437499208481
Position 369: 9.941762734758734e-05
Position 739: 6.442796023164154e-05
Position 227: 5.2916063690325054e-05
Position 44: 4.678655369014759e-05
Position 267: 4.3942391523066884e-05
Position 714: 3.097602474584999e-05
Position 720: 3.069593097244979e-05
Position 1836: 2.804873048849519e-05
Position 1763: 2.5049424583874776e-05
Position 1896: 2.465100568111297e-05
Position 1460: 1.858614126634017e-05
Position 63: 1.8545242563122382e-05
Position 539: 1.78703248368075e-05
Position 47: 1.6596634319744874e-05
Position 472: 1.4785032289509863e-05
Position 772: 1.2411739652859904e-05
Position 80: 1.213364988868406e-05
Position 1497: 1.2006367137782959e-05
Position 450: 1.152375660935745e-05
Position 776: 1.0140889073987321e-05
Position 1947: 9.915583907885189e-06
Position 762: 8.66699943273124e-06
Position 1859: 7.490644415615926e-06
Position 1116: 7.366107757058455e-06
Position 418: 6.398607323805472e-06
Position 647: 4.885415481333647e-06
Position 556: 4.188696667508659e-06
Position 102: 3.998873272343055e-06
Position 942: 2.5476854454549535e-06
Position 1157: 2.5255470291082314e-06
Position 863: 2.2933248437483974e-06
Position 542: 2.2169254086508497e-06
Position 121: 2.1903079820366265e-06
Position 510: 2.1788245041020587e-06
Position 2319: 2.1612699244694114e-06
Position 334: 2.104700429123501e-06
Position 326: 1.958132970955717e-06
Position 782: 1.277845710419856e-06
Position 313: 1.2656693091182123e-06
Position 143: 1.141531707831113e-06
Position 35: 1.0833172259427532e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 16901: 0.5281190086529883
Position 7407: 0.1289494312361856
Position 4746: 0.10690235292225718
Position 2947: 0.05525877130334951
Position 12787: 0.051374174339272966
Position 853: 0.04980936387853019
Position 3385: 0.04614747905306712
Position 2237: 0.04380039028454109
Position 1288: 0.040401964230347184
Position 16485: 0.038854692517534734
Position 2979: 0.034742145009474736
Position 6631: 0.03113130895847922
Position 5812: 0.02716013565590921
Position 634: 0.0228232576176375
Position 3428: 0.018978685919198286
Position 575: 0.012767506563879361
Position 7372: 0.011721304361867345
Position 1208: 0.010684105348254697
Position 2272: 0.010475159347223697
Position 1298: 0.009646247047205781
Position 10694: 0.008881625588805597
Position 9669: 0.008346401845781712
Position 5691: 0.006843942461255346
Position 7767: 0.005595394004959301
Position 8141: 0.0050741640754701015
Position 8437: 0.005043029741940633
Position 2700: 0.004538999548626854
Position 772: 0.0043217155510807785
Position 4620: 0.004201481995707834
Position 3013: 0.0039752878185011645
Position 4275: 0.0035127641673557866
Position 2387: 0.0032486263178385
Position 742: 0.0029080277823732427
Position 1835: 0.0025804126778525335
Position 6882: 0.00250455679499973
Position 7676: 0.002458793169948765
Position 739: 0.0019455440542877037
Position 5047: 0.001936697210426314
Position 3061: 0.0019147607203863866
Position 5835: 0.0018793172172258882
Position 1736: 0.0017477216176448726
Position 2891: 0.0014431637209294077
Position 8456: 0.001275521131095645
Position 6420: 0.0012609341597227398
Position 2430: 0.001042895264879862
Position 1888: 0.0008828023964981728
Position 861: 0.0008526338858715776
Position 2346: 0.0008352861406499169
Position 5530: 0.0008104659926441034
Position 1406: 0.0007605200941533379
Position 174: 0.0006248000290929277
Position 4578: 0.0005700267414623453
Position 1022: 0.0005307597431053147
Position 5514: 0.00047622701352823633
Position 128: 0.0004721499692794901
Position 599: 0.0004642024065790652
Position 4984: 0.0004620130614256786
Position 3778: 0.0004368674235245514
Position 3976: 0.0004182914160243612
Position 651: 0.00037207834477345937
Position 5408: 0.00035754783794462785
Position 994: 0.0003483893294553696
Position 4931: 0.0003403187290406192
Position 1371: 0.0002693955249900396
Position 5467: 0.000267295634299816
Position 5192: 0.0002438113945444656
Position 1696: 0.00022303135935785806
Position 3036: 0.000195870859706442
Position 4307: 0.00018605858856952863
Position 2787: 0.0001672003009114037
Position 117: 0.00015129810929152092
Position 2737: 0.0001270685201823341
Position 151: 9.5826244654478e-05
Position 2207: 9.464866299433567e-05
Position 1255: 8.500503577827412e-05
Position 508: 6.406498124612956e-05
Position 1380: 4.927504298905459e-05
Position 1373: 4.6298978898032054e-05
Position 485: 4.4532705006851373e-05
Position 893: 3.924495481362347e-05
Position 1962: 3.4520241386714235e-05
Position 1928: 3.3988780711543645e-05
Position 245: 2.514660116786336e-05
Position 2362: 2.2012906712107887e-05
Position 294: 2.1436094752104386e-05
Position 3072: 2.1283964652148216e-05
Position 605: 1.6779357932502258e-05
Position 1895: 1.37084611158556e-05
Position 252: 1.2788707385374898e-05
Position 1947: 1.2347295892868207e-05
Position 288: 7.495612399083022e-06
Position 238: 7.414849445314044e-06
Position 334: 6.97987547209312e-06
Position 102: 6.766513440174728e-06
Position 531: 6.42350440212142e-06
Position 284: 3.642778602584431e-06
Position 1392: 3.4009167264981496e-06
Position 262: 2.897640893651643e-06
Position 1747: 2.5201610937191037e-06
Position 201: 2.475696154849158e-06
Position 1109: 1.833182737229552e-06
Position 482: 1.8135620066025252e-06
Position 1635: 1.6010345586366687e-06
Position 593: 1.333094784346029e-06
Position 706: 1.0152667288174824e-06
Position 869: 9.443044658395553e-07
Position 259: 6.657887452747224e-07
Position 1659: 6.470582439769654e-07
