Gene = Pth2
index = 874
Annotated 5SS: [197 427]
Annotated 3SS: [295 602]
SMsplice 5SS: [197]
SMsplice 3SS: [295]
top_k =  500
Partition function (log Z): -6.219707046772699

Sorted 5' Splice Sites (High to Low Probability):
Position 197: 0.756407545339421
Position 427: 0.582222959385724
Position 152: 0.11215256172203104
Position 146: 0.07335168707671835
Position 167: 0.047946539214198156
Position 396: 0.02503598179982459
Position 417: 0.010682238267350852
Position 431: 0.003209166936981891
Position 209: 0.0028631484176588847
Position 296: 0.0009937539825796678
Position 97: 0.000877087916899009
Position 204: 0.0008692463709949936
Position 438: 0.000854752721271042
Position 433: 0.0004025174396858686
Position 92: 0.00023272933527532144
Position 228: 0.00021580334118252687
Position 87: 0.00015761610367795163
Position 398: 0.00014703001715491102
Position 525: 0.0001293676687962317
Position 18: 0.00011599018539724147
Position 368: 0.0001088565724632849
Position 340: 7.243576599936824e-05
Position 286: 4.453915343114949e-05
Position 125: 3.205152201015574e-05
Position 421: 2.9420359022181948e-05
Position 8: 2.329639269091381e-05
Position 316: 2.207061253170372e-05
Position 220: 1.9719204114990798e-05
Position 22: 1.4850439776990693e-05
Position 558: 1.0267013409695238e-05
Position 509: 7.0981945582979185e-06
Position 565: 5.900685939317775e-06
Position 419: 4.94935337148417e-06
Position 534: 4.740580015571236e-06
Position 24: 1.4120617315337586e-06
Position 545: 1.2130511130493933e-06
Position 236: 3.863224470746308e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 295: 0.9892245007136964
Position 602: 0.3827191744339518
Position 659: 0.23565752247058386
Position 246: 0.002506267771473824
Position 575: 0.0018126324728792843
Position 693: 0.0015372029515294803
Position 426: 0.0014494500495402
Position 545: 0.0013827702351238177
Position 483: 0.0009066193299749491
Position 670: 0.0008379379422968319
Position 641: 0.0003569831895495406
Position 750: 0.0002889780427015124
Position 720: 0.00016163685895758667
Position 487: 8.261377196368315e-05
Position 395: 5.77627169686787e-05
Position 313: 5.263096668246139e-05
Position 430: 4.71159435264704e-05
Position 492: 3.93819391003935e-05
Position 522: 3.4769218084556163e-05
Position 273: 3.4724287260868726e-05
Position 321: 2.4198978157723515e-05
Position 753: 1.4764885463592832e-05
Position 466: 8.200109556553412e-06
Position 461: 5.76829768793366e-06
Position 532: 4.199912832034858e-06
Position 464: 3.7231347007801432e-06
Position 509: 3.4791827978775747e-06
Position 304: 2.8247173355589796e-06
Position 454: 2.6626839340256256e-06
Position 212: 2.5292378062097177e-06
Position 324: 1.951373384909607e-06
Position 226: 1.6700999028251564e-06
Position 517: 9.86066990401807e-07
Position 114: 7.384822384239077e-07
Position 457: 6.813853031112887e-07
Position 437: 6.710214626780168e-07
Position 332: 6.141845006910753e-07
Position 334: 1.6360423583710545e-07
Position 85: 2.701304432034526e-08
Position 200: 8.198143289858153e-09
Position 215: 5.806514916175798e-09
Position 97: 1.8279821882932956e-09
Position 162: 9.8431354026053e-10
Position 176: 8.628893421932987e-10
Position 171: 3.8635112547379697e-10
Position 150: 2.3925216026087584e-10
Position 185: 8.560099235673093e-11
