gene,5ss,3ss,PSI
AT1G01010,975,854,99.98697674418605
AT1G01020,1189,1142,93.7469318181818
AT1G01020,1567,1480,99.96551724137932
AT1G01020,1974,1897,99.97344827586207
AT1G01040,5390,5291,99.82966666666667
AT1G01040,5665,5473,99.962
AT1G01040,6650,5743,100.0
AT1G01040,2788,2664,100.0
AT1G01040,3597,3445,100.0
AT1G01050,625,500,99.98988888888888
AT1G01050,1239,1172,99.99044444444444
AT1G01050,1479,1357,99.88022222222223
AT1G01060,1248,1185,99.92696629213484
AT1G01100,328,246,99.99933333333334
AT1G01100,792,578,99.98488888888889
AT1G01110,1231,984,99.97452380952382
AT1G01140,2516,2407,100.0
AT1G01140,2875,2817,99.97897727272726
AT1G01140,791,727,99.91295454545455
AT1G01140,1176,1067,99.99202247191012
AT1G01140,1364,1282,99.98483146067417
AT1G01160,1039,929,99.99777777777777
AT1G01340,3101,2705,99.974
AT1G01340,2284,2171,100.0
AT1G01360,770,553,99.97622222222223
AT1G01370,739,703,99.92454545454547
AT1G01370,1516,1437,100.0
AT1G01370,1719,1642,99.99770114942528
AT1G01480,633,500,100.0
AT1G01480,1047,885,85.25289473684212
AT1G01510,1270,1138,99.96466666666666
AT1G01510,2320,2271,99.95688888888888
AT1G01560,1018,879,100.0
AT1G01580,1150,954,100.0
AT1G01580,1625,1389,100.0
AT1G01620,1373,1231,99.99988888888889
AT1G01620,1148,851,99.99988888888889
AT1G01650,1041,881,99.93077777777778
AT1G01650,2708,2544,99.989
AT1G01650,2971,2916,99.98644444444446
AT1G01650,3377,3283,99.9918888888889
AT1G01650,3656,3512,99.95011111111111
AT1G01650,4358,4286,99.9418888888889
AT1G01650,1233,1120,99.986
AT1G01650,1477,1356,99.92366666666668
AT1G01650,2061,1877,99.9841111111111
AT1G01650,2188,2152,99.91799999999999
AT1G01670,904,789,99.90639344262296
AT1G01690,1508,1454,100.0
AT1G01690,1986,1922,99.81954022988505
AT1G01690,2104,2061,99.97402298850575
AT1G01780,576,552,99.98921348314607
AT1G01790,5037,4886,99.99355555555556
AT1G01790,5427,5367,99.96277777777777
AT1G01790,5997,5819,100.0
AT1G01790,2931,2870,100.0
AT1G01790,3165,3044,99.98818181818181
AT1G01790,3361,3291,99.99625
AT1G01790,3505,3438,99.99896551724137
AT1G01790,3827,3736,99.95377777777777
AT1G01820,803,590,99.76933333333334
AT1G01820,1234,1158,99.99897727272727
AT1G01820,1553,1471,99.97588888888889
AT1G01860,526,375,100.0
AT1G01860,964,867,99.17944444444444
AT1G01860,1273,1219,96.661
AT1G01880,1394,1222,99.975
AT1G01940,955,792,99.99777777777777
AT1G01940,1531,1371,99.99811111111111
AT1G01950,850,726,100.0
AT1G01950,2198,2108,99.99318181818181
AT1G01950,2729,2620,99.55555555555556
AT1G01950,2944,2808,99.92224719101124
AT1G01950,3833,3739,100.0
AT1G01950,4320,4193,100.0
AT1G01950,1706,1551,99.88269662921348
AT1G01950,2008,1857,100.0
AT1G01960,1997,1678,99.92674157303371
AT1G01960,3014,2590,99.9912359550562
AT1G01960,3442,3148,99.93611111111112
AT1G01960,4008,3733,99.9768888888889
AT1G01960,4784,4283,100.0
AT1G02010,817,737,100.0
AT1G02010,3809,3587,100.0
AT1G02090,583,506,100.0
AT1G02090,759,669,99.99255555555555
AT1G02090,1093,1047,99.9958888888889
AT1G02090,1541,1401,99.99855555555554
AT1G02120,529,477,99.32866666666666
AT1G02120,2055,2013,99.87022222222222
AT1G02120,2276,2187,99.96177777777777
AT1G02120,2838,2770,99.77555555555554
AT1G02120,3422,3378,99.96833333333333
AT1G02120,3705,3492,99.99833333333333
AT1G02120,668,601,99.88644444444444
AT1G02120,1175,1103,99.91444444444446
AT1G02130,459,410,99.91277777777779
AT1G02130,597,548,99.87611111111111
AT1G02130,756,683,99.98577777777777
AT1G02130,1195,1090,99.99855555555554
AT1G02140,686,508,99.89733333333334
AT1G02145,354,311,98.91566666666667
AT1G02145,2390,2302,99.92877777777778
AT1G02145,2548,2479,99.6708888888889
AT1G02145,2790,2720,99.95033333333332
AT1G02145,717,629,100.0
AT1G02145,1166,1047,98.69172413793103
AT1G02145,1352,1292,99.33258426966293
AT1G02205,463,238,99.98528571428572
AT1G02205,2344,2235,99.99902777777778
AT1G02220,870,722,100.0
AT1G02230,926,793,100.0
AT1G02280,1202,936,100.0
AT1G02280,1372,1302,99.999
AT1G02280,1615,1452,99.98466666666666
AT1G02310,1329,1148,99.95459016393441
AT1G02310,1811,1687,99.9884375
AT1G02340,1149,1082,99.97706666666666
AT1G02400,2263,1919,100.0
AT1G02410,1035,981,99.98644444444443
AT1G02430,770,649,100.0
AT1G02440,584,463,99.29548387096774
AT1G02560,589,468,99.98733333333332
AT1G02560,794,678,100.0
AT1G02560,1550,1514,99.88655555555556
AT1G02580,3870,3791,99.96555555555557
AT1G02640,1936,1765,100.0
AT1G02690,1109,976,99.99348314606742
AT1G02690,1842,1762,99.53146067415732
AT1G02690,2307,2178,99.963
AT1G02740,547,492,97.51670454545456
AT1G02740,1766,1685,100.0
AT1G02740,2135,1964,100.0
AT1G02780,719,595,99.99855555555554
AT1G02840,366,273,99.9831111111111
AT1G02840,1530,1472,99.95100000000001
AT1G02840,527,460,99.97366666666667
AT1G02840,744,668,99.98522222222222
AT1G02840,1109,1061,99.95522222222223
AT1G02850,391,326,99.97974683544304
AT1G02850,1945,1915,99.94493670886075
AT1G02850,2111,2022,99.97312500000001
AT1G02850,675,598,99.98064102564102
AT1G02860,843,594,99.98651685393257
AT1G02860,1586,1447,99.99078651685393
AT1G02860,1743,1683,99.95688888888888
AT1G02910,1629,1470,99.9847777777778
AT1G02910,2083,1981,99.64044444444444
AT1G02910,825,720,99.90644444444445
AT1G03000,1540,1295,99.98550561797752
AT1G03000,3982,3709,99.96386363636363
AT1G03000,4203,4057,99.9956179775281
AT1G03000,4380,4295,99.93055555555556
AT1G03000,2262,2080,99.55494382022471
AT1G03055,595,448,98.90178082191781
AT1G03055,903,840,98.40584615384616
AT1G03055,1163,1055,99.9918309859155
AT1G03060,855,768,99.79211764705882
AT1G03060,11885,11575,99.99370786516855
AT1G03060,12575,12427,99.98224719101124
AT1G03060,1340,1282,100.0
AT1G03060,2211,2144,100.0
AT1G03080,745,681,93.74081395348837
AT1G03090,2252,2139,99.83222222222221
AT1G03090,2507,2401,99.97388888888888
AT1G03090,3660,3545,99.99255555555555
AT1G03090,4003,3756,99.88288888888889
AT1G03090,4173,4075,99.942
AT1G03090,959,810,99.96722222222222
AT1G03090,1664,1603,95.67134831460675
AT1G03110,704,538,99.99422222222222
AT1G03110,2112,2050,99.83455555555554
AT1G03110,1227,1169,99.98666666666666
AT1G03110,1382,1310,99.97244444444445
AT1G03110,1629,1549,100.0
AT1G03160,2806,2718,99.87244444444443
AT1G03160,1318,1248,100.0
AT1G03190,3629,3551,100.0
AT1G03190,4025,3915,100.0
AT1G03190,2444,2249,100.0
AT1G03270,2944,2896,99.37261363636365
AT1G03270,3109,3047,100.0
AT1G03270,1351,1266,99.50170454545452
AT1G03330,644,484,99.99719101123596
AT1G03360,631,584,99.88056818181818
AT1G03360,971,904,99.76775280898876
AT1G03380,1467,1001,99.98277777777778
AT1G03380,3461,2632,99.88888888888889
AT1G03380,4039,3910,100.0
AT1G03380,4645,4152,99.99033333333334
AT1G03430,921,848,100.0
AT1G03445,3843,3757,100.0
AT1G03475,813,736,99.98822222222223
AT1G03475,1434,1345,99.97888888888887
AT1G03475,1855,1755,99.98788888888889
AT1G03530,1622,1543,99.9147191011236
AT1G03550,589,525,100.0
AT1G03550,732,697,98.56390804597703
AT1G03550,1079,1015,99.97886363636363
AT1G03590,2364,2245,99.6943820224719
AT1G03630,425,325,99.9962962962963
AT1G03630,1488,1131,99.999125
AT1G03780,947,785,99.87413333333333
AT1G03780,2752,2619,100.0
AT1G03780,2916,2834,99.99493150684931
AT1G03780,3593,3483,99.9621052631579
AT1G03780,1630,1515,99.18813333333333
AT1G03780,2287,2205,99.50535211267606
AT1G03860,809,634,100.0
AT1G03860,1018,900,99.98655555555557
AT1G03880,791,527,99.99974999999999
AT1G03880,1532,1102,99.99380952380952
AT1G03890,721,454,100.0
AT1G03890,1262,850,99.99973684210526
AT1G03905,807,645,99.77865168539326
AT1G03905,1006,953,99.54855555555554
AT1G03905,1233,1095,99.97044943820224
AT1G03910,620,310,100.0
AT1G03910,2903,2617,99.9721111111111
AT1G03910,1162,1061,100.0
AT1G03960,2575,2426,99.30383720930234
AT1G03960,2798,2687,99.7891011235955
AT1G03960,1221,1114,99.88366666666667
AT1G03980,2505,2328,99.92070422535211
AT1G04010,3078,2982,99.43055555555556
AT1G04010,4021,3851,100.0
AT1G04020,2593,2501,100.0
AT1G04020,1884,1782,99.95386666666667
AT1G04050,3149,3097,99.71821428571428
