ID,5SS,3SS
AT1G01010,283;646;975;1465,364;854;1074;1807
AT1G01020,714;895;1189;1369;1567;1747;1974,665;804;1142;1480;1679;1897
AT1G01040,1240;1547;2020;2328;2582;2788;3037;3361;3597;3866;4298;5016;5390;5665;6650;6896;7401,1125;1335;1624;2107;2408;2664;2875;3126;3445;3682;4201;4386;5291;5473;5743;6730;6993
AT1G01050,143;625;741;1084;1239;1479;1651,500;711;975;1172;1357;1568
AT1G01060,849;1062;1248;2142;2305;3471,472;949;1185;1907;2223;2396;3543
AT1G01110,778;1231;1672,480;984;1530
AT1G01140,302;791;948;1176;1364;1519;1887;2063;2295;2516;2725;2875;3056,727;875;1067;1282;1464;1760;1972;2168;2407;2607;2817;3149
AT1G01160,807;1039;1384,729;929;1130
AT1G01220,729;1160;1592;1830;2940;3734,400;927;1226;1702;1928;3014
AT1G01290,,
AT1G01340,737;1343;2014;2284;2622;3101,819;1422;2171;2384;2705
AT1G01370,489;621;739;863;1071;1516;1719,444;574;703;825;957;1437;1642
AT1G01380,497,408;600
AT1G01430,995,710;1066
AT1G01460,699;951;1152;1435;1604;1755;1949;2202,477;787;1040;1246;1511;1706;1852;2062;2291
AT1G01510,1032;1270;2176;2320;2531,865;1138;1383;2271;2416
AT1G01520,591;851;1068;1285;1482,532;729;932;1170;1371
AT1G01560,398;801;1018;1489;1833,670;879;1155;1648
AT1G01580,872;1150;1625;2385;2723;3579,768;954;1389;2056;2478;2859
AT5G67590,317;553;867;1078,463;736;1047;1384
AT1G01610,407;801;1730,484;1254;1991
AT1G01660,255;490;721;899;1165;1398;1960;2352,412;589;793;983;1259;2030;2460
AT1G01670,178;904;1285;1550;1798;2020;2719,789;1180;1418;1692;1871;2307
AT1G01680,250;864;1079;1274;1492;1710,759;947;1171;1361;1586
AT1G01690,613;850;1071;1508;1783;1986;2104;2236;2360;2514;2747;2926,692;1454;1587;1922;2061;2178;2317;2457;2598;2840;3039
AT1G01700,487;695;946;1498;1926,577;790;1032;1580;2000
AT1G01780,293;471;576;773,370;552;682
AT1G01790,2002;2274;2458;2784;2931;3165;3361;3505;3827;4156;4372;4742;5037;5243;5427;5745;5997;6146;6303,371;2101;2366;2646;2870;3044;3291;3438;3736;4050;4242;4531;4886;5188;5367;5677;5819;6088;6227
AT1G01820,322;803;1234;1384;1553;1709;1973,590;1158;1308;1471;1633;1798;2085
AT1G01860,526;764;964;1137;1273;1431,375;607;867;1051;1219;1346;1502
AT1G01880,1145;1394;1653;2101;2649,967;1222;1470;1735;2181
AT1G01940,199;397;955;1531,321;792;1371
AT1G01950,635;850;1139;1437;1706;2008;2198;2488;2729;2944;3177;3356;3652;3833;4058;4320;4546;4777,533;726;952;1214;1551;1857;2108;2283;2620;2808;3044;3306;3504;3739;3931;4193;4401;4647
AT1G01960,1496;1997;2494;3014;3442;4008;4784;5189;5637;6379,1678;2138;2590;3148;3733;4283;4866;5278;5728
AT1G02010,444;631;817;962;1276;1543;1897;2063;2324;2473;2747;2960;3143;3337;3506;3809;3996;4178,387;548;737;910;1413;1725;1978;2224;2401;2649;2833;3046;3219;3427;3587;3904;4087
AT1G02065,1651,1513;1776
AT1G02090,583;759;958;1093;1270;1541;2225,506;669;1047;1198;1401;2135
AT1G02120,400;529;668;846;1037;1175;1410;2055;2276;2463;2658;2838;3025;3278;3422;3705,339;477;601;749;919;1103;1251;2013;2187;2375;2602;2770;2924;3215;3378;3492;3794
AT1G02130,325;459;597;756;989;1195,251;410;548;683;832;1090;1472
AT1G02145,243;354;511;717;886;1166;1352;1533;1711;1919;2193;2390;2548;2790;2951;3222;3539;3730,156;311;464;629;829;1047;1292;1460;1646;1814;2120;2302;2479;2720;2867;3121;3472;3635
AT1G02170,1127;1340;1632,795;1218;1415;1702
AT1G02205,130;463;782;1147;2142;2344;2644;2886;3161,238;548;926;1765;2235;2442;2777
AT1G02220,652;870;1259;1473,403;722;943;1349;1620
AT1G02230,646;926;1273;1473,382;793;1005;1358;1598
AT1G02250,154;508;777;1138;1342,244;635;879;1224
AT1G02280,276;488;713;1202;1372;1615,167;379;587;936;1302;1452
AT1G02310,1329;1811;2100,1148;1687;1890
AT1G02340,695;923;1149,327;793;1082;1632
AT1G02410,455;879;1035;1234;1428;1599,562;981;1160;1322;1517
AT1G02440,227;391;584;796,313;463;655;884
AT1G02520,140;1302;1603;4042;4386;4774,1125;1380;3774;4121;4473;4855
AT1G02530,900;1224;3327;3667;4038;4429,723;1001;1300;3399;3773;4128
AT1G02560,589;794;980;1114;1269;1550;1740,468;678;886;1067;1195;1514;1650;1870
AT1G02580,330;1231;1503;1668;1905;2042;2207;2440;2642;2939;3147;3319;3449;3707;3870,239;898;1328;1579;1778;1993;2137;2290;2514;2729;3014;3236;3400;3577;3791
AT1G02640,680;1694;1936;2123,1414;1765;2024
AT1G02680,562;691;932;1094,444;652;871;1018;1189
AT1G02690,697;885;1109;1426;1683;1842;2061;2307,599;792;976;1239;1515;1762;1931;2178
AT1G02730,2086,1274
AT1G02740,547;653;973;1264;1479;1766;2135;2308,492;638;826;1222;1373;1685;1964;2222;2386
AT1G02750,266;637;1190,490;1111;1285
AT1G02790,707;1299,403;794
AT1G02800,955;1243;1510;1783;1992;2238,747;1041;1416;1620;1885;2073;2524
AT1G02840,366;527;744;976;1109;1254;1381;1530;1831;2683;2856,273;460;668;842;1061;1195;1330;1472;1606;2778
AT1G02850,199;391;529;675;832;1014;1539;1844;1945;2111;2302,326;472;598;759;925;1097;1622;1915;2022;2210
AT1G02860,843;1216;1586;1743,594;936;1447;1683;1833
AT5G55630,1244,
AT1G02910,361;825;1075;1390;1629;1900;2083;2284,720;938;1157;1470;1710;1981
AT1G02940,531;676,387;626
AT1G02950,358;610,214;560
AT1G02970,719;860;1399;1575;1772;1922;2189;2640,657;792;1134;1506;1661;1880;2033;2285
AT1G02980,834;1163;1514;1701;1929;2131;2371;2638;2905;3125,733;928;1231;1610;1787;2007;2217;2460;2742;2980
AT1G03000,1218;1540;1904;2262;2676;3129;3410;3625;3982;4203;4380,581;1295;1761;2080;2486;2846;3250;3501;3709;4057;4295
AT1G03040,1131;1363;1601,1007;1296;1534
AT1G03055,595;766;903;1163;1617,448;672;840;1055;1523
