Gene = Fgop2
index = 1164
Annotated 5SS: [156]
Annotated 3SS: [219]
SMsplice 5SS: [156]
SMsplice 3SS: [219]
top_k =  500
Partition function (log Z): -9.11622381922962

Sorted 5' Splice Sites (High to Low Probability):
Position 156: 0.9860913422020963
Position 170: 0.01008937047107264
Position 491: 0.009284395744689379
Position 1454: 0.003611565931865899
Position 413: 0.0024074051524402454
Position 1259: 0.0020105832351741894
Position 1244: 0.0017424645971754478
Position 1377: 0.0016358782139615953
Position 1822: 0.0015214520832956132
Position 430: 0.0010289392530717471
Position 994: 0.000848953625392636
Position 683: 0.0006094306968550383
Position 912: 0.0005856909408448456
Position 629: 0.0004445159273358047
Position 1612: 0.000427861401785752
Position 1638: 0.00037243450734915373
Position 1480: 0.00033145760819517896
Position 604: 0.0002535063039923363
Position 1882: 0.0002205997842715869
Position 1584: 0.0002108533284121404
Position 1089: 0.00016634812722937523
Position 1223: 0.00014717033995206378
Position 867: 8.813683641850241e-05
Position 350: 7.526546631505526e-05
Position 643: 7.03784071917224e-05
Position 1597: 6.298589445956602e-05
Position 1592: 4.785017189057745e-05
Position 30: 4.056318633469185e-05
Position 1511: 2.6029425149105792e-05
Position 1262: 2.0429562626781577e-05
Position 983: 1.9186604642568875e-05
Position 1071: 1.783185512267437e-05
Position 620: 1.0046706640887945e-05
Position 46: 6.980108207473937e-06
Position 184: 6.7084745381302355e-06
Position 73: 3.8584510113618015e-06
Position 959: 3.87195278634914e-07
Position 744: 3.8411451411837776e-07
Position 841: 3.284732529291451e-07
Position 1682: 3.016581377911344e-07
Position 746: 1.9343007013691668e-07
Position 1252: 1.468675185186392e-07
Position 1002: 1.3101514914053412e-07
Position 1091: 1.2989856862225403e-07
Position 52: 8.015015655207855e-08
Position 116: 7.02138802862318e-08
Position 1022: 3.326754967353664e-08
Position 49: 2.994010788368709e-08
Position 201: 1.3350306415630215e-08
Position 11: 7.007184496817157e-09
Position 308: 5.21767824736109e-09
Position 219: 4.9068753508605885e-09
Position 295: 4.0482221613375225e-10
Position 210: 3.770721189021883e-10
Position 345: 3.17930692728103e-10
Position 579: 3.00606005331045e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 219: 0.9752113432092977
Position 228: 0.008034190604013124
Position 1734: 0.006184246377885907
Position 1316: 0.004324762986894384
Position 682: 0.004132827333668575
Position 1672: 0.0033425178645474
Position 1626: 0.002760599974439064
Position 225: 0.002576490680569658
Position 1737: 0.0025404543541121083
Position 1157: 0.0021904573292023393
Position 334: 0.0018169806752716794
Position 1887: 0.0013036340538991808
Position 508: 0.0011545996678968516
Position 1658: 0.0011035739804400408
Position 1768: 0.0008786814411159804
Position 1058: 0.0008019014743948787
Position 505: 0.0007791445905285993
Position 475: 0.0006584387710937085
Position 556: 0.0005825856053139498
Position 841: 0.0005284501245221242
Position 1936: 0.0003712692736503132
Position 231: 0.0003652063836955676
Position 991: 0.0003640989736552666
Position 316: 0.00034449769433654424
Position 1592: 0.00032886271573110993
Position 291: 0.0003209200692008363
Position 1882: 0.00027393272610370695
Position 1595: 0.0002560901844910678
Position 1972: 0.00021885373387865845
Position 1642: 0.00019173828426180778
Position 766: 0.0001655378308295936
Position 2054: 8.49769700039542e-05
Position 1776: 6.733226426459626e-05
Position 2051: 6.435128271755405e-05
Position 522: 5.612606511584365e-05
Position 198: 4.9378567825305615e-05
Position 539: 3.768647577546312e-05
Position 655: 2.4248162235031333e-05
Position 790: 1.134889767925207e-05
Position 541: 1.0292965022544294e-05
Position 725: 8.55895855814802e-06
Position 628: 7.099265862305196e-06
Position 345: 6.3374280490977155e-06
Position 648: 6.06047473794869e-06
Position 355: 2.0638993069664183e-08
Position 436: 2.7087058523968346e-09
Position 125: 2.309003343887132e-09
Position 430: 2.096456463741851e-09
Position 173: 1.5354006960007589e-09
Position 160: 1.0831474346302519e-09
Position 113: 6.944673549298772e-10
Position 397: 4.869516823558892e-10
Position 391: 6.690198351213631e-11
Position 388: 3.227561863846412e-11
Position 133: 2.4578500313086034e-11
Position 180: 9.670398393087642e-12
Position 184: 1.2961187284092819e-14
Position 233: 8.293149716368952e-15
