Gene = flr
index = 1702
Annotated 5SS: [ 133  596 1306 1758 2878 3085]
Annotated 3SS: [ 473 1214 1493 1822 2933 3151]
SMsplice 5SS: [ 133  596 1306 1758 2878 3085]
SMsplice 3SS: [ 473 1214 1493 1822 2933 3151]
top_k =  500
Partition function (log Z): 12.830340547551073

Sorted 5' Splice Sites (High to Low Probability):
Position 1758: 0.9998005806973638
Position 3085: 0.990750943106938
Position 596: 0.9858363221172939
Position 1306: 0.9703550102992456
Position 133: 0.8114940241381744
Position 2878: 0.717406937769688
Position 231: 0.1450943631463869
Position 941: 0.08072034181650659
Position 314: 0.032089492618101935
Position 3238: 0.02114106133283198
Position 890: 0.011470024624898115
Position 2444: 0.008612736163280938
Position 2848: 0.007040010289617343
Position 122: 0.005792956668978489
Position 1999: 0.005609912902003038
Position 2131: 0.0039199091688658155
Position 1005: 0.003587785031987017
Position 2871: 0.0034917766004724693
Position 1053: 0.002992533498279534
Position 1070: 0.002715133938748072
Position 2524: 0.0027042609055168776
Position 1424: 0.002269003223004017
Position 262: 0.0020522737848925497
Position 424: 0.001788406287039896
Position 415: 0.0014916655233645083
Position 1974: 0.0014379958111403576
Position 190: 0.0011928621055732648
Position 2649: 0.001191824472791639
Position 665: 0.0010554014199670198
Position 707: 0.0008344188657798348
Position 3106: 0.0008042352424840854
Position 3089: 0.0007663426061669334
Position 197: 0.0007587158070934731
Position 1394: 0.0006033087133894277
Position 1303: 0.00044832917714183714
Position 2817: 0.0003460013410236013
Position 911: 0.0003419434748024276
Position 703: 0.000333694050391371
Position 2139: 0.0003232831427559077
Position 2863: 0.00029969446134582757
Position 3047: 0.00028907499940066997
Position 3180: 0.0002838948877409012
Position 1966: 0.0002664491547831368
Position 1310: 0.000259483794206391
Position 3103: 0.000254707446301762
Position 913: 0.00021932587476498138
Position 884: 0.00021535614079776593
Position 1149: 0.00019337839594819236
Position 65: 0.00017824526935826228
Position 2521: 0.00017595114687162755
Position 2339: 0.00014840651420683105
Position 2546: 0.00014681914132263376
Position 1116: 0.00013953669563442647
Position 2851: 0.00010682779063356215
Position 358: 9.382693509676655e-05
Position 1370: 8.933948175252087e-05
Position 1751: 8.589802018422081e-05
Position 2272: 8.526542133258009e-05
Position 964: 8.40436656475218e-05
Position 3554: 8.253866580849574e-05
Position 3347: 7.6881625585756e-05
Position 137: 6.282589128576478e-05
Position 2487: 6.22426536686705e-05
Position 29: 5.93953445386036e-05
Position 338: 5.7881822129187126e-05
Position 3339: 5.727462354911842e-05
Position 3549: 5.241430050333964e-05
