Gene = Schip1
index = 1473
Annotated 5SS: [  37 1125 1642 1795 1921 2313 2645]
Annotated 3SS: [ 523 1184 1705 1853 1980 2375 2705]
SMsplice 5SS: [  37 1125 1642 1795 1921 2313 2645]
SMsplice 3SS: [ 523 1184 1705 1853 1980 2375 2705]
top_k =  500
Partition function (log Z): 23.003756228109413

Sorted 5' Splice Sites (High to Low Probability):
Position 1921: 0.9993296807158665
Position 1795: 0.9931356935310701
Position 1642: 0.9924019517904513
Position 1125: 0.9891992029972738
Position 37: 0.9249851292120602
Position 2313: 0.9201969428528928
Position 2645: 0.7915094524166404
Position 402: 0.20880651366892855
Position 1376: 0.15090777022093804
Position 712: 0.1442223886912831
Position 2262: 0.04007626168416509
Position 2307: 0.034944308697108094
Position 330: 0.03354303331494802
Position 252: 0.015192273360616064
Position 283: 0.009510909161380476
Position 150: 0.0078884995044248
Position 475: 0.006857950126515178
Position 1799: 0.004968177626722691
Position 1402: 0.0048868319630237245
Position 1289: 0.004625682444728707
Position 2649: 0.0035673200110229253
Position 1635: 0.003533382760624641
Position 456: 0.0031536384378541217
Position 1361: 0.002581803520096454
Position 1132: 0.0025026021664868382
Position 772: 0.0024215099556128745
Position 846: 0.00216038390531734
Position 2194: 0.0017274684582294592
Position 461: 0.0016359003714270755
Position 1342: 0.0013852000649518042
Position 2062: 0.001020781011500786
Position 385: 0.0009408765098707473
Position 1545: 0.0007036351404754641
Position 305: 0.0005547902031182144
Position 2067: 0.0005342743089570633
Position 271: 0.0004883456034959503
Position 2092: 0.00040612825662615903
Position 445: 0.00037979378583788545
Position 1328: 0.0003101391892531726
Position 1774: 0.0003080786106015207
Position 1421: 0.0003071428050353256
Position 1129: 0.0002615204036754387
Position 2496: 0.0002520989504438335
Position 388: 0.00024436934355779097
Position 376: 0.00023635675834810812
Position 1607: 0.00022963086068926076
Position 608: 0.00020284950330464997
Position 41: 0.00020279280611033197
Position 371: 0.00017677883670080436
Position 481: 0.00015205486782052843
Position 478: 9.441491222344567e-05
Position 1258: 8.50309295744458e-05
Position 2517: 8.44180782126314e-05
Position 266: 8.198772355921401e-05
Position 1305: 7.84706055039111e-05
Position 869: 7.632134357005732e-05
Position 268: 7.096290670435383e-05
Position 256: 7.079168121346986e-05
Position 390: 6.669020705191024e-05
Position 224: 4.667217320428531e-05
Position 178: 4.644210201512946e-05
Position 91: 4.392200361589802e-05
