Gene = l(2)37Cd
index = 1745
Annotated 5SS: [133 397 584]
Annotated 3SS: [194 453 710]
SMsplice 5SS: [133 397 584]
SMsplice 3SS: [194 453 710]
top_k =  500
Partition function (log Z): 2.959478714612711

Sorted 5' Splice Sites (High to Low Probability):
Position 397: 0.9987629587739805
Position 133: 0.9748974251526985
Position 584: 0.9631707808870487
Position 933: 0.09157513152638198
Position 1022: 0.02898727158591109
Position 636: 0.015059856150116388
Position 1948: 0.014378812111583768
Position 1465: 0.014129741709748808
Position 1098: 0.006310124277892014
Position 928: 0.0038687456210371955
Position 588: 0.0025359078958233946
Position 79: 0.0020641476216684365
Position 877: 0.0018359686178894142
Position 656: 0.0018149782045547944
Position 530: 0.0009957863574910457
Position 1738: 0.0007924728914381189
Position 150: 0.000625189316121408
Position 126: 0.0005808740419512285
Position 817: 0.0005793762016761662
Position 1361: 0.00043807151124778017
Position 1943: 0.00042732161082287225
Position 1212: 0.00029834636210814176
Position 1200: 0.00026357350445995235
Position 401: 0.00020479213988669115
Position 859: 0.0001928164007777071
Position 961: 0.00014136343492316677
Position 1216: 0.00013128246343244529
Position 124: 8.425248463785385e-05
Position 862: 8.189171856048682e-05
Position 1469: 7.710147846751818e-05
Position 1909: 7.191351934072597e-05
Position 1657: 6.320729771774437e-05
Position 408: 5.7278167933815504e-05
Position 837: 3.978257038297239e-05
Position 826: 3.149939930741762e-05
Position 867: 2.086499040011089e-05
Position 1900: 1.7316582352766753e-05
Position 1357: 1.5784794614246706e-05
Position 1869: 1.4048781296417768e-05
Position 1745: 1.0198799920957143e-05
Position 1044: 9.609158545872053e-06
Position 1383: 7.658060550912347e-06
Position 76: 5.27622073928787e-06
Position 354: 4.046445910732306e-06
Position 360: 3.816876835416808e-06
Position 63: 3.419582971700598e-06
Position 309: 2.846236419315218e-06
Position 362: 2.1754468386761477e-06
Position 681: 1.295777784816626e-06
Position 1102: 1.04030641845871e-06
Position 545: 7.859656872140552e-07
Position 54: 6.121987169911398e-07
Position 499: 4.554645229241095e-07
Position 612: 4.186382108477064e-07
Position 29: 4.1581096287782573e-07
Position 605: 3.416996218498053e-07
Position 1279: 3.0168194996076434e-07
Position 780: 2.4671802662842964e-07
Position 3: 1.7738956340195446e-07
Position 831: 1.5226104684828356e-07
Position 685: 1.5095666246666715e-07
Position 195: 1.2749373111041969e-07
Position 210: 1.1591475129674203e-07
Position 224: 1.0783257080128492e-07
Position 595: 9.510732742333142e-08
Position 460: 6.058589197275099e-08
Position 485: 2.7618364273122144e-08
Position 747: 2.6954683864875766e-08
Position 15: 1.8120682382219947e-08
Position 289: 9.677868079331857e-09
Position 937: 5.10983808708746e-09
Position 291: 1.5370912804412643e-09
Position 726: 2.6189228947009546e-11
Position 696: 2.1705281876435992e-11
Position 757: 5.454287189559464e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 453: 0.9885818481350415
Position 194: 0.9781587851050534
Position 710: 0.9077897159771321
Position 1076: 0.10855351242018835
Position 681: 0.041322783387019106
Position 2017: 0.025951975331345134
Position 1777: 0.011288408422262789
Position 1534: 0.010697956769221445
Position 799: 0.009033771611236743
Position 1178: 0.006556854985324493
Position 722: 0.005771450095623748
Position 499: 0.005497381482848154
Position 1284: 0.0053571120250069295
Position 1152: 0.004685978700157706
Position 802: 0.0024717268764631742
Position 1521: 0.001482407790653672
Position 1493: 0.0013058104507425287
Position 927: 0.0012817485211102583
Position 1855: 0.0012260985103220285
Position 652: 0.0009725618522028987
Position 1900: 0.0009114008660999513
Position 1212: 0.0007219129944228255
Position 1331: 0.0005444438696362775
Position 1734: 0.0005132280554962242
Position 521: 0.00040636217368028696
Position 2053: 0.00039231598076298364
Position 1931: 0.0003688059717326641
Position 1729: 0.0003665354738754474
Position 1209: 0.00034796003251112283
Position 2033: 0.0003176102372985515
Position 644: 0.0002737964837494306
Position 1524: 0.00027371070901797045
Position 1786: 0.00025584499715461504
Position 1128: 0.00022012815741996342
Position 1961: 0.00020670512222237017
Position 951: 0.00020598975562282845
Position 1044: 0.00020270065311637004
Position 691: 0.0001259131156740256
Position 855: 0.00012269392493098337
Position 726: 0.00011638419799728522
Position 1221: 0.00010746548437832424
Position 1557: 9.55140425053487e-05
Position 1821: 7.334877857395459e-05
Position 1869: 6.434274683038973e-05
Position 1414: 6.194719332936057e-05
Position 897: 5.359330725900308e-05
Position 1317: 4.1991691463242734e-05
Position 154: 4.154728609242585e-05
Position 884: 3.757285778884302e-05
Position 1473: 3.4246924026927426e-05
Position 1139: 3.1229223869663945e-05
Position 1540: 3.0641102963822717e-05
Position 1947: 2.973056503721233e-05
Position 132: 2.7203270815360653e-05
Position 831: 2.6630436685379772e-05
Position 545: 2.125316098858666e-05
Position 901: 1.8837445281597184e-05
Position 210: 9.380856711651568e-06
Position 284: 2.3126823220335645e-06
Position 584: 1.0623354334839502e-06
Position 326: 4.860476683582997e-07
Position 524: 4.710309243059542e-07
Position 242: 4.5723385188975927e-07
Position 313: 1.5239320750127946e-07
Position 379: 9.585009435693459e-08
Position 933: 8.583081335738762e-08
Position 837: 5.4720953087878926e-08
Position 332: 4.110745375398786e-08
Position 376: 3.916287355342775e-08
Position 100: 2.56730820112974e-08
Position 621: 1.9061160125351905e-09
Position 404: 1.7755938526072365e-09
Position 46: 2.9237532644787604e-10
Position 382: 1.5266477489315304e-10
Position 816: 5.605453725937033e-11
Position 76: 4.604989610637986e-12
Position 397: 2.59538567135647e-12
Position 588: 1.1710856841766215e-12
Position 63: 7.47571586119057e-13
Position 54: 2.4985863865157403e-13
