Gene = abo
index = 1607
Annotated 5SS: [1026]
Annotated 3SS: [1082]
SMsplice 5SS: [1026]
SMsplice 3SS: [1082]
top_k =  500
Partition function (log Z): -9.637271455594199

Sorted 5' Splice Sites (High to Low Probability):
Position 1026: 0.5445267457478582
Position 817: 0.34840908751867444
Position 647: 0.08731414149417108
Position 1022: 0.04725736682825582
Position 1202: 0.031832942312020295
Position 363: 0.017496868607788513
Position 611: 0.012707691309130395
Position 606: 0.010121392379877386
Position 788: 0.0038871574154711267
Position 1505: 0.002515376832601092
Position 1030: 0.0015169957954376887
Position 212: 0.0015111265045737652
Position 1236: 0.0013314183301721307
Position 1162: 0.0012178251900847267
Position 1233: 0.0012026865336807707
Position 994: 0.001052183221504963
Position 958: 0.0010438787478797098
Position 390: 0.0010286141359401287
Position 807: 0.0008977090756682818
Position 663: 0.0008098318388288686
Position 156: 0.0005107362574207091
Position 526: 0.0003870904092503396
Position 75: 0.0002671256796613991
Position 633: 0.00024130095370434226
Position 1206: 0.0002057629252635969
Position 623: 0.0001343004190636179
Position 346: 0.00011525812597539431
Position 1327: 0.00010159931986886437
Position 953: 9.893170259952136e-05
Position 1754: 9.542426870549198e-05
Position 367: 9.379782701061968e-05
Position 909: 8.977012661636942e-05
Position 199: 7.293863232454719e-05
Position 352: 7.262738114473506e-05
Position 762: 5.928879213447153e-05
Position 1001: 5.5978000399190844e-05
Position 576: 4.984541679974689e-05
Position 1242: 4.4267705256181297e-05
Position 681: 1.5106638233985236e-05
Position 272: 1.4705888917963234e-05
Position 322: 1.4527098765103741e-05
Position 412: 1.0974223949398522e-05
Position 296: 6.060214330061433e-06
Position 521: 5.122169384789728e-06
Position 653: 4.9680525599309674e-06
Position 651: 4.568913173886846e-06
Position 594: 4.31116144732448e-06
Position 355: 4.032879445850492e-06
Position 573: 3.9067105143856795e-06
Position 404: 2.9694015640476423e-06
Position 185: 1.9598382656637173e-06
Position 544: 1.2156606279886334e-06
Position 140: 1.159899741164169e-06
Position 1004: 7.115105868992261e-07
Position 3: 6.017864072233106e-07
Position 749: 4.948613145118489e-07
Position 747: 4.852125743669829e-07
Position 792: 4.1209191142412785e-07
Position 720: 2.218528964402299e-07
Position 684: 2.115586442816043e-07
Position 976: 1.9757534066313123e-07
Position 397: 1.8946455273096667e-07
Position 1116: 9.957626658572573e-08
Position 117: 6.075440409142394e-08
Position 1434: 7.86649531335891e-09
Position 530: 8.688813311249258e-10
Position 528: 5.874921215161091e-10
Position 547: 1.8585126776809448e-10
Position 455: 5.005899046487226e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1082: 0.7880711469764207
Position 1363: 0.1218157374974979
Position 1086: 0.0790074140316562
Position 762: 0.040556529422619225
Position 935: 0.026682373807615
Position 909: 0.011545866959738275
Position 872: 0.007866156474825128
Position 1444: 0.00541404094759235
Position 1149: 0.004711841897318264
Position 1492: 0.004644368571314202
Position 674: 0.004376082285057283
Position 690: 0.003595433306812196
Position 1432: 0.0034062375784650167
Position 1677: 0.0032300657727512092
Position 833: 0.0021888833687773003
Position 468: 0.0017487740358095947
Position 1591: 0.0017133164702852525
Position 1501: 0.0015358116357255716
Position 1043: 0.0013663152043217209
Position 788: 0.0008277074675531606
Position 882: 0.0007466651447898513
Position 1478: 0.0005814720111627959
Position 946: 0.0005011701650584288
Position 694: 0.0004915418797064102
Position 678: 0.00040516359350747054
Position 821: 0.0003392100150681345
Position 830: 0.0003210941990055229
Position 1738: 0.0003125441903801655
Position 618: 0.00029611164707170817
Position 470: 0.00028909545556330513
Position 311: 0.000286521399702778
Position 131: 0.0002640887138753436
Position 1813: 0.00023436813424281382
Position 976: 0.00021208126282020446
Position 415: 0.00017527266301802029
Position 439: 0.00014898253373067303
Position 850: 0.0001086128692677346
Position 1586: 9.281493016096051e-05
Position 489: 6.235651177842121e-05
Position 1233: 4.9006503638478176e-05
Position 289: 4.6651811584261964e-05
Position 1451: 3.682999027618793e-05
Position 521: 3.288691796460438e-05
Position 1230: 3.0323021851783936e-05
Position 383: 2.865679263829972e-05
Position 526: 2.5470764260979035e-05
Position 836: 2.1894287516783708e-05
Position 212: 1.4474919119557557e-05
Position 337: 3.92447520518648e-06
Position 317: 3.157988692413926e-06
Position 540: 3.0785809414637123e-06
Position 272: 2.2818211611600582e-06
Position 352: 1.6802137856703607e-06
Position 434: 1.0113136926725923e-06
Position 633: 7.535798252097359e-07
Position 436: 4.957647528578164e-07
Position 69: 2.3689768305152686e-07
Position 412: 2.097174197183652e-07
Position 419: 3.0426510267660725e-08
Position 393: 2.2667281076417397e-08
Position 167: 1.560528354015562e-08
Position 58: 3.1792133662447987e-09
