Gene = gdl-ORF39
index = 1713
Annotated 5SS: [437 787]
Annotated 3SS: [ 491 1159]
SMsplice 5SS: [437 787]
SMsplice 3SS: [ 501 1159]
top_k =  500
Partition function (log Z): -4.4346440054195515

Sorted 5' Splice Sites (High to Low Probability):
Position 437: 0.9920762313530689
Position 787: 0.39808617320352796
Position 973: 0.07845245991238432
Position 962: 0.06841673417202324
Position 199: 0.04023935188704933
Position 204: 0.03822597941851327
Position 571: 0.025945043462115625
Position 835: 0.015760069947713465
Position 565: 0.01272560358340567
Position 171: 0.012217353028945013
Position 839: 0.0067711999653378725
Position 1306: 0.005164714226974262
Position 259: 0.003752087907544812
Position 175: 0.003173131254312927
Position 1036: 0.0029905649886973005
Position 645: 0.002537199746751529
Position 696: 0.0013423708551374477
Position 7: 0.001098708154891562
Position 750: 0.0006575701856847054
Position 871: 0.0005354162040971698
Position 814: 0.0004733412069584229
Position 319: 0.0004331042894675579
Position 666: 0.0003105461286020766
Position 542: 0.00024631674159616035
Position 811: 0.00021235517637309406
Position 933: 0.00011368475909078351
Position 148: 7.832702263816074e-05
Position 658: 4.072938659264456e-05
Position 334: 3.828292301308639e-05
Position 544: 2.907211072083892e-05
Position 106: 2.7891311293164773e-05
Position 399: 2.043119918487231e-05
Position 441: 7.154046745949053e-06
Position 125: 7.11370904352079e-06
Position 342: 4.558187451724461e-06
Position 12: 2.0590695593034463e-06
Position 83: 1.2256926327624158e-06
Position 455: 7.556249548936806e-07
Position 371: 6.719154781092918e-07
Position 101: 5.675405278925415e-07
Position 350: 3.0771964873730777e-07
Position 128: 2.0196368204670238e-07
Position 285: 1.5979106320427853e-07
Position 322: 1.0427919317156852e-07
Position 345: 9.671402887780445e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1159: 0.6744311026574261
Position 501: 0.42726354931216065
Position 491: 0.4075565751264927
Position 633: 0.05813642880455183
Position 285: 0.05320320656353143
Position 270: 0.03820524607616765
Position 1189: 0.014369301663324563
Position 835: 0.014346667133891761
Position 871: 0.006531979582816974
Position 1359: 0.004451879185459762
Position 318: 0.00355203028382917
Position 290: 0.0016029757816908151
Position 990: 0.001430409774110629
Position 1093: 0.0010885179602028513
Position 933: 0.0009337426097151729
Position 972: 0.0007570795812537311
Position 1369: 0.0007368501964908965
Position 1023: 0.0006451505384624107
Position 571: 0.000545422891995184
Position 113: 0.0005151042414401422
Position 608: 0.0005007835481059104
Position 888: 0.00036526871492704104
Position 313: 0.0002855558761022424
Position 956: 0.00028128191091698163
Position 577: 0.00016230096915872472
Position 334: 8.235712859520448e-05
Position 148: 7.008329981053255e-05
Position 778: 6.376855423443629e-05
Position 655: 3.35317691451189e-05
Position 639: 2.9050041268242368e-05
Position 658: 2.319157451315549e-05
Position 345: 6.910515053234317e-06
Position 961: 4.4251031022599364e-06
Position 322: 2.352057684787889e-06
Position 168: 7.836950340204603e-07
Position 359: 6.894561086635599e-07
Position 338: 4.5769736514291214e-07
Position 155: 3.80712055114511e-07
Position 455: 1.72610108716699e-07
Position 342: 1.4752641314850296e-07
Position 729: 1.249475838807214e-07
Position 356: 7.564521282562573e-08
Position 588: 4.013231331900434e-08
Position 645: 2.1269212697528275e-08
Position 738: 1.8411402388889698e-08
Position 350: 1.2696177561104577e-08
Position 671: 4.473058098873783e-09
Position 371: 4.205588300518155e-09
Position 185: 3.248795235728206e-09
Position 696: 3.2218704724708646e-09
Position 187: 9.390382740529828e-10
Position 199: 5.27466199381922e-11
