Gene = ebd1
index = 1687
Annotated 5SS: [522]
Annotated 3SS: [857]
SMsplice 5SS: [522]
SMsplice 3SS: [857]
top_k =  500
Partition function (log Z): -6.380908758470512

Sorted 5' Splice Sites (High to Low Probability):
Position 522: 0.9978246280392169
Position 2226: 0.1961288004700243
Position 1038: 0.07092934458588417
Position 1554: 0.010590385200784607
Position 1618: 0.00616382172267782
Position 1536: 0.0039875351906756
Position 1241: 0.0029678608740033837
Position 588: 0.0013045578749981556
Position 1367: 0.001050486193028615
Position 1265: 0.0010036045052274514
Position 984: 0.0006958551842388512
Position 1599: 0.0006694017781914717
Position 1501: 0.0006047424053393698
Position 276: 0.0005985976882378416
Position 377: 0.0005608142541130148
Position 1376: 0.0003605915756528299
Position 550: 0.00024520870664475694
Position 1716: 0.0001994789341091887
Position 824: 0.00018676010468338493
Position 781: 0.00016045188501643913
Position 56: 0.00012702006149327042
Position 1071: 0.00012060580168940823
Position 272: 0.00010381459559290817
Position 1899: 8.920821390950067e-05
Position 2553: 6.337564293960114e-05
Position 634: 5.843849705824615e-05
Position 764: 3.129487548209295e-05
Position 280: 2.2725290556873958e-05
Position 176: 1.0359071324049823e-05
Position 306: 7.148515844723654e-06
Position 1218: 6.257860455131698e-06
Position 1226: 5.434330273621189e-06
Position 1212: 5.311398495350057e-06
Position 320: 3.6306944785702737e-06
Position 616: 3.167055824557872e-06
Position 535: 2.75939897195439e-06
Position 10: 1.8949726547527912e-06
Position 221: 1.7656140435633005e-06
Position 103: 1.0308181518412679e-06
Position 640: 9.368335506497605e-07
Position 526: 7.352972111627338e-07
Position 72: 6.796375302403338e-07
Position 297: 6.237334670176723e-07
Position 205: 4.538548675351208e-07
Position 375: 3.1566425401310443e-07
Position 1364: 2.794392849876499e-07
Position 655: 2.5468788996671323e-07
Position 552: 1.9830737699723443e-07
Position 586: 1.7830347584466298e-07
Position 808: 1.0774609355137448e-07
Position 274: 1.0501780382869902e-07
Position 608: 9.912726540852269e-08
Position 444: 7.981830533525423e-08
Position 685: 7.340524644591377e-08
Position 27: 6.816483668991785e-08
Position 694: 5.671053163184102e-08
Position 748: 3.37080709980466e-08
Position 1157: 2.962842301034042e-08
Position 1319: 2.895448953857863e-08
Position 22: 2.4675104118201063e-08
Position 16: 1.941456769614651e-08
Position 425: 1.1486635059029564e-08
Position 725: 9.133521249944635e-09
Position 456: 7.5675043575425e-09
Position 19: 4.433476907442079e-09
Position 672: 3.0703725220242194e-09
Position 733: 1.7767813409760623e-09
Position 728: 1.7337292685796118e-09
Position 873: 9.483553180698758e-10
Position 1083: 7.549797268350675e-10
Position 1128: 3.9387414789559915e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 857: 0.7719562150749062
Position 2270: 0.18542617842018194
Position 2052: 0.09935835491373256
Position 753: 0.08123284212141815
Position 833: 0.046657776753012345
Position 1877: 0.026943447683024015
Position 1361: 0.017504229634956667
Position 1105: 0.007607665267550361
Position 1836: 0.006474500011002835
Position 2301: 0.005605275097680222
Position 1749: 0.004329456327038894
Position 1850: 0.0037599947833604264
Position 578: 0.0036472744256081614
Position 1177: 0.002294768752425352
Position 2353: 0.0021601987950122057
Position 1393: 0.002118777734336216
Position 2497: 0.0017687824922706845
Position 1880: 0.0015004278918927488
Position 1439: 0.0014931366425007342
Position 2381: 0.001312624736580286
Position 912: 0.001309546740242472
Position 1797: 0.0012832258537122275
Position 1110: 0.0012757861423572177
Position 2483: 0.0012655090693746776
Position 2411: 0.0011900844671657595
Position 1716: 0.0010431380420875501
Position 915: 0.0010335244405273438
Position 1454: 0.0009960475261449418
Position 1573: 0.0009700730023675763
Position 717: 0.0009366681439879763
Position 1304: 0.0008979160635927935
Position 1460: 0.0008663926486291077
Position 1405: 0.0008115783941991699
Position 949: 0.0008055979006527303
Position 605: 0.0007905817680572813
Position 2614: 0.000775711799073923
Position 431: 0.0007737109975607472
Position 1720: 0.0007117547531628877
Position 1037: 0.0006637110365551221
Position 1136: 0.0005209567211933303
Position 1414: 0.0004851773493939178
Position 964: 0.00042030569367415246
Position 2146: 0.000343652092955151
Position 2408: 0.0003299257116492546
Position 2291: 0.00029731062738979405
Position 1307: 0.000281746577721043
Position 1133: 0.0002768442680789191
Position 885: 0.00021388506206039613
Position 1428: 0.0001987539804491146
Position 1917: 0.0001890902493931952
Position 332: 0.00018182680584868078
Position 1282: 0.00013531702935217337
Position 2372: 0.00012758099999278153
Position 2513: 0.0001272488064619948
Position 2621: 0.00012194814351171407
Position 2579: 0.00010946219965688604
Position 1274: 0.00010914661588502277
Position 624: 0.0001007226262983462
Position 2582: 7.344677688444294e-05
Position 1007: 6.555868462071348e-05
Position 1883: 6.550771882367508e-05
Position 872: 6.49711318184588e-05
Position 205: 4.763101390990276e-05
Position 2124: 4.591803152845458e-05
Position 983: 4.534663184194203e-05
Position 1584: 3.991742005605702e-05
Position 1115: 3.827738017852805e-05
Position 1690: 3.757604591286115e-05
Position 755: 3.395742907999754e-05
Position 393: 3.196365566192036e-05
Position 1424: 2.4241665447055888e-05
Position 1862: 2.2491971447043757e-05
Position 329: 2.2216563033996798e-05
Position 1364: 1.980360633258604e-05
Position 1319: 1.4740933563144173e-05
Position 1381: 1.2990722918645632e-05
Position 241: 1.2217583730591763e-05
Position 352: 1.1306092695248944e-05
Position 110: 9.710503814103524e-06
Position 335: 6.567016418404931e-06
Position 425: 5.840297175189838e-06
Position 263: 5.204886866180935e-06
Position 1079: 5.146313527022805e-06
Position 437: 3.6429180971293625e-06
Position 473: 3.2114669986704507e-06
Position 1166: 2.5701471342444493e-06
Position 133: 2.2553245350943645e-06
Position 648: 1.654876228546703e-06
Position 291: 1.2201570781939902e-06
Position 224: 9.71600482049991e-07
Position 55: 3.385844241917744e-07
Position 452: 2.933506889113757e-07
Position 640: 2.136347598433767e-07
Position 152: 1.9357300714017104e-07
Position 164: 1.5748390488981852e-07
Position 586: 1.4758875271126358e-07
Position 61: 1.3390548055251398e-07
Position 467: 1.1153082690324653e-07
Position 90: 1.0990819249955538e-07
Position 93: 8.452172310563215e-08
Position 126: 6.212860696169282e-08
Position 173: 4.2356163400373305e-08
Position 759: 3.275596840438743e-08
Position 442: 3.1774886813086946e-08
Position 114: 2.9152103921425487e-08
Position 168: 2.867779037790972e-08
Position 176: 2.4830385716992556e-08
Position 280: 2.0711957325740473e-08
Position 482: 1.9660814732423086e-08
Position 449: 7.92224056295407e-09
Position 1013: 7.814449647803025e-09
Position 284: 7.19022473076063e-09
Position 141: 6.7448871138783004e-09
Position 159: 5.792652269117893e-09
Position 103: 4.2261851988960054e-09
Position 485: 3.725825296797083e-09
Position 500: 3.591123664618991e-09
Position 303: 3.0284425950912265e-09
Position 72: 2.3881218480124533e-09
Position 476: 1.406946349138819e-10
Position 494: 7.932207812853248e-11
Position 515: 3.878311889527643e-11
Position 433: 2.0719834287996778e-11
Position 135: 3.019006074329827e-16
