Gene = Pus7
index = 1394
Annotated 5SS: [ 201  449  882 1040]
Annotated 3SS: [ 260  509  936 1098]
SMsplice 5SS: [ 201  445  882 1040]
SMsplice 3SS: [ 273  509  936 1098]
top_k =  500
Partition function (log Z): 3.6536595460318257

Sorted 5' Splice Sites (High to Low Probability):
Position 1040: 0.9997697121252137
Position 882: 0.9339912505297516
Position 201: 0.765967831560131
Position 445: 0.740240951744794
Position 1430: 0.23541416464943274
Position 449: 0.16583433003434492
Position 857: 0.021832066563800653
Position 798: 0.020118894345531855
Position 1626: 0.015982706124295972
Position 188: 0.008771219035461204
Position 632: 0.004449669373138538
Position 453: 0.0032447729864416154
Position 827: 0.003239283096464994
Position 403: 0.0026317832876199174
Position 436: 0.002334211101034218
Position 1928: 0.0022200068834040787
Position 2527: 0.0011950078636368561
Position 2063: 0.0008988054006750226
Position 1723: 0.0007231949554848204
Position 152: 0.0006126810684543159
Position 182: 0.00057469809491881
Position 354: 0.0005384411280967352
Position 2041: 0.0004918471137051507
Position 1966: 0.00043349275550897147
Position 425: 0.00042913181603192554
Position 1199: 0.0004254920425365223
Position 1877: 0.000337497566427939
Position 107: 0.00033501257695017615
Position 886: 0.00030749311680565753
Position 1396: 0.0002827552759567624
Position 1176: 0.00023689633878414712
Position 298: 0.00023604423622451175
Position 557: 0.00021057740881670666
Position 376: 0.00018370898554230205
Position 3: 0.00018020516832342398
Position 427: 0.00013012229015530098
Position 677: 0.00011598090356574264
Position 1044: 0.00010978640940439081
Position 1585: 9.59251309346347e-05
Position 1179: 8.572143923323049e-05
Position 755: 7.291755454941322e-05
Position 572: 6.69145077106705e-05
Position 22: 2.8206440426936343e-05
Position 34: 2.4111417963042455e-05
Position 1223: 2.1956259599914215e-05
Position 644: 1.8922023419964233e-05
Position 229: 1.3196666943632456e-05
Position 149: 6.7140926879229e-06
Position 1115: 5.445593063249312e-06
Position 312: 3.3202123023852093e-06
Position 1293: 3.1229904088321734e-06
Position 25: 2.7197238451746086e-06
Position 1162: 7.635467502394022e-07
Position 1434: 4.91790545534941e-07
Position 2173: 2.9904998977526277e-07
Position 999: 1.3221643570386083e-07
Position 1287: 1.3103179810678149e-07
Position 937: 8.884866207160304e-08
Position 1169: 6.589764046154164e-08
Position 981: 5.780797897185396e-08
Position 1534: 4.598589093513292e-08
Position 1531: 4.261662314564562e-08
Position 1741: 2.390343445286376e-08
Position 232: 1.7459600948768606e-08
Position 260: 1.2048821692501909e-08
Position 249: 9.212028661119629e-09
Position 242: 1.9773730976833007e-09
Position 1515: 3.56798161216414e-10
Position 1502: 2.1883700447528246e-10
Position 1011: 6.368095475295195e-12
Position 969: 4.0148690656369464e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 936: 0.982574093575487
Position 1098: 0.9588739993035875
Position 509: 0.930190932240308
Position 273: 0.37980830948784144
Position 260: 0.3750095409172695
Position 1786: 0.09650759093786314
Position 1716: 0.0944371264787314
Position 1114: 0.04060537101460614
Position 1507: 0.01149521178356296
Position 1943: 0.011251576883907072
Position 2022: 0.008954020811900222
Position 1528: 0.006861454924812853
Position 1646: 0.005171641609842246
Position 2951: 0.004567742059095227
Position 1657: 0.004510600110122333
Position 1701: 0.003777195742612098
Position 2243: 0.0026196213247532056
Position 697: 0.0022252648105211383
Position 2383: 0.0020211809716363075
Position 739: 0.0016011515898340187
Position 685: 0.001296369239881713
Position 736: 0.0011249389770986295
Position 2148: 0.0010942481695716444
Position 1946: 0.0010878287776434035
Position 1949: 0.0008268537078387648
Position 871: 0.0007499497609480249
Position 706: 0.0004026455716287435
Position 2554: 0.00036474891808686947
Position 1927: 0.00036053926755920564
Position 2344: 0.0003479676539038122
Position 903: 0.0002995501615637399
Position 2089: 0.0002582949883819715
Position 1721: 0.0002514873243064764
Position 1562: 0.0002418205916660676
Position 1264: 0.00023355140368537948
Position 1600: 0.00022985578531889962
Position 81: 0.0002052192967006614
Position 1738: 0.0001916840543536561
Position 1792: 0.00018506966965133032
Position 1393: 0.00018134612426777853
Position 601: 0.00017947898612003682
