Gene = Dhc62B
index = 1133
Annotated 5SS: [ 2177  2427  5158  5531  5833  6978 10818 11201]
Annotated 3SS: [ 2245  2487  5215  5589  5888  7039 10880 11269]
SMsplice 5SS: [ 2177  2427  5158  5531  5833  9480 10818 11201]
SMsplice 3SS: [ 2245  2487  5215  5589  9262  9601 10880 11269]
top_k =  500
Partition function (log Z): 5.668213232338323

Sorted 5' Splice Sites (High to Low Probability):
Position 2427: 0.9994125718833771
Position 11201: 0.9980083965678659
Position 2177: 0.9906205704269481
Position 5158: 0.9592935947308455
Position 5531: 0.8708495775423117
Position 10818: 0.8702968165910188
Position 5833: 0.7379644887993622
Position 6978: 0.6901510921626854
Position 9480: 0.5812655578366716
Position 6157: 0.5052734446828542
Position 357: 0.22083755766175156
Position 2967: 0.1707179992622736
Position 161: 0.14249939462294894
Position 3238: 0.0975242383963496
Position 846: 0.08032443121327305
Position 1323: 0.07838137519387975
Position 270: 0.07229053448897745
Position 7157: 0.06937788986211366
Position 891: 0.05148238469185843
Position 1194: 0.04881724773512929
Position 821: 0.03246062166097484
Position 1220: 0.032457957791676664
Position 5154: 0.03103200763799767
Position 6055: 0.03068267931179067
Position 5348: 0.02205594532366981
Position 6237: 0.01870646251855006
Position 604: 0.01808912516228246
Position 1230: 0.01759966366587152
Position 216: 0.015730372003446368
Position 1782: 0.014087234134007063
Position 1161: 0.012681826728478354
Position 787: 0.011992006568404937
Position 5776: 0.010670288547538412
Position 3574: 0.009884582442597612
Position 2956: 0.008859191458187974
Position 440: 0.008608891891311778
Position 11666: 0.008465185308627839
Position 1767: 0.007793149212649988
Position 1713: 0.007566811319617326
Position 3863: 0.005648352379528661
Position 1016: 0.005440814537470776
Position 504: 0.005291418818522637
Position 1290: 0.004959374985695939
Position 5839: 0.004842132700175703
Position 11891: 0.004817244870704304
Position 3016: 0.004661108833348414
Position 2147: 0.004393318418383354
Position 5811: 0.004286320628938483
Position 1926: 0.004045113540777572
Position 176: 0.0038536713301503384
Position 453: 0.0036615964709037804
Position 1700: 0.003145177781385781
Position 872: 0.003048155816209773
Position 3925: 0.0027221002797561877
Position 1278: 0.0026766748384077933
Position 5498: 0.0023986663069903726
Position 6965: 0.0022601656410280472
Position 809: 0.0017787774106908427
Position 863: 0.0015943089772606624
Position 1073: 0.0015854991221566522
Position 1451: 0.0015605099142816615
Position 7780: 0.0015478152361180723
Position 1331: 0.0015038082091747048
Position 3588: 0.001450897476132206
Position 773: 0.001271877673719369
Position 1646: 0.0010427932948281755
Position 2964: 0.000979770792339518
Position 7595: 0.0008963121597464327
Position 10085: 0.0008059648726226257
Position 11434: 0.0007700379444324683
Position 8213: 0.0007052878988466993
Position 6028: 0.0006779997365379397
Position 5234: 0.0006736213858863738
Position 2181: 0.0006163936147472889
Position 11651: 0.0005114887296847791
Position 11740: 0.00046659434107243497
Position 5575: 0.00045658409306753404
Position 7142: 0.0004544226171279438
Position 1496: 0.0004078203551854001
Position 8496: 0.0004065597983883988
Position 2986: 0.00040099905199601315
Position 11378: 0.0003311130438681385
Position 1070: 0.00030971263297917864
Position 7736: 0.00026213807955226606
Position 1025: 0.00026046783944397913
Position 3634: 0.00018043730343580942
Position 11205: 0.00016804256411871027
Position 918: 0.00015298702059417113
Position 3263: 0.0001385228360504191
Position 4328: 0.00012054832262764594
Position 2603: 0.0001181975892238934
Position 563: 8.835292833231596e-05
Position 372: 8.174534738024109e-05
Position 11534: 8.099156473480574e-05
Position 11494: 7.282470370337149e-05
Position 24: 7.141476211114432e-05
Position 3242: 7.054523954273485e-05
Position 200: 6.663829449533435e-05
Position 2369: 6.594474352903584e-05
Position 2640: 6.540125446959067e-05
Position 2412: 5.335517582569004e-05
Position 5309: 4.981712847033376e-05
Position 2120: 4.8236439871448466e-05
