Gene = Svil
index = 1534
Annotated 5SS: [ 89615 107183 107574 117498 118075 118304 120382 120692]
Annotated 3SS: [106908 107417 117355 117563 118145 118362 120443 120750]
SMsplice 5SS: [   211    595  25302  37810  58574  62176  66184  66433  68447  82499
  83614 107183 107574 117498 118075 118304 120382 120692]
SMsplice 3SS: [   276  24899  37735  56970  61843  65734  66332  66843  81935  83490
 106908 107417 117355 117563 118145 118362 120443 120750]
top_k =  500
Partition function (log Z): -115.62598653142096

Sorted 5' Splice Sites (High to Low Probability):
Position 25302: 0.9999949162084338
Position 211: 0.8159257710980896
Position 595: 0.7383881400085867
Position 1789: 0.5015115032124393
Position 14511: 0.29871498454619444
Position 613: 0.2012996049553607
Position 7753: 0.07327745161761305
Position 174: 0.06382493986694705
Position 7546: 0.06249586036739849
Position 12434: 0.04174641834036734
Position 398: 0.02157887570026958
Position 4269: 0.012874510348757274
Position 24996: 0.008993511619054002
Position 2042: 0.007078190689553818
Position 217: 0.004499157041067647
Position 195: 0.003906496206740113
Position 607: 0.0035286028260708463
Position 187: 0.003380295818942573
Position 277: 0.0030544709532388074
Position 1660: 0.0027976612012133957
Position 1343: 0.002385200877785167
Position 402: 0.0021766834782489895
Position 1302: 0.001780116252075631
Position 769: 0.0012072970678341807
Position 388: 0.001167674259839067
Position 948: 0.0007606279375907484
Position 404: 0.0007179147259761403
Position 225: 0.0006784797780799347
Position 198: 0.0005406514920391
Position 249: 0.0002719657787464075
Position 1491: 0.00026332222202498994
Position 474: 0.00024003147528821772
Position 189: 0.00022738001767018512
Position 1221: 0.0001693433317586349
Position 643: 0.0001666939686954087
Position 1235: 0.00014934643445589288
Position 1313: 0.00013219863889328104
Position 368: 0.00011930089579638534
Position 605: 0.00011846051383859029
Position 964: 0.00011404338111655665
Position 636: 0.00010775006047331343
Position 567: 9.802311795759656e-05
Position 3535: 6.829025792448728e-05
Position 1248: 6.249284105917892e-05
Position 599: 5.0805311877652256e-05
Position 1318: 4.145659026728488e-05
Position 392: 3.7635603922596144e-05
Position 228: 3.689531372714441e-05
Position 795: 3.645973752229196e-05
Position 1214: 3.5701929392695524e-05
