Gene = Nle
index = 1323
Annotated 5SS: [1033 1442 1624]
Annotated 3SS: [1090 1496 1682]
SMsplice 5SS: [1033 1442 1624]
SMsplice 3SS: [1090 1496 1682]
top_k =  500
Partition function (log Z): 5.427843337975802

Sorted 5' Splice Sites (High to Low Probability):
Position 1624: 0.9978161531571752
Position 1033: 0.9911313533862856
Position 1442: 0.98018801969733
Position 1212: 0.04011920988316996
Position 369: 0.0063831728865389285
Position 483: 0.004768640920143974
Position 1305: 0.004115752146050996
Position 311: 0.003289844215504473
Position 825: 0.0030260692525156466
Position 542: 0.002917960467006513
Position 1334: 0.002474074745998539
Position 205: 0.0017102489945336843
Position 581: 0.0013473223733637518
Position 1273: 0.0013184996558699336
Position 1309: 0.0013106706890203762
Position 1613: 0.0013069279010857312
Position 939: 0.0012333565443168224
Position 551: 0.0011349290784407973
Position 1024: 0.0009834454382144778
Position 330: 0.0006162444312497489
Position 491: 0.0004695361558227343
Position 1450: 0.00045804756693331784
Position 634: 0.00041242595348410657
Position 768: 0.00040660571645475125
Position 448: 0.000365887064003539
Position 469: 0.0003055588433095722
Position 532: 0.00028662342075820796
Position 20: 0.00027750950840669793
Position 344: 0.0002348745289642314
Position 658: 0.0001845361773237497
Position 1389: 0.0001814712014155324
Position 698: 0.00017813119436824399
Position 996: 0.00017257595181192838
Position 1628: 0.00015459247146340662
Position 1243: 0.0001146306441150618
Position 378: 0.00011134201772474385
Position 360: 0.00010544411316579289
Position 816: 0.00010425643489618724
Position 420: 9.84893276447276e-05
Position 1634: 7.733739572221684e-05
Position 1147: 7.523700744800808e-05
Position 1255: 7.123092366476073e-05
Position 1246: 6.5792664350254e-05
Position 342: 5.9130560969073945e-05
Position 1381: 5.876024941576775e-05
Position 463: 4.992645859925177e-05
Position 299: 4.125718839863365e-05
Position 555: 3.356831497346653e-05
Position 716: 2.2830944734562607e-05
Position 782: 2.013473984370715e-05
Position 1166: 1.922055978645075e-05
Position 261: 1.5628528729460923e-05
Position 1599: 1.4151399950242625e-05
Position 423: 1.3763446432186307e-05
Position 1216: 1.25029908465724e-05
Position 739: 1.1982298779458134e-05
Position 835: 1.1846319371747235e-05
Position 1363: 1.1231135978910037e-05
Position 1411: 1.0723764157478247e-05
Position 1338: 1.045785849222717e-05
Position 1313: 1.006591828300467e-05
Position 30: 9.872341861581635e-06
Position 592: 8.117629667658268e-06
Position 546: 7.3646742613446955e-06
Position 59: 6.286880421986071e-06
Position 1453: 4.628982815895643e-06
Position 315: 2.3973643858173495e-06
Position 394: 2.0564105258823486e-06
Position 1287: 2.0081112793951322e-06
Position 982: 1.7432043230266818e-06
Position 876: 1.5175694934727696e-06
Position 1063: 1.22054709632978e-06
Position 1589: 9.09699480003114e-07
Position 254: 7.548248189024612e-07
Position 1159: 6.662138458053441e-07
Position 1358: 4.1313742154562423e-07
Position 1372: 3.558069004480653e-07
Position 1191: 3.332845244795462e-07
Position 1642: 3.0430903370077226e-07
Position 1132: 2.432494979522616e-07
Position 1553: 9.791141973922392e-08
Position 1672: 3.363086223932123e-08
Position 1555: 1.405399730968875e-08
Position 917: 1.198775938303645e-08
Position 969: 8.056085123593372e-09
Position 1562: 6.012669331389226e-09
Position 908: 5.165670785814504e-09
Position 42: 3.0790860991904606e-09
Position 32: 1.3864678384499353e-09
Position 135: 1.208144719969856e-09
Position 1152: 1.1849349443763467e-10
Position 1317: 6.100116027167363e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1682: 0.9991640552988211
Position 1496: 0.9961930319790255
Position 1090: 0.953802093657671
Position 1104: 0.037661129512457106
Position 1278: 0.024811698069024692
Position 867: 0.010558933914459234
Position 439: 0.006743135983156921
Position 1368: 0.005823875186255299
Position 531: 0.0056812371839115045
Position 876: 0.0020995261219891093
Position 1305: 0.0018277898487011382
Position 1076: 0.00134565668821156
Position 1128: 0.0008599426037213633
Position 1309: 0.0008446716015885685
Position 507: 0.0006169281430947308
Position 1510: 0.0005718395595408391
Position 1503: 0.0005360407615014705
Position 1119: 0.0004125984083454776
Position 822: 0.00033760882262649056
Position 825: 0.0003181280764302879
Position 739: 0.00025780664299864615
Position 1001: 0.00024188076676223686
Position 1516: 0.00019877758737370425
Position 1721: 0.0001849802770062324
Position 74: 0.00017437259290143563
Position 894: 0.00015829016967305984
Position 629: 0.0001235452732065702
Position 356: 0.00012282884962374417
Position 1528: 0.00011777958467371244
Position 721: 8.398796171630313e-05
Position 881: 8.333435557054733e-05
Position 378: 6.252921113066689e-05
Position 83: 6.149153860563092e-05
Position 668: 6.0707905025686764e-05
Position 350: 5.9616063891387996e-05
Position 1421: 5.7313758802766015e-05
Position 641: 3.772864031586265e-05
Position 463: 3.489013985960915e-05
Position 1095: 3.373437996936664e-05
Position 275: 2.5558434341839752e-05
Position 1467: 2.511660852549194e-05
Position 1732: 2.23327807676337e-05
Position 1078: 1.9501160458005808e-05
Position 542: 1.8078959488366606e-05
Position 369: 1.8054288230370168e-05
Position 716: 1.7387878680326207e-05
Position 1328: 1.2030261304218062e-05
Position 125: 7.742177040382056e-06
Position 1231: 7.46169330986402e-06
Position 744: 5.845776304003637e-06
Position 385: 5.225062057564439e-06
Position 1206: 4.743274824954122e-06
Position 589: 4.277620118299553e-06
Position 1531: 3.342866904140005e-06
Position 1441: 3.2445744398918816e-06
Position 86: 2.809159743485567e-06
Position 539: 2.7918455543726627e-06
