Gene = Hr38
index = 1215
Annotated 5SS: [ 1552 24446 26133 27339]
Annotated 3SS: [24131 24986 26251 27521]
SMsplice 5SS: [  385 24446 26133 27339]
SMsplice 3SS: [24131 24986 26251 27521]
top_k =  500
Partition function (log Z): -8.955374315937041

Sorted 5' Splice Sites (High to Low Probability):
Position 27339: 0.9920004151687367
Position 26133: 0.9750712230147882
Position 24446: 0.8028991712814305
Position 385: 0.4398014707988644
Position 190: 0.3703491469713765
Position 1813: 0.27251368606524473
Position 27754: 0.19884864027282487
Position 24395: 0.19421540374521182
Position 1552: 0.11398162961804172
Position 24755: 0.053280070542102084
Position 24703: 0.03605939073203676
Position 28436: 0.021034147712217285
Position 595: 0.018750038706578893
Position 990: 0.012325358186383526
Position 371: 0.007481869948669927
Position 29164: 0.007070296971390998
Position 27794: 0.005774280970877216
Position 27343: 0.005484957332789086
Position 1012: 0.004572385256681443
Position 28919: 0.003949100092267856
Position 27995: 0.0037207573499053984
Position 692: 0.003685529613205672
Position 28552: 0.0036248494044439205
Position 426: 0.0034809861373755924
Position 188: 0.002591274948653915
Position 110: 0.0025038351337710618
Position 288: 0.0024353795155065
Position 389: 0.0023487293884621938
Position 1590: 0.0022785310037577136
Position 1040: 0.0021204093812766354
Position 27670: 0.001892936631443201
Position 324: 0.0018138520041426217
Position 28611: 0.0016560119428357509
Position 26372: 0.0015964504042248985
Position 524: 0.0014693550055411596
Position 28953: 0.0014339857117333247
Position 441: 0.0013809651607719826
Position 29217: 0.001336185261622368
Position 25209: 0.001247811577677667
Position 28585: 0.0011582811409703113
Position 294: 0.001011756136580272
Position 310: 0.0009544461256302263
Position 1556: 0.0007717466520386751
Position 26704: 0.0007350685894323562
Position 27725: 0.0007159433092402815
Position 1211: 0.0005016801940299505
Position 160: 0.0004001022233369061
Position 27348: 0.0003875041599866888
Position 89: 0.00036247434388036467
Position 28593: 0.00032887946338798745
Position 584: 0.00030928335271849735
Position 29430: 0.0002963725578894691
Position 542: 0.0002857873876278411
Position 1429: 0.00027127168182416577
Position 1586: 0.00020424563472056274
Position 539: 0.00017423367014016028
Position 28679: 0.00016869916362698676
Position 1584: 0.00014973458743895325
Position 28753: 0.00014513965279651915
Position 588: 0.00014141337837337222
Position 1014: 0.00014090088090961507
Position 27005: 0.000140685977498846
Position 796: 0.0001367029600571166
Position 572: 0.00013347184523557182
Position 27831: 0.00013252589362338464
Position 688: 0.00013069231021217443
Position 1240: 0.00012182514550793425
Position 650: 8.819282397179087e-05
Position 574: 8.468864798661846e-05
Position 593: 6.980433745739761e-05
Position 222: 6.205223909699822e-05
