Gene = tomb
index = 1914
Annotated 5SS: [201]
Annotated 3SS: [262]
SMsplice 5SS: [201]
SMsplice 3SS: [262]
top_k =  500
Partition function (log Z): -3.814803806220144

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.9653517853342293
Position 471: 0.4534831462688286
Position 197: 0.03141576298693424
Position 418: 0.015241408910690696
Position 481: 0.0025333368204059677
Position 184: 0.0009091521492153253
Position 804: 0.0004918736236009439
Position 438: 0.00013684848554430508
Position 506: 8.180131132191909e-05
Position 280: 3.8006683985473134e-05
Position 104: 2.849585264200829e-05
Position 739: 2.8148339550317065e-05
Position 133: 2.4427807797747616e-05
Position 189: 2.129627591874932e-05
Position 619: 1.3521441665828903e-05
Position 717: 5.995284273769294e-06
Position 288: 5.495877392154325e-06
Position 127: 4.771978640090392e-06
Position 87: 3.4940043869397106e-06
Position 254: 3.3803155764556913e-06
Position 751: 3.2394438136029048e-06
Position 601: 2.95774691059894e-06
Position 762: 2.820399067525259e-06
Position 571: 2.6398623985871616e-06
Position 163: 1.935956226734096e-06
Position 328: 1.8451976698382687e-06
Position 397: 1.2065584477181695e-06
Position 664: 1.0643413198603178e-06
Position 54: 5.234315830607491e-07
Position 292: 2.681928089074929e-07
Position 741: 2.1662527920377273e-07
Position 655: 8.982687630219702e-08
Position 684: 8.600036542965262e-08
Position 5: 3.110300357891395e-08
Position 56: 1.995147274240471e-08
Position 509: 7.785788156794195e-11
Position 307: 8.420170445394228e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.9929181084393472
Position 544: 0.4704831120602088
Position 660: 0.002177944001101225
Position 562: 0.0018757326943213907
Position 566: 0.0007777876693784283
Position 855: 0.0005089157212071121
Position 269: 0.0004512798628005018
Position 315: 0.0002566667421077363
Position 323: 0.00011677293282999952
Position 638: 6.328374392583667e-05
Position 699: 5.816183040140314e-05
Position 862: 5.6496241656831165e-05
Position 868: 1.8916169068385407e-05
Position 481: 1.7429389814957747e-05
Position 335: 1.5469304009943437e-05
Position 509: 1.2816522032926934e-05
Position 471: 8.882052948106712e-06
Position 684: 5.287751121397721e-06
Position 339: 5.286550438798773e-06
Position 277: 2.4049600514076646e-06
Position 506: 2.1499552265884573e-06
Position 571: 1.9797645080987535e-06
Position 163: 1.3150228122967875e-06
Position 717: 1.1351019192365194e-06
Position 288: 7.76146824146282e-07
Position 402: 7.751382992881619e-07
Position 809: 7.737649211464398e-07
Position 780: 4.810264856250977e-07
Position 221: 3.5987328016358725e-07
Position 576: 1.0144734675515923e-07
Position 408: 9.869941852305347e-08
Position 417: 5.771584558429145e-08
Position 184: 5.121763797258854e-08
Position 747: 4.7087619786073884e-08
Position 342: 4.6703094524857985e-08
Position 450: 4.608349920380538e-08
Position 813: 4.458850305216179e-08
Position 804: 2.708606987815097e-08
Position 363: 1.673582262300385e-08
Position 65: 1.2186386548095743e-08
Position 376: 6.956800340878755e-09
Position 370: 6.431251744742587e-09
Position 79: 6.3657406907021026e-09
Position 133: 5.480283934012121e-09
Position 51: 5.317918443395474e-09
Position 367: 4.4748675972185576e-09
Position 142: 2.8315001570970955e-09
Position 54: 2.736555066834329e-09
Position 279: 2.321018657354436e-09
Position 124: 4.5251164271939213e-10
Position 76: 4.408506804001779e-10
Position 98: 3.072154720816544e-10
Position 109: 2.8660266659219426e-10
Position 384: 5.172119609251701e-11
Position 85: 2.330707997109767e-11
Position 95: 1.0262214704573713e-11
Position 92: 3.420342499947902e-12
Position 356: 2.0318671418511322e-16
