Gene = pim
index = 1837
Annotated 5SS: [150 537]
Annotated 3SS: [212 599]
SMsplice 5SS: [150 537]
SMsplice 3SS: [212 599]
top_k =  500
Partition function (log Z): 1.5042103249326777

Sorted 5' Splice Sites (High to Low Probability):
Position 150: 0.9938484288126903
Position 537: 0.9930209888776927
Position 418: 0.07704090422426887
Position 273: 0.012683131009652931
Position 413: 0.011483953551251118
Position 888: 0.001856304309094009
Position 164: 0.0018068099375881524
Position 824: 0.0014993236751558799
Position 345: 0.0010115922256797782
Position 541: 0.0006332779900807585
Position 287: 0.0004583126505946411
Position 392: 0.0002894660758958302
Position 865: 0.00021602939283069182
Position 254: 0.00014738631656798954
Position 961: 0.0001408555394170373
Position 516: 9.020907166539232e-05
Position 850: 4.703144578569072e-05
Position 181: 3.577781153319697e-05
Position 389: 2.2628160436896913e-05
Position 896: 1.653617091432682e-05
Position 868: 1.5745293724980156e-05
Position 154: 1.3116538515744815e-05
Position 14: 1.2125115914378898e-05
Position 842: 9.535551194606243e-06
Position 185: 8.063414957102761e-06
Position 348: 7.849719350087662e-06
Position 452: 4.198898182035711e-06
Position 616: 4.087258814418479e-06
Position 984: 8.322160455743703e-07
Position 175: 6.607699895373343e-07
Position 239: 5.895728765685489e-07
Position 484: 4.929022162889628e-07
Position 476: 4.7391496658723746e-07
Position 473: 3.659074333100035e-07
Position 316: 1.999250365825466e-07
Position 23: 1.0515518495421145e-07
Position 212: 4.6347673221694745e-08
Position 179: 3.5856044832160956e-08
Position 576: 8.667524472632456e-10
Position 602: 1.7312987710352362e-10
Position 588: 5.233575972932266e-11
Position 585: 1.2681011699196859e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 212: 0.9945104776042466
Position 599: 0.9924258088711793
Position 471: 0.08783714537021765
Position 324: 0.007814450801872678
Position 343: 0.004827037870974955
Position 952: 0.0019320585992186965
Position 883: 0.0017364347249533233
Position 608: 0.0011822761615581598
Position 585: 0.0010781193685925274
Position 262: 0.0006481197662430071
Position 348: 0.0004118321947532293
Position 399: 0.00032805938055347275
Position 699: 0.00020248175726175394
Position 218: 0.00018786524030223726
Position 1019: 0.0001365945196380397
Position 1022: 0.000134720416218203
Position 887: 0.00011747179037154413
Position 716: 0.00011261790020386879
Position 373: 9.01002213570197e-05
Position 1051: 8.248510451064366e-05
Position 749: 6.919595358739215e-05
Position 1028: 6.85667489576516e-05
Position 196: 6.812135800321283e-05
Position 432: 6.630054610107987e-05
Position 932: 6.505503480797515e-05
Position 868: 5.54847192569719e-05
Position 396: 5.104368227686761e-05
Position 835: 4.549884026442942e-05
Position 961: 4.088073048840619e-05
Position 531: 3.6557816986191246e-05
Position 511: 1.553920352520019e-05
Position 629: 1.126264546033043e-05
Position 523: 8.193251037503176e-06
Position 1041: 7.932680843815624e-06
Position 473: 4.743030561794633e-06
Position 417: 3.666459824910327e-06
Position 358: 2.5683777689112347e-06
Position 1086: 2.377531392090325e-06
Position 641: 2.1852220684521507e-06
Position 65: 1.4925904437574097e-06
Position 610: 1.3676347816813117e-06
Position 239: 6.985960117114145e-07
Position 934: 6.299723661810014e-07
Position 850: 6.098048973403406e-07
Position 118: 4.780828898596631e-07
Position 815: 3.9756163455739174e-07
Position 767: 2.2505211633174098e-07
Position 535: 1.8769159383923518e-07
Position 163: 2.0703026198081128e-08
Position 413: 1.4644366451026025e-08
Position 409: 9.84126717076119e-09
Position 185: 5.853606576982887e-09
Position 130: 3.1684186254747802e-09
Position 154: 1.6957164840835917e-11
