Gene = DCTN6-p27
index = 1121
Annotated 5SS: [94]
Annotated 3SS: [160]
SMsplice 5SS: [94]
SMsplice 3SS: [160]
top_k =  500
Partition function (log Z): -6.798885618074564

Sorted 5' Splice Sites (High to Low Probability):
Position 94: 0.9908177187360163
Position 53: 0.005027212918661505
Position 43: 0.0022363647824906866
Position 274: 0.0017454821420869306
Position 109: 0.001538543134881109
Position 498: 0.000926738996881839
Position 240: 0.0003607798074865017
Position 321: 0.0002866554542403345
Position 211: 0.00020660696273209591
Position 258: 0.00017485703088776627
Position 237: 5.5305845687065806e-05
Position 227: 2.882276976401442e-05
Position 462: 2.2699474909773976e-05
Position 490: 1.7453166639822804e-05
Position 411: 1.642929470550621e-05
Position 495: 1.5451903736578518e-05
Position 235: 1.1765370045046754e-05
Position 523: 1.113573012720564e-05
Position 455: 1.081292005807499e-05
Position 250: 7.137010312002486e-06
Position 493: 2.923516367723209e-06
Position 399: 2.4772851058915696e-06
Position 186: 6.324391324877003e-07
Position 441: 5.949145099386772e-07
Position 348: 5.762950482882612e-07
Position 472: 5.553907558752179e-07
Position 480: 3.345901662554452e-07
Position 357: 2.651567150583838e-07
Position 474: 2.1927096381997893e-07
Position 633: 2.118692597795533e-07
Position 390: 1.797109659323041e-07
Position 183: 4.519696425807782e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 160: 0.9446419649671162
Position 138: 0.0503493721034877
Position 179: 0.0037511552662592316
Position 399: 0.0015662223751094237
Position 566: 0.0010987075273961057
Position 324: 0.0009599273738461966
Position 93: 0.0002733880585841825
Position 103: 0.0001942062637428901
Position 306: 0.00017258666586896662
Position 487: 0.00012308592907142203
Position 273: 0.00011733780236252316
Position 561: 0.00011716256571201699
Position 338: 8.824390415702571e-05
Position 202: 1.7110605782376458e-05
Position 526: 1.4420589970459773e-05
Position 614: 1.270616010888338e-05
Position 605: 9.455815896564508e-06
Position 575: 6.109314206161736e-06
Position 308: 4.630515516571409e-06
Position 596: 3.965693707888386e-06
Position 109: 3.1077711472932404e-06
Position 632: 7.197657267720205e-07
Position 515: 4.635937224529015e-07
Position 194: 3.964097495319628e-07
Position 411: 2.8542117412417206e-07
Position 683: 2.118692597795538e-07
Position 197: 9.258178871527216e-12
Position 250: 4.1735519955491896e-12
Position 293: 1.193267784475677e-12
Position 199: 3.1598912857016743e-15
