Gene = EMC3
index = 1144
Annotated 5SS: [238]
Annotated 3SS: [297]
SMsplice 5SS: [238]
SMsplice 3SS: [297]
top_k =  500
Partition function (log Z): -6.041937587844775

Sorted 5' Splice Sites (High to Low Probability):
Position 238: 0.9868836908913212
Position 244: 0.01196573927952511
Position 646: 0.0027727771842114167
Position 369: 0.002739250979424741
Position 161: 0.0009332525576331175
Position 551: 0.0009292354873274027
Position 170: 0.0002499018320350456
Position 124: 0.00024550671296885213
Position 661: 0.00019384044986777977
Position 464: 0.00012708712852787016
Position 629: 8.305701902662587e-05
Position 507: 7.754121771334356e-05
Position 659: 6.183429698591105e-05
Position 796: 5.197273423871626e-05
Position 12: 2.8994839935852865e-05
Position 689: 2.7652878275202357e-05
Position 253: 2.5800809644326796e-05
Position 340: 1.778606777736411e-05
Position 41: 1.643185330391854e-05
Position 485: 1.3801920091272525e-05
Position 902: 1.2770933490445678e-05
Position 897: 9.049363645947096e-06
Position 820: 6.648309918500065e-06
Position 143: 3.2580641020137908e-06
Position 497: 2.8076267615024883e-06
Position 36: 2.6762671305584303e-06
Position 154: 2.6700115363506612e-06
Position 128: 1.7427309174391994e-06
Position 923: 1.022919352516877e-06
Position 526: 7.259785345160214e-07
Position 428: 6.824679081635792e-07
Position 122: 5.04392093097882e-07
Position 870: 3.912029463846757e-07
Position 130: 1.1666500842234298e-07
Position 182: 6.509619254130538e-08
Position 500: 1.91270690378827e-09
Position 599: 1.1533036865026729e-10
Position 273: 1.4395642745818386e-11
Position 539: 1.1995733600634095e-11
Position 290: 4.107259888371353e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 297: 0.9688778316338946
Position 301: 0.027634603934651107
Position 718: 0.00361464665878225
Position 724: 0.00187172291336246
Position 431: 0.0011711815565210522
Position 769: 0.0011034239382384497
Position 910: 0.0007770513447092014
Position 580: 0.0005234539019358527
Position 205: 0.0003581043310139375
Position 232: 0.0002859875077556198
Position 778: 0.00022639089179367114
Position 730: 0.00017753939445382366
Position 592: 0.0001707977242677005
Position 550: 0.00012431487817724977
Position 237: 0.00010395535471557587
Position 790: 8.042716918103692e-05
Position 373: 7.324861301441945e-05
Position 208: 3.6164539167109235e-05
Position 638: 3.3918687767189496e-05
Position 934: 3.1963700115328374e-05
Position 76: 2.6625377459745233e-05
Position 211: 2.5530585702654607e-05
Position 415: 2.4909408191611837e-05
Position 968: 1.912105619696603e-05
Position 348: 1.728790149190072e-05
Position 951: 1.706409494322576e-05
Position 469: 1.2728278072370698e-05
Position 355: 1.1969822628208276e-05
Position 947: 1.1567803348910353e-05
Position 97: 1.0137524030935176e-05
Position 409: 9.941417167815764e-06
Position 931: 9.365301192739028e-06
Position 331: 7.048250222830035e-06
Position 604: 2.4482506582844255e-06
Position 63: 2.3629275128667745e-06
Position 870: 1.6454230142844809e-06
Position 972: 1.343140386556229e-06
Position 391: 1.3264182287173609e-06
Position 838: 5.74697845903029e-07
Position 273: 5.530713676262125e-07
Position 217: 8.846745068271753e-09
Position 258: 1.387746463437888e-09
Position 340: 3.9413639704158785e-10
Position 394: 1.4214318869035637e-10
Position 253: 2.1513447566003473e-11
Position 242: 1.1374357080032637e-11
Position 357: 9.30081622220863e-13
Position 262: 1.374311893078717e-13
Position 244: 2.211803176928908e-19
Position 248: 2.1352281229643977e-19
