Gene = dib
index = 1670
Annotated 5SS: [ 598 1340 1597]
Annotated 3SS: [ 737 1398 1682]
SMsplice 5SS: [ 598 1340 1597 1818]
SMsplice 3SS: [ 737 1398 1682 1939]
top_k =  500
Partition function (log Z): 0.14373838616007184

Sorted 5' Splice Sites (High to Low Probability):
Position 1340: 0.9826610186642188
Position 1597: 0.9319764054037497
Position 598: 0.8609755788865324
Position 1818: 0.6386922509603575
Position 641: 0.06854137219455007
Position 971: 0.04095952934922096
Position 1046: 0.03881267063721666
Position 1804: 0.0322529688345397
Position 622: 0.029611253637601608
Position 148: 0.019437740856743605
Position 1013: 0.011953305813260255
Position 2037: 0.010893239762424678
Position 1346: 0.009839497334310702
Position 1812: 0.00889429540003009
Position 221: 0.00575393368186654
Position 676: 0.004558658448100462
Position 447: 0.004386736588138973
Position 2078: 0.003972265278397676
Position 986: 0.0029327505762327542
Position 1043: 0.0024784130007930484
Position 1493: 0.001985266572027616
Position 1629: 0.0017291878443550775
Position 981: 0.0009978249599548634
Position 942: 0.0007627848586760651
Position 959: 0.0006354797741516744
Position 1863: 0.0005932838289867206
Position 602: 0.0005484342307273301
Position 1876: 0.0005021722184643084
Position 1344: 0.00047251581097440667
Position 1038: 0.0004360630688218641
Position 284: 0.00032162261891195736
Position 550: 0.0003067787290498487
Position 475: 0.00029185452079349224
Position 1792: 0.00025570096081124186
Position 498: 0.0002528055570658376
Position 1529: 0.0002288095302421229
Position 1317: 0.000224443770603634
Position 281: 0.00016749227310998844
Position 1423: 0.000159294836819597
Position 243: 0.00015338725522188697
Position 553: 0.0001442166523294945
Position 433: 0.0001393616563782776
Position 1822: 0.0001289343155347166
Position 418: 0.00011494053093392967
Position 1328: 0.00011302678875330384
Position 1283: 9.779814225043822e-05
Position 477: 9.627850526646701e-05
Position 2134: 9.340690629896904e-05
Position 1093: 9.289336895329312e-05
Position 107: 8.68737546281744e-05
Position 428: 8.603971541588678e-05
Position 35: 6.433049210857403e-05
Position 1139: 6.323892136261208e-05
Position 1277: 5.6194418197172324e-05
Position 1496: 5.090634535966614e-05
Position 1921: 4.8194853320329775e-05
Position 507: 4.391620867119605e-05
Position 1516: 3.701870703016133e-05
