Gene = crim
index = 1658
Annotated 5SS: [166 379]
Annotated 3SS: [237 434]
SMsplice 5SS: [166 379]
SMsplice 3SS: [237 434]
top_k =  500
Partition function (log Z): 0.519380332491854

Sorted 5' Splice Sites (High to Low Probability):
Position 166: 0.9907338484624146
Position 379: 0.9904105946647012
Position 173: 0.004977145397830037
Position 668: 0.0037234397685865384
Position 360: 0.0023302936552599893
Position 30: 0.0012478459947543633
Position 675: 0.0009434564093029722
Position 53: 0.0005240624225882086
Position 661: 0.00024295880048965467
Position 48: 6.624057391065652e-05
Position 59: 5.031705308861057e-05
Position 551: 4.0609318580164545e-05
Position 578: 2.8752086343921134e-05
Position 10: 2.80361532680665e-05
Position 68: 2.6965407494936784e-05
Position 51: 1.9494330864339653e-05
Position 61: 1.3887848489278767e-05
Position 585: 7.459933112207085e-06
Position 731: 7.458622568721742e-06
Position 612: 2.08062882407058e-06
Position 207: 1.8653465776537667e-06
Position 726: 1.5571242735340064e-06
Position 453: 1.4915665365793955e-06
Position 739: 1.119061431510658e-06
Position 354: 6.6909260132744e-07
Position 607: 8.244982203921457e-08
Position 293: 7.354168248436545e-08
Position 396: 4.5447950227196e-08
Position 513: 4.273839992479622e-08
Position 516: 4.0445530353033326e-08
Position 251: 2.627574323249975e-08
Position 211: 1.0087882543945821e-08
Position 774: 9.28598153245396e-09
Position 198: 7.114938115131376e-09
Position 283: 1.1539390651830957e-10
Position 230: 4.695357947001786e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 237: 0.9956356267164688
Position 434: 0.9780824739063281
Position 438: 0.010886116729037007
Position 731: 0.005273877925978145
Position 135: 0.0014201792965896174
Position 509: 0.0012992794901039838
Position 465: 0.0009976311425945548
Position 83: 0.0005343680812515522
Position 485: 0.0004586319963546526
Position 568: 0.00030662980305596715
Position 712: 0.0002180861960872299
Position 819: 0.00018208532880208773
Position 293: 3.923830318025686e-05
Position 542: 2.678292965527616e-05
Position 571: 1.9897362770284464e-05
Position 312: 1.9672354218599802e-05
Position 538: 1.8507474546880738e-05
Position 739: 6.596765144778355e-06
Position 726: 3.258950765286612e-06
Position 826: 1.3850181896716955e-06
Position 648: 1.289655145793704e-06
Position 150: 1.0123258588908125e-07
Position 290: 9.73532357577541e-08
Position 198: 7.557329086736905e-08
Position 359: 7.173054380096561e-08
Position 474: 2.305691182825989e-08
Position 170: 1.8181540343385058e-09
Position 173: 7.832811982942021e-10
Position 368: 1.7325900561501894e-10
Position 164: 1.264193615538489e-10
Position 326: 2.1625625362942075e-13
Position 405: 7.188413816395755e-15
Position 383: 1.8708872290499285e-17
