Gene = capt
index = 1642
Annotated 5SS: [ 184 4877 5492 6086]
Annotated 3SS: [4530 4943 5561 6146]
SMsplice 5SS: [ 184 4877 5492 6086]
SMsplice 3SS: [4530 4943 5561 6146]
top_k =  500
Partition function (log Z): 6.934328463354261

Sorted 5' Splice Sites (High to Low Probability):
Position 184: 0.9994957051285155
Position 6086: 0.998825663830604
Position 5492: 0.9943956755159132
Position 4877: 0.980974131741736
Position 3981: 0.4895445739279631
Position 4379: 0.2034242942137766
Position 4374: 0.04090981214681115
Position 3475: 0.022282599364211966
Position 1644: 0.019264315664547973
Position 1918: 0.010804222791056894
Position 848: 0.00949486602696614
Position 3711: 0.00906747390310828
Position 3162: 0.007465314884105186
Position 4171: 0.0062099841138787155
Position 892: 0.005055439129504694
Position 3006: 0.004240736961117604
Position 5794: 0.0041138251875079265
Position 4881: 0.003895470588143925
Position 3098: 0.0038174077850112315
Position 6256: 0.003715656448538336
Position 1396: 0.002354059479788099
Position 4000: 0.0016792711805718133
Position 1456: 0.0016476007766280908
Position 1892: 0.0013355628522896538
Position 5514: 0.0012613641721694673
Position 5808: 0.000991422763437209
Position 6278: 0.0008905057797689666
Position 4905: 0.0008822695744649389
Position 3762: 0.0007913577356468552
Position 5806: 0.0007005725537955655
Position 6297: 0.00038070633912917155
Position 6467: 0.00032195903877677104
Position 5474: 0.000318180915446183
Position 5530: 0.00030912968253253776
Position 5789: 0.0002578889770636014
Position 5761: 0.00020174258384851647
Position 5133: 0.0001784395077283168
Position 5765: 8.718860283757724e-05
Position 6260: 8.700568898247774e-05
Position 6209: 6.967377105263362e-05
Position 6452: 6.736623911434958e-05
Position 5792: 5.869067925700714e-05
Position 5351: 5.7795735029295836e-05
Position 5840: 4.8891229063655776e-05
Position 6398: 4.2817789751517255e-05
Position 307: 4.21652987523939e-05
Position 601: 3.912853227148758e-05
Position 453: 3.8365903067533604e-05
Position 5131: 3.5093712436427545e-05
Position 6090: 3.089916812631252e-05
Position 5942: 3.0459733935666488e-05
Position 6275: 2.823191074822564e-05
Position 675: 1.8063618313250694e-05
Position 6323: 1.75115118057251e-05
Position 2517: 1.5319582719265565e-05
Position 6235: 1.5267217926803723e-05
Position 543: 1.3050590045114929e-05
Position 687: 1.2741537358142069e-05
Position 932: 1.2161805776208794e-05
Position 5573: 8.98812473385811e-06
Position 1263: 8.851731333350531e-06
Position 5963: 7.5948028155672125e-06
Position 5260: 7.57360764890173e-06
Position 300: 6.9481000987702026e-06
Position 5378: 6.509250923200292e-06
Position 960: 6.009120438751113e-06
Position 1719: 4.689345557348173e-06
Position 1419: 4.168051638600618e-06
Position 188: 4.055817122311254e-06
Position 125: 3.821173769812309e-06
Position 1069: 3.158451645044585e-06
Position 472: 2.6213023498442608e-06
Position 5244: 2.5521031444122006e-06
Position 1666: 2.4840349741722487e-06
Position 1274: 2.3198819269352987e-06
Position 354: 1.8497717788696519e-06
Position 49: 1.442347672188492e-06
Position 6469: 1.324159810627005e-06
Position 679: 1.1288721045781736e-06
Position 80: 1.0702181860137694e-06
Position 6310: 7.528485777727288e-07
Position 293: 7.390442788477723e-07
Position 437: 6.960177234369037e-07
Position 334: 5.490815553644415e-07
Position 474: 4.504657677862439e-07
Position 6317: 4.416841368362459e-07
Position 21: 4.283555829639984e-07
Position 435: 3.848038484303641e-07
Position 338: 3.490774396963085e-07
Position 580: 3.325526731122964e-07
Position 420: 2.0243695067866234e-07
Position 818: 1.6744677786931303e-07
Position 418: 1.6082586123227553e-07
Position 336: 1.4218244545380438e-07
Position 541: 6.463786991431949e-08
Position 201: 4.460015085019912e-08
Position 5317: 2.399918767049805e-08
Position 446: 1.473013589474631e-08
Position 4956: 1.3641513106978039e-08
Position 6029: 7.608200179550921e-09
Position 5911: 7.298642908072093e-09
Position 6040: 7.08770462571714e-09
Position 104: 6.087558876989536e-09
Position 5519: 5.737834237933168e-09
Position 5725: 5.554488697664483e-09
Position 5375: 4.8336937965593005e-09
Position 5995: 3.811760522678427e-09
Position 6020: 2.734522032937342e-09
Position 106: 2.609076284462551e-09
Position 5737: 1.6326047002662167e-09
Position 5954: 1.580337404365077e-09
Position 5894: 7.903206449418636e-10
Position 5930: 6.653243007348277e-10
Position 5153: 4.80563419095043e-10
Position 5897: 2.6251027496470156e-10
Position 5800: 2.291331894608529e-10
Position 58: 2.1169778066744187e-10
Position 213: 1.831095363428138e-10
Position 311: 1.1976294206872024e-10
Position 5798: 1.1516911144107531e-10
Position 360: 1.036052381262036e-10
Position 364: 1.0092724600098718e-10
Position 5647: 9.315748470576833e-11
Position 358: 5.4264282525055975e-11
Position 129: 4.9927754153750023e-11
Position 314: 4.8632727646804485e-11
Position 277: 3.262697289253115e-11
Position 340: 3.2003747533084544e-11
Position 275: 2.8735480513788388e-11
Position 342: 2.199352170991375e-11
Position 5239: 7.221682906164791e-12
Position 6207: 4.291921629664675e-12
Position 260: 8.604309760714087e-13
Position 319: 8.720846979953513e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 6146: 0.9988047186959529
Position 5561: 0.9958364107849708
Position 4943: 0.9829992689498611
Position 4530: 0.8805862013453266
Position 3855: 0.5194377104995759
Position 4036: 0.059388930940838594
Position 3208: 0.05810233691013825
Position 3821: 0.05008439008911974
Position 4033: 0.03197501136958282
Position 4257: 0.024630593187232437
Position 4453: 0.02215491933844342
Position 3802: 0.021311473969142895
Position 4094: 0.020384389049942355
Position 4373: 0.018570406081953983
Position 1510: 0.01688251338056148
Position 3182: 0.013708357646416243
Position 4284: 0.008810860434009584
Position 4956: 0.007791470301376093
Position 3089: 0.006967197949903212
Position 1023: 0.006721424523899627
Position 4097: 0.005395509280693768
Position 3782: 0.005276186735383
Position 565: 0.005150308488359651
Position 4351: 0.004704120897865981
Position 3039: 0.004616939525733348
Position 4170: 0.004403074278899636
Position 967: 0.004090339325115463
Position 562: 0.00364745997632349
Position 1339: 0.0034954079542918615
Position 3762: 0.0032341675320125157
Position 2829: 0.0028983243973545927
Position 5869: 0.0026220686153641307
Position 537: 0.002515449507310512
Position 1492: 0.002488324918680487
Position 3222: 0.0022664475619722383
Position 5872: 0.0021737624982260586
Position 6341: 0.002047608770452211
Position 6333: 0.0019415435682216538
Position 4716: 0.0017553712745498882
Position 1747: 0.001571226558229616
Position 4977: 0.0015123174860968808
Position 653: 0.0013562879121694555
Position 1296: 0.001298622750339429
Position 694: 0.0011366987553679694
Position 2810: 0.0010348970847825134
Position 4632: 0.0009698172522292485
Position 847: 0.0007305160473616641
Position 794: 0.0007080580503085849
Position 3005: 0.0006934382766223256
Position 5839: 0.0006863631975688731
Position 6310: 0.0006476194292249953
Position 3341: 0.000608733028940295
Position 1708: 0.0005993208357460752
Position 6533: 0.0005698877210539017
Position 5283: 0.0005236843938424641
Position 2989: 0.0005006610229992656
Position 2886: 0.00046752016689386355
Position 5590: 0.0004501179695631113
Position 3250: 0.00042285359380868663
Position 5833: 0.0003951137827783888
Position 1554: 0.0003948383130669031
Position 3767: 0.0003708727436819289
Position 1221: 0.0003139574682561174
Position 6170: 0.0002903124604042432
Position 6317: 0.0002898066312050797
Position 1456: 0.0002811621925820671
Position 350: 0.0002784401494138595
Position 5681: 0.00025508392129552644
Position 3085: 0.0002462039922223542
Position 1778: 0.00022993926233630933
Position 2253: 0.00022719163942485019
Position 516: 0.00022710848926657483
Position 5642: 0.000217182130505136
Position 1155: 0.0001993446267809686
Position 770: 0.00018411679603945298
Position 3274: 0.00015241887402168817
Position 5926: 0.00012962828370630068
Position 6513: 0.00011699378122738363
Position 5105: 0.0001160740588580085
Position 6007: 9.572595138337721e-05
Position 2966: 9.325916500963906e-05
Position 1594: 8.841874710642576e-05
Position 1461: 7.568914920768454e-05
Position 5992: 7.454218981033666e-05
Position 601: 6.292282364661714e-05
Position 6427: 5.7792251984814645e-05
Position 1419: 5.528327824257365e-05
Position 387: 5.2165781703373404e-05
Position 1263: 4.531511903485572e-05
Position 5941: 4.374687770124579e-05
Position 275: 3.956699279036045e-05
Position 5806: 3.942904078353588e-05
Position 3539: 3.662847303534233e-05
Position 541: 3.413547788715932e-05
Position 6465: 3.174716061020608e-05
Position 5034: 2.4875280109062655e-05
Position 5569: 2.1843782959377966e-05
Position 4995: 2.1800389683045592e-05
Position 2323: 2.132404665613002e-05
Position 5572: 2.0043387751218515e-05
Position 920: 1.755339322792604e-05
Position 2071: 1.7466499925551936e-05
Position 1811: 1.540603750101176e-05
Position 1775: 1.4578610538643955e-05
Position 704: 1.4342109675886494e-05
Position 5647: 9.729392266883328e-06
Position 2939: 8.748420123243762e-06
Position 6220: 8.533175807915624e-06
Position 6194: 6.305305396024153e-06
Position 6167: 5.5038141926256104e-06
Position 6176: 5.086495320682199e-06
Position 6152: 4.516354991139557e-06
Position 6398: 3.858815893138732e-06
Position 946: 3.1933298331405504e-06
Position 6285: 3.0273080823233007e-06
Position 824: 2.772359572633982e-06
Position 1169: 2.336366034074909e-06
Position 6203: 2.265561123373503e-06
Position 152: 9.690436943515168e-07
Position 940: 7.549605127403892e-07
Position 612: 7.387729218572622e-07
Position 304: 7.10160849721307e-07
Position 1242: 4.760179670139753e-07
Position 118: 4.400661476613841e-07
Position 69: 2.7050332455258384e-07
Position 661: 2.3484785960950853e-07
Position 748: 2.1607698413157085e-07
Position 1312: 2.00473386295198e-07
Position 174: 1.237246228392694e-07
Position 171: 5.680668578341152e-08
Position 740: 4.473611430406495e-08
Position 706: 3.819065564185344e-08
Position 1666: 3.0697580934008547e-08
Position 1840: 2.989826548453019e-08
