Gene = lama
index = 1756
Annotated 5SS: [  230  8296 10087 10268]
Annotated 3SS: [ 8239  9422 10150 10327]
SMsplice 5SS: [  230 10087 10268]
SMsplice 3SS: [ 9422 10150 10327]
top_k =  500
Partition function (log Z): 1.3364017313848264

Sorted 5' Splice Sites (High to Low Probability):
Position 10268: 0.9999045072519254
Position 10087: 0.9711988245862874
Position 8296: 0.7140211186930256
Position 230: 0.44287231527908055
Position 2245: 0.43073895901539544
Position 1309: 0.40191913311210953
Position 9232: 0.2934594471988564
Position 105: 0.17449307788285345
Position 10743: 0.11285879714642251
Position 4605: 0.05111343676848122
Position 374: 0.030297121223934017
Position 2249: 0.029885764651914056
Position 4454: 0.02556312033687208
Position 11904: 0.0207724529106249
Position 2577: 0.017875381459147546
Position 12039: 0.017137113604678268
Position 9986: 0.01573440614713405
Position 189: 0.014687319842171026
Position 11924: 0.013003002626857527
Position 303: 0.010955245615670038
Position 4508: 0.010030412397548453
Position 1394: 0.007105175765287761
Position 3981: 0.006292807869391654
Position 1130: 0.00489450844546205
Position 11151: 0.004248397381924989
Position 10811: 0.0032831914756954474
Position 1609: 0.0026768460274111975
Position 2094: 0.002205641222295133
Position 1357: 0.0020312114290447023
Position 11942: 0.0020311125465748638
Position 12189: 0.001967136059212248
Position 331: 0.0015253026218658714
Position 11915: 0.001270712588448779
Position 235: 0.001196525798872782
Position 11037: 0.0011858489836279512
Position 389: 0.0010544497046576585
Position 3213: 0.0008812772741400071
Position 164: 0.0007340149663266931
Position 97: 0.0005865092879923348
Position 12132: 0.0005392363101583557
Position 4514: 0.00048687955010767465
Position 2949: 0.0004659281312876683
Position 581: 0.00041586647206620484
Position 11715: 0.00041168825144367595
Position 1675: 0.0003739250820511682
Position 10780: 0.00036444572626675146
Position 11001: 0.0003396041343560373
Position 10639: 0.00033065351298849417
Position 2977: 0.00030490877266750436
Position 2707: 0.000271933933525532
Position 667: 0.00026926880598586336
Position 1002: 0.0002573425325699099
Position 1000: 0.0002484973641702701
Position 998: 0.00023276026674640344
Position 4153: 0.00020843896391453112
Position 1004: 0.00020476716070913552
Position 994: 0.00020207189236924253
Position 3935: 0.00020081146422543737
Position 751: 0.00018600953679008534
Position 1006: 0.00018481840592570996
Position 4493: 0.00016454640881616222
Position 2193: 0.00016343305548155259
Position 2517: 0.00015677465347640917
Position 401: 0.0001284557411137033
Position 1008: 0.00012523506110879458
Position 10864: 0.00012274578245985397
Position 1059: 0.00010510965715019858
Position 12087: 8.79458818001533e-05
Position 996: 7.208692016206849e-05
Position 884: 6.994656774105164e-05
Position 2934: 6.673521519747482e-05
Position 10259: 5.99398536444026e-05
Position 1105: 5.200933351037368e-05
Position 10262: 3.325445999974714e-05
Position 125: 2.49768097293289e-05
Position 2551: 2.4330013332305782e-05
Position 2316: 2.1326847662570492e-05
Position 10857: 1.8237762777276084e-05
Position 10953: 1.2109789125714155e-05
Position 10751: 1.0438907276386288e-05
Position 2324: 9.348661071949783e-06
Position 57: 7.553578942915028e-06
Position 112: 6.3553563409198725e-06
Position 11477: 6.1240864499286385e-06
Position 10378: 5.25318739255719e-06
Position 10885: 5.167380328884725e-06
Position 10849: 5.1050425604182145e-06
Position 599: 4.856154808439497e-06
Position 10817: 4.743787945739913e-06
Position 10793: 4.471015911816513e-06
Position 208: 1.1574948770243699e-06
Position 11120: 8.739508822316702e-07
Position 10835: 1.8480567200247897e-07
Position 11028: 4.5325491270149285e-08
Position 181: 3.638109513619685e-08
Position 1010: 2.3148218170013912e-08
Position 9: 2.0952390103311894e-08
Position 10866: 1.9302673179676526e-08
Position 34: 1.0107690836735467e-08
Position 263: 3.881534222083808e-09
Position 29: 4.5020217317313153e-10
Position 480: 4.2626648369316105e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10327: 0.998976678189226
Position 10150: 0.9950482464232018
Position 9422: 0.9159223470351667
Position 7870: 0.39941732561545334
Position 2135: 0.3644632819815578
Position 8239: 0.1966192559886429
Position 7890: 0.09253332894397139
Position 9128: 0.08625126082706537
Position 8430: 0.07086938018703207
Position 4275: 0.06595875804667832
Position 2159: 0.054276133510996936
Position 11962: 0.05235053276343374
Position 10956: 0.05137717643552862
Position 2010: 0.03649743324953224
Position 8404: 0.034132330648209655
Position 8901: 0.031229437403996467
Position 8514: 0.030841846516608432
Position 498: 0.024249609391944375
Position 1180: 0.024057168984742347
Position 9556: 0.022786263099878884
Position 12107: 0.021494868247479162
Position 3834: 0.01740640344756849
Position 8859: 0.016502826843544444
Position 9804: 0.01602863017354445
Position 9282: 0.015411041143344042
Position 9807: 0.013352093641919853
Position 8802: 0.01241452191848395
Position 7449: 0.012264717726994518
Position 7336: 0.00876737222312226
Position 2327: 0.008711088191808552
Position 12083: 0.008636218719114842
Position 438: 0.008520227340432713
Position 4568: 0.008386101704884056
Position 12167: 0.008214650531482693
Position 1108: 0.00817770908943932
Position 9653: 0.007586291201682848
Position 10931: 0.006553937069953123
Position 493: 0.006128307388604468
Position 8747: 0.005670363574647605
Position 8556: 0.005635399466018567
Position 12256: 0.005607201904596111
Position 531: 0.005093448527550571
Position 188: 0.0050423598382150665
Position 11639: 0.004846499487335279
Position 7618: 0.004422775422460526
Position 11288: 0.004223807482105906
