Gene = holn1
index = 1730
Annotated 5SS: [195 447]
Annotated 3SS: [253 511]
SMsplice 5SS: [195 447]
SMsplice 3SS: [253 511]
top_k =  500
Partition function (log Z): 2.250804746759607

Sorted 5' Splice Sites (High to Low Probability):
Position 195: 0.998717323450975
Position 447: 0.9842628628016102
Position 681: 0.13285377542087323
Position 22: 0.024362059518176632
Position 422: 0.006272853951293647
Position 441: 0.004846068969402256
Position 832: 0.00234928042176919
Position 1114: 0.0021115162847959615
Position 324: 0.0014965092641947809
Position 1106: 0.0005471931997137911
Position 629: 0.00047658448512887913
Position 907: 0.0003700441027405841
Position 995: 0.00016545175677966714
Position 887: 0.00015585079703374932
Position 587: 0.00012111324471410441
Position 1171: 8.097704789381011e-05
Position 634: 7.510764709105111e-05
Position 1100: 2.0366587452827998e-05
Position 656: 1.312297637910306e-05
Position 740: 9.052085595980393e-06
Position 1191: 8.400344019836907e-06
Position 209: 7.291959084940188e-06
Position 1165: 6.490387452394082e-06
Position 127: 6.3499122029427095e-06
Position 318: 3.685887470680295e-06
Position 1205: 2.2035870553506103e-06
Position 1181: 1.7662915767515455e-06
Position 471: 3.2732916458790015e-07
Position 297: 3.0338483958579855e-07
Position 379: 2.241231393860088e-07
Position 67: 1.2252761985331641e-07
Position 306: 1.2227393650038694e-07
Position 38: 5.522872223619916e-08
Position 695: 1.0370928697095325e-08
Position 225: 1.0109118631505234e-08
Position 72: 7.2945082226373275e-09
Position 79: 7.055349726610802e-09
Position 675: 5.214538623747787e-09
Position 1006: 5.03755166523828e-09
Position 607: 4.863139422769777e-09
Position 246: 1.409058327220711e-09
Position 955: 1.0027227066964678e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 253: 0.9980915629113531
Position 511: 0.9807515986933427
Position 914: 0.05778531063946938
Position 67: 0.022850236782804626
Position 757: 0.022386198986948352
Position 751: 0.015415850391458178
Position 523: 0.012838425149644827
Position 1174: 0.00976595860178656
Position 826: 0.006313153285805974
Position 769: 0.006188271482341504
Position 992: 0.006042130518996208
Position 730: 0.004361829414285139
Position 802: 0.004162600525811953
Position 932: 0.0017910101540148764
Position 712: 0.0014179921924920584
Position 494: 0.0012945486927864126
Position 1266: 0.0009218579003651553
Position 104: 0.0007364918446678729
Position 869: 0.0006528164412204236
Position 1277: 0.0006050545756227615
Position 966: 0.000558902150789846
Position 1078: 0.0005083280371021123
Position 890: 0.0004664589150216994
Position 724: 0.0004334564491271109
Position 344: 0.0004327592776015231
Position 271: 0.00039774061934853665
Position 79: 0.0003234862580986496
Position 1021: 0.0002878656642513552
Position 526: 0.00028384045513160113
Position 778: 0.00018755943785357941
Position 1264: 0.00015243825703738288
Position 1039: 0.00012073966985985031
Position 949: 0.00010911303529817315
Position 401: 0.000100455361568628
Position 108: 7.13401677182346e-05
Position 123: 7.054826149875855e-05
Position 548: 5.7046552096417393e-05
Position 1154: 4.31192352552718e-05
Position 147: 3.613745941787853e-05
Position 398: 3.122400524932794e-05
Position 840: 3.0326866322803012e-05
Position 574: 2.546361651538495e-05
Position 673: 2.4733555327956033e-05
Position 1181: 2.187009974448597e-05
Position 688: 2.1211469244918378e-05
Position 281: 2.0314112912724146e-05
Position 1081: 2.0042044817446618e-05
Position 1143: 1.8163009770971625e-05
Position 940: 1.6795629116702033e-05
Position 375: 1.2645828838176334e-05
Position 323: 1.2410610023179058e-05
Position 571: 1.2090990594902661e-05
Position 994: 1.116412517433937e-05
Position 577: 9.882351644994488e-06
Position 847: 6.0483475325746104e-06
Position 1027: 5.6573577980913735e-06
Position 853: 5.05688509304035e-06
Position 887: 4.6122812123349404e-06
Position 115: 4.491248199388632e-06
Position 790: 4.209571121890325e-06
Position 1057: 4.16732540427573e-06
Position 127: 2.6249081597866858e-06
Position 348: 1.1976965762931209e-06
Position 435: 9.069668358438042e-07
Position 290: 6.569462417531126e-07
Position 172: 5.690767525775555e-07
Position 135: 5.613193713628124e-07
Position 293: 3.389684513366822e-07
Position 554: 2.2674474224190724e-07
Position 356: 1.729160207477542e-07
Position 413: 1.393181140496139e-07
Position 174: 9.890731262153122e-08
Position 133: 8.215092239579016e-08
Position 595: 5.004186114272029e-08
Position 98: 2.2467693291989043e-08
Position 194: 2.095605563515518e-08
Position 634: 7.831304897733878e-09
Position 312: 7.4463984983979205e-09
Position 306: 6.716703508236852e-09
Position 408: 1.649198471595133e-09
Position 451: 3.210486753326875e-10
Position 447: 2.8507584893129235e-10
Position 661: 1.9102385516424657e-10
