Gene = sturkopf
index = 1898
Annotated 5SS: [122 658]
Annotated 3SS: [255 716]
SMsplice 5SS: [658]
SMsplice 3SS: [716]
top_k =  500
Partition function (log Z): -7.388959523094301

Sorted 5' Splice Sites (High to Low Probability):
Position 658: 0.946882768403486
Position 122: 0.07901007026807325
Position 1412: 0.06369500848807245
Position 1010: 0.06164754841705796
Position 1075: 0.014687796579491888
Position 1078: 0.011736814803960022
Position 849: 0.00932399430444156
Position 524: 0.00809143500464647
Position 1033: 0.006759981645412172
Position 1024: 0.00544758556058585
Position 338: 0.0046082328959906995
Position 689: 0.0044102456258680355
Position 1031: 0.0043437430371078235
Position 592: 0.004325992027780587
Position 943: 0.004077084939955453
Position 1533: 0.0035204606252212263
Position 1073: 0.0027940924398725544
Position 761: 0.0014632714839249244
Position 5: 0.0013792712930675503
Position 651: 0.0013791145400071018
Position 1406: 0.0011734709370031446
Position 998: 0.0010385278689067055
Position 341: 0.0007549351310458825
Position 1238: 0.0007528459937852825
Position 965: 0.0006188006086234693
Position 31: 0.0005607862630305846
Position 583: 0.0005521495968875277
Position 45: 0.0005123543180289874
Position 1214: 0.0004883746710860549
Position 415: 0.000448330822514715
Position 889: 0.0004247663445169313
Position 400: 0.0004223074206573025
Position 1337: 0.0003084044794538356
Position 180: 0.00026866121633589604
Position 1264: 0.0002532280002599941
Position 1292: 0.00017149277198101758
Position 1440: 0.00014116142096039965
Position 1449: 0.00013954144988616432
Position 1000: 9.50057471171212e-05
Position 629: 9.34099447969186e-05
Position 662: 8.585242669999221e-05
Position 174: 8.165579906078404e-05
Position 1442: 8.051504526303233e-05
Position 1169: 6.031489547517258e-05
Position 1181: 5.4112963286423595e-05
Position 605: 5.256977185263339e-05
Position 982: 4.967506752236813e-05
Position 854: 4.905776299735833e-05
Position 126: 4.076092161951531e-05
Position 685: 3.615104724818725e-05
Position 1456: 3.2726574796812115e-05
Position 842: 3.035734772739307e-05
Position 59: 2.981578356886025e-05
Position 930: 2.7691527588878174e-05
Position 360: 2.689992080535447e-05
Position 391: 2.6691715934117433e-05
Position 750: 2.266984982499494e-05
Position 1584: 1.585853646701162e-05
Position 389: 1.533894251941309e-05
Position 645: 1.4753609144915083e-05
Position 101: 1.4214593277316295e-05
Position 209: 7.0406915553173055e-06
Position 319: 4.766057806323132e-06
Position 258: 3.3112672897704097e-06
Position 664: 2.3459006411960855e-06
Position 189: 2.1976232932892427e-06
Position 480: 1.4431402487967508e-06
Position 437: 1.1565241530367349e-06
Position 672: 9.750835733527657e-07
Position 260: 8.557708028637509e-07
Position 558: 3.6679259027564124e-07
Position 113: 3.2151010522678315e-07
Position 955: 1.4900038884963231e-09
Position 218: 6.229127287699092e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 716: 0.7533561776861856
Position 1132: 0.35034516378320024
Position 1611: 0.047136733111017036
Position 186: 0.039750070222451896
Position 1512: 0.020187580603868827
Position 1470: 0.006370158740714856
Position 437: 0.006098302263140795
Position 591: 0.004615580084838317
Position 432: 0.0038764239110586503
Position 1315: 0.0022662948365361926
Position 197: 0.0022268686645793173
Position 523: 0.001579659599453356
Position 1172: 0.0015060537821518611
Position 307: 0.0012448131391557663
Position 453: 0.0009887371251270738
Position 603: 0.0009652990309574684
Position 414: 0.0007295230403258645
Position 1053: 0.000701900414602184
Position 161: 0.0006931734369269081
Position 258: 0.0006366497102507752
Position 255: 0.0006143677646990544
Position 743: 0.0004270255867074341
Position 1584: 0.00041744788919929963
Position 1598: 0.00036596742300774274
Position 268: 0.00033756168944494526
Position 456: 0.0003372776179002888
Position 325: 0.00027452039905523064
Position 904: 0.0002422587254263027
Position 657: 0.00023430945281398277
Position 1153: 0.00014744388458864382
Position 398: 0.00013444961003078977
Position 141: 0.0001280681454190826
Position 1336: 0.000106077096799649
Position 1636: 9.143446884683206e-05
Position 1478: 9.048917859822764e-05
Position 774: 7.347746601689477e-05
Position 1099: 6.961281304698187e-05
Position 1541: 4.038907722087276e-05
Position 1396: 3.4386718126646106e-05
Position 1204: 2.6843820274397956e-05
Position 1643: 2.3510886557132842e-05
Position 1620: 2.058018739175683e-05
Position 107: 2.0105429805787726e-05
Position 612: 1.876330443223689e-05
Position 1552: 1.871263546566153e-05
Position 943: 1.6381418239173164e-05
Position 1009: 1.5244570774228334e-05
Position 645: 1.2439061607313032e-05
Position 126: 1.137420486341052e-05
Position 376: 9.83367714438438e-06
Position 626: 6.510957120206353e-06
Position 551: 6.278028203657127e-06
Position 554: 5.871331131135581e-06
Position 470: 5.697241095478444e-06
Position 270: 4.249994443923933e-06
Position 1241: 3.4597171117268907e-06
Position 473: 2.1802262440711747e-06
Position 1180: 2.0796988183595015e-06
Position 332: 1.6941035643747746e-06
Position 1264: 1.0836048495914903e-06
Position 1325: 5.219277437148809e-07
Position 1230: 3.897480588029111e-07
Position 337: 1.2463307810246193e-13
