Gene = Papss
index = 1359
Annotated 5SS: [ 2311  3106 13200 15048]
Annotated 3SS: [ 2876 13084 13521 15111]
SMsplice 5SS: [  338 13200 15048]
SMsplice 3SS: [13084 13521 15111]
top_k =  500
Partition function (log Z): 2.642469119720002

Sorted 5' Splice Sites (High to Low Probability):
Position 15048: 0.9911199040944285
Position 13200: 0.9788266852701899
Position 338: 0.9776659901661309
Position 2311: 0.6492272089395378
Position 3106: 0.5663648991435533
Position 10030: 0.526012569727077
Position 2984: 0.13995365782835614
Position 994: 0.12404679139378204
Position 2502: 0.12212597723499061
Position 2353: 0.05958368501656156
Position 1654: 0.058099788945796565
Position 136: 0.05229704561716776
Position 2735: 0.04778400823323469
Position 14407: 0.04674599085169188
Position 14464: 0.041238177440025156
Position 3655: 0.03351982108650372
Position 2064: 0.026800765530003587
Position 8426: 0.0215282374938796
Position 14855: 0.021348535942435968
Position 9164: 0.019151531853814244
Position 14874: 0.019036384561726922
Position 2979: 0.017471291524070138
Position 2658: 0.016729570765081973
Position 7661: 0.016096833599104528
Position 151: 0.016008068567658566
Position 1348: 0.013249293346350298
Position 13971: 0.011518140729192793
Position 2757: 0.010750641434280213
Position 3519: 0.01059439180965632
Position 14573: 0.009981590263917354
Position 12: 0.00988698229019913
Position 3532: 0.008284367242428207
Position 3305: 0.0069750696182429755
Position 1237: 0.006902262117570185
Position 602: 0.006054725448239312
Position 14150: 0.004293476014686181
Position 20: 0.004043769416027029
Position 14552: 0.0038357213843147075
Position 259: 0.003579901188096729
Position 13762: 0.003302669637004231
Position 2478: 0.003111705990449851
Position 1904: 0.00270990828034516
Position 15054: 0.0025375028212239427
Position 2344: 0.0024430031803723
Position 1593: 0.0023403746171724218
Position 13275: 0.0019149148926061953
Position 15315: 0.0019144917324669252
Position 14496: 0.0016516743569947956
Position 2488: 0.001578361993270728
Position 15498: 0.000890387348487768
Position 1723: 0.000837434284386979
Position 10380: 0.0008301463968412126
Position 569: 0.000784467683765329
Position 13228: 0.0007784947043895077
Position 455: 0.000648819486385953
Position 15360: 0.0006469175931329799
Position 353: 0.0006166606511349197
Position 3265: 0.0005673160328130245
Position 1431: 0.000547689892061639
Position 10482: 0.000344441805420023
Position 15345: 0.0003401122923212118
Position 1197: 0.00032162130049857103
Position 203: 0.00031193349421123213
Position 15004: 0.00025214385625424185
Position 419: 0.00024108989708652764
Position 651: 0.00022174898897768462
Position 15370: 0.00021275062450591394
Position 10001: 0.00014667287621460687
Position 37: 0.00013463802334383017
Position 4: 0.00011415453371940181
