Gene = l(2)34Fd
index = 1743
Annotated 5SS: [ 154  614 1389]
Annotated 3SS: [ 211  666 1448]
SMsplice 5SS: [ 154  614 1389]
SMsplice 3SS: [ 211  666 1448]
top_k =  500
Partition function (log Z): 4.213961762065443

Sorted 5' Splice Sites (High to Low Probability):
Position 1389: 0.9984318392752133
Position 614: 0.994860065122783
Position 154: 0.9422618046855934
Position 1550: 0.021663221209340344
Position 779: 0.015049749814327044
Position 772: 0.007541349242786848
Position 141: 0.0036855386180409872
Position 982: 0.0034718553354282596
Position 2215: 0.0017769527158551406
Position 796: 0.0014834052971443108
Position 599: 0.0014314048651165264
Position 605: 0.001207619338538859
Position 1594: 0.0010737819793975975
Position 975: 0.0007779602090947457
Position 389: 0.000643289832157169
Position 748: 0.00048059861765688446
Position 2005: 0.00035322251640036744
Position 340: 0.0003419274884470319
Position 1376: 0.0002813777027055692
Position 1971: 0.00026322738718635345
Position 145: 0.0002608664227777375
Position 2018: 0.00017754768986125058
Position 449: 0.0001725939235003511
Position 1560: 0.00014762442936114382
Position 2254: 0.00014727532126684794
Position 379: 0.00014282024933310212
Position 695: 0.00011889758498972938
Position 922: 0.00010829224339793955
Position 158: 8.840415129677089e-05
Position 1726: 8.169086806875541e-05
Position 46: 7.746466159363157e-05
Position 568: 7.091661215453405e-05
Position 391: 5.4000810752387966e-05
Position 1293: 4.765376878157216e-05
Position 592: 4.6464740808293196e-05
Position 434: 4.60670282924807e-05
Position 626: 3.33438198274093e-05
Position 815: 3.274249632847678e-05
Position 1691: 3.140474213645812e-05
Position 1393: 3.132464013194127e-05
Position 943: 2.8851013613745306e-05
Position 883: 2.8140380071517243e-05
Position 374: 1.8716778390271365e-05
Position 1704: 1.8369985696950606e-05
Position 1734: 1.8337619561658847e-05
Position 1414: 1.818525413408739e-05
Position 90: 1.5486345185943042e-05
Position 1308: 1.5032455399953883e-05
Position 1819: 1.4832930859639688e-05
Position 2132: 1.445164474956981e-05
Position 1605: 1.3456970177942638e-05
Position 1077: 8.250740534830496e-06
Position 1470: 7.73139268147293e-06
Position 94: 7.723330618237596e-06
Position 1171: 7.358199922632784e-06
Position 1164: 5.777512385443969e-06
Position 1111: 5.527993668064415e-06
Position 1236: 5.115433961624834e-06
Position 743: 4.8842954746402284e-06
Position 1116: 4.201508350966289e-06
Position 112: 4.047014627282576e-06
Position 32: 3.813568513203609e-06
Position 865: 2.97278406301522e-06
Position 400: 2.8262294381739255e-06
Position 2245: 2.2472546282699712e-06
Position 830: 2.092926472985232e-06
Position 2221: 1.978265990102429e-06
Position 873: 1.8631559232210346e-06
Position 103: 1.7007331210805847e-06
Position 185: 1.5871213322633638e-06
Position 34: 1.449439987639144e-06
