Gene = Reph
index = 1418
Annotated 5SS: [3277 3512 3917]
Annotated 3SS: [3423 3587 3979]
SMsplice 5SS: [ 186 3512 3917 4980]
SMsplice 3SS: [3423 3587 3979 5043]
top_k =  500
Partition function (log Z): -0.7822667749625747

Sorted 5' Splice Sites (High to Low Probability):
Position 3512: 0.9899414088162338
Position 3917: 0.9851430198380078
Position 4980: 0.8731963236459767
Position 645: 0.4389472245607632
Position 186: 0.4361622232476874
Position 3108: 0.30946107971674475
Position 1442: 0.22690105556091816
Position 1133: 0.12155015525112921
Position 1118: 0.06771041852246804
Position 241: 0.06277295003912282
Position 3277: 0.04234233599454647
Position 4200: 0.02860384214236181
Position 1455: 0.028428933839106284
Position 5593: 0.02709629034171284
Position 222: 0.02204656056091492
Position 4685: 0.021073647656645586
Position 2171: 0.016053861932412386
Position 4430: 0.014017653037991145
Position 855: 0.013820119300437259
Position 2589: 0.013503214329417191
Position 226: 0.011865871122038773
Position 1550: 0.00635213897302128
Position 204: 0.005254236753907031
Position 1890: 0.005242547997157804
Position 1145: 0.004300238097356578
Position 705: 0.00393626006210841
Position 803: 0.003501406780680331
Position 1439: 0.0031138960886842437
Position 475: 0.0030834147725731656
Position 1248: 0.002896187414940879
Position 2153: 0.002862942071554899
Position 3161: 0.00237301460879607
Position 3139: 0.002321068616763814
Position 31: 0.0022557795947009012
Position 3124: 0.0021719160973658756
Position 5918: 0.0019464847156481667
Position 4059: 0.0018708623858168442
Position 851: 0.0018081523963727612
Position 3571: 0.0017323322523018648
Position 2512: 0.0015453860954637618
Position 601: 0.0013831368841176368
Position 1908: 0.0013747172451464983
Position 673: 0.0013038029688749164
Position 4439: 0.0012118045724889
Position 1437: 0.0012082009952736064
Position 2858: 0.0011240628710302949
Position 1711: 0.0011050046777134784
Position 416: 0.0010956562811425218
Position 2398: 0.0010163458915611813
Position 3516: 0.0009898095098154812
Position 2852: 0.0009317136479358209
Position 2222: 0.0009203799313332782
Position 3213: 0.0008260270443659494
Position 3126: 0.000705882337229187
Position 660: 0.0006297339525343416
Position 477: 0.0005743022115989004
Position 359: 0.0005519058222619129
Position 1511: 0.0005487532313197857
Position 3664: 0.00044368004628429547
Position 1680: 0.00044039911564085617
Position 230: 0.0004338736401061787
Position 4494: 0.0004312128327352275
Position 2551: 0.0004044611675247963
Position 514: 0.00040182835406668126
Position 957: 0.0003951671748170713
Position 497: 0.00038577374367272367
Position 5741: 0.0003736913441963473
Position 859: 0.000371825105497791
Position 2403: 0.00036065122230845
Position 1593: 0.0003578753917514403
Position 2573: 0.00035774162809247415
Position 4306: 0.00033769674755702227
Position 2161: 0.00031885053228155507
Position 4295: 0.0003157725472852299
Position 4293: 0.0003151968128653289
Position 2214: 0.00026700166424823096
Position 1823: 0.0002601238901711636
Position 27: 0.00024116212757295432
Position 2225: 0.00023611239433514415
Position 232: 0.00019635819323199035
Position 5322: 0.00018318354872651573
Position 236: 0.0001711126650861137
Position 1110: 0.00013693045031895861
Position 5217: 0.00013639554810530597
Position 4148: 0.0001345421317051578
Position 2013: 0.00012611694981116178
Position 2237: 0.00012470465125421012
Position 1645: 0.00011432447520919892
Position 1226: 9.95731841013431e-05
Position 2247: 9.063404531228677e-05
Position 3921: 8.691984018022655e-05
Position 978: 7.71220608364346e-05
Position 3496: 4.9926628904143e-05
Position 1191: 4.5951413839172804e-05
Position 4072: 3.437753949817353e-05
Position 3726: 3.0674385722198524e-05
Position 4164: 3.0052237047679933e-05
Position 3927: 2.2089351183874798e-05
Position 3872: 2.1062935144459806e-05
Position 1137: 2.0756559240239176e-05
Position 47: 1.905714355647216e-05
Position 1194: 1.7042887179323634e-05
Position 500: 1.6669809451140107e-05
Position 35: 1.605603304688175e-05
Position 3588: 1.4604565541888359e-05
Position 3698: 1.4080315970334521e-05
Position 688: 1.1871870823239931e-05
Position 799: 1.0133204654979418e-05
Position 677: 9.060662900280026e-06
Position 489: 6.803058302479619e-06
Position 342: 6.647908041410054e-06
Position 940: 5.714734521417448e-06
Position 409: 5.30869801238541e-06
Position 407: 4.9248249234054185e-06
Position 1607: 3.92424977711157e-06
Position 234: 2.259344202984712e-06
Position 603: 2.0515543639709913e-06
Position 481: 2.0055336555913102e-06
Position 405: 1.82527276840179e-06
Position 5170: 1.6289612443088663e-06
Position 433: 1.5223184144085097e-06
Position 5466: 1.3683992995355743e-06
Position 5760: 8.737180145149554e-07
Position 10: 8.544438394698617e-07
Position 1023: 5.938286947671616e-07
