Gene = mRpS2
index = 1777
Annotated 5SS: [81]
Annotated 3SS: [137]
SMsplice 5SS: [81]
SMsplice 3SS: [137]
top_k =  500
Partition function (log Z): -4.449127235501315

Sorted 5' Splice Sites (High to Low Probability):
Position 81: 0.9966112309370703
Position 85: 0.0031659104228490818
Position 537: 0.00042361324035257973
Position 290: 0.00021403596303532445
Position 272: 0.00019647340119298835
Position 233: 0.0001565904605881932
Position 58: 0.00010518369042548786
Position 357: 8.511541718577437e-05
Position 384: 8.126303351383552e-05
Position 30: 6.117796462488872e-05
Position 755: 4.524637763634756e-05
Position 674: 4.256953833018874e-05
Position 70: 4.086837759017721e-05
Position 590: 2.079724392201546e-05
Position 367: 1.818617340674635e-05
Position 314: 1.0653922557964695e-05
Position 134: 6.159278559614552e-06
Position 203: 5.0009354239064025e-06
Position 361: 4.873947256846864e-06
Position 716: 3.6364363391937823e-06
Position 605: 3.4259001908190797e-06
Position 512: 2.1700755456088387e-06
Position 653: 2.095552264436447e-06
Position 375: 9.446778675797768e-07
Position 283: 8.242111511824694e-07
Position 478: 1.2702972863199004e-07
Position 137: 9.012581473909917e-08
Position 150: 4.2459826181643815e-08
Position 162: 3.7787847934955975e-08
Position 157: 1.0689733154173839e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 137: 0.5449909041445865
Position 154: 0.4299425771034389
Position 181: 0.023378937191707548
Position 811: 0.0017720241918474826
Position 375: 0.00043443727101616885
Position 664: 0.00023627457233261912
Position 612: 0.0001542983159095884
Position 716: 0.00012013264725103152
Position 331: 4.9920611728275114e-05
Position 383: 4.951190010876559e-05
Position 241: 3.3731785358686944e-05
Position 785: 3.0269869038043548e-05
Position 409: 2.684241066992387e-05
Position 334: 1.9678118882456366e-05
Position 523: 1.963835437435819e-05
Position 314: 9.107618388035463e-06
Position 190: 9.039733102571905e-06
Position 272: 8.62985333551369e-06
Position 815: 7.558477211353606e-06
Position 105: 4.106896227784309e-06
Position 723: 3.695080717970503e-06
Position 220: 3.0971015881109556e-06
Position 529: 1.2533401612107556e-06
Position 183: 1.1537131172007056e-06
Position 196: 6.975305990231516e-07
Position 253: 4.0669515478560644e-07
Position 85: 1.2501122012001127e-07
Position 832: 1.2042309263495496e-07
Position 880: 8.136648736038284e-08
Position 464: 7.608292966791027e-08
Position 910: 1.7181205143170094e-08
