Gene = RhoGAP71E
index = 1423
Annotated 5SS: [ 1137 11758 12012 12436 16421]
Annotated 3SS: [11555 11827 12372 15975 17798]
SMsplice 5SS: [ 1137 11758 12012 12436]
SMsplice 3SS: [11555 11827 12372 19383]
top_k =  500
Partition function (log Z): 3.6206891877061596

Sorted 5' Splice Sites (High to Low Probability):
Position 11758: 0.9991663473055457
Position 12012: 0.9903514966301326
Position 12436: 0.907172491629756
Position 1137: 0.8846822665146198
Position 417: 0.3419087246756357
Position 13656: 0.25155136292403896
Position 1884: 0.028343669333145517
Position 10241: 0.028144040699330696
Position 435: 0.02568683310660402
Position 206: 0.02032042965596728
Position 15258: 0.014537130567318092
Position 6641: 0.014212238658204968
Position 1932: 0.011381541903649903
Position 826: 0.01123477537334126
Position 1876: 0.010471483499014304
Position 60: 0.008161486753443971
Position 3274: 0.007885549258781138
Position 1152: 0.0076467183807826
Position 4547: 0.006015158855511436
Position 12078: 0.005887433102658327
Position 8536: 0.0053630952672134285
Position 6492: 0.004593956790927593
Position 6975: 0.004538126402485738
Position 799: 0.004353725650837973
Position 291: 0.003368064811243815
Position 2211: 0.003221743108374058
Position 14355: 0.002320814542744985
Position 2007: 0.0022127842043326547
Position 3561: 0.0021924157186527767
Position 3461: 0.0015556090281813315
Position 8306: 0.0014629752683276661
Position 11936: 0.0011981775435635645
Position 1197: 0.0011163885397379814
Position 6329: 0.0011158626781541793
Position 12557: 0.001107421837195769
Position 67: 0.0009886787776789286
Position 910: 0.000978027442056748
Position 1540: 0.0009462383382408392
Position 1220: 0.0008672355610472627
Position 4986: 0.0008417374344311683
Position 2029: 0.0008024793492963383
Position 12699: 0.000796149321057935
Position 12296: 0.0007503647109493785
Position 11767: 0.000717454521225819
Position 6333: 0.0006378324834395113
Position 2025: 0.0006365031128635799
Position 12559: 0.0005673049092636983
Position 421: 0.0005622054188198591
Position 7027: 0.0005594505243878365
Position 739: 0.0005050224195732562
Position 742: 0.00048507200485887206
Position 12304: 0.00048011569682777157
Position 12465: 0.0004757805014169319
Position 12451: 0.00044319574348280615
Position 16421: 0.00042756112015987876
Position 12553: 0.00038397485947464145
Position 809: 0.00036625661977190824
Position 12561: 0.0003650345938716411
Position 12563: 0.00024353403324004963
Position 11989: 0.00020594192842826356
Position 462: 0.0001653894290220835
Position 15419: 0.00014082245832617942
Position 12281: 0.00013903400318646025
Position 12702: 0.00013819396023620657
Position 11965: 0.00011068658041755557
Position 12565: 0.00010989400787451249
Position 12537: 0.00010908493168856107
Position 12034: 9.506743203052143e-05
Position 532: 8.869378046960593e-05
Position 12567: 8.841838790476459e-05
Position 142: 7.997943041031632e-05
Position 12569: 7.450964786125175e-05
Position 783: 6.959940662569097e-05
