Gene = bc10
index = 1625
Annotated 5SS: [141]
Annotated 3SS: [295]
SMsplice 5SS: [867]
SMsplice 3SS: [996]
top_k =  500
Partition function (log Z): -8.75941581991381

Sorted 5' Splice Sites (High to Low Probability):
Position 867: 0.5588997205896888
Position 235: 0.3960014552418119
Position 620: 0.11730600088488291
Position 141: 0.08520483016500971
Position 901: 0.05720387807696148
Position 637: 0.04261676744620477
Position 202: 0.03818451320764831
Position 892: 0.03648192426464095
Position 197: 0.03479994978343924
Position 834: 0.028490864077973806
Position 39: 0.0241976799637601
Position 685: 0.02043440639007343
Position 209: 0.018060132484330464
Position 694: 0.014321590713713615
Position 49: 0.012313603581835654
Position 644: 0.008710489695018864
Position 493: 0.002734221403287143
Position 396: 0.0026629590835828268
Position 709: 0.0026559608081294446
Position 469: 0.0023248705273286163
Position 830: 0.001911772136078396
Position 553: 0.0019104007619069078
Position 860: 0.0011659603876377053
Position 115: 0.0011474105794644647
Position 421: 0.0011247522385691422
Position 688: 0.0006667699391614502
Position 844: 0.00048762678329388197
Position 871: 0.0003023579947795472
Position 206: 0.0002543992595174177
Position 967: 0.00020795484793601854
Position 896: 0.00020153262437919072
Position 313: 0.00019724721315057475
Position 784: 0.00019297083061443635
Position 538: 0.00018953028911244255
Position 481: 0.0001255620445704075
Position 474: 6.903613095688914e-05
Position 164: 4.97866386962897e-05
Position 577: 4.116657317200421e-05
Position 572: 2.179409816071214e-05
Position 57: 7.110936039194338e-06
Position 191: 6.318974290742304e-06
Position 275: 5.6461198489896945e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 996: 0.5699602166123484
Position 295: 0.40273889902810717
Position 757: 0.2597680320900679
Position 925: 0.07284333746380987
Position 1001: 0.06859260087962114
Position 392: 0.055538190613988465
Position 481: 0.01850140142569098
Position 152: 0.011850238739322795
Position 1181: 0.008087982393379009
Position 572: 0.007742977249146542
Position 1022: 0.005472322286028891
Position 1149: 0.005006099991808983
Position 550: 0.004485363661224122
Position 1011: 0.004424061965458565
Position 244: 0.004145509219381099
Position 773: 0.0025349917371798006
Position 533: 0.0022034092009551877
Position 675: 0.0021524855140632065
Position 1064: 0.0017043265224864078
Position 1190: 0.0014234953143251097
Position 350: 0.0008311730457356421
Position 347: 0.0008218175229450569
Position 220: 0.0005737624864676273
Position 254: 0.0005564339041868379
Position 1232: 0.00035030591207850525
Position 84: 0.00032479325911261275
Position 1130: 0.000311287226398116
Position 688: 0.00029545860561456914
Position 901: 0.00017456514985312454
Position 679: 0.00016833832963714383
Position 332: 0.00014799392757972577
Position 356: 6.158583610608546e-05
Position 112: 4.389674598453066e-05
Position 125: 2.2258555140918853e-05
Position 184: 2.037389547094878e-05
Position 119: 5.6928959388892665e-06
Position 516: 4.111729775230839e-06
Position 307: 2.2061847235236865e-06
Position 170: 7.110089260177307e-07
Position 114: 9.414201745426156e-08
Position 128: 5.2958221735107434e-08
Position 235: 3.2208949571520904e-08
Position 88: 1.3958201389141863e-08
Position 510: 9.31136652718508e-09
Position 140: 7.819956071287061e-09
Position 154: 7.261876862508305e-09
