Gene = Mcm10
index = 1272
Annotated 5SS: [1260]
Annotated 3SS: [1319]
SMsplice 5SS: [1260]
SMsplice 3SS: [1319]
top_k =  500
Partition function (log Z): -8.891764418568902

Sorted 5' Splice Sites (High to Low Probability):
Position 1260: 0.9561996996864769
Position 374: 0.16822509007085118
Position 896: 0.05956912188423069
Position 1413: 0.04445964255441072
Position 479: 0.043836043999644414
Position 572: 0.01954292296449047
Position 509: 0.015023671607269242
Position 1264: 0.013297052362553036
Position 833: 0.012235903344716666
Position 1253: 0.010103976517535355
Position 467: 0.00810867864453404
Position 852: 0.007226996073941793
Position 1694: 0.0058185397095017275
Position 1127: 0.004579019971738287
Position 512: 0.0037661304706019315
Position 2177: 0.003522996960971046
Position 960: 0.0027006870378903326
Position 1117: 0.0021398458836424205
Position 1384: 0.0018374620363566351
Position 1698: 0.0017729631059883663
Position 1656: 0.0016465393054171445
Position 2325: 0.0015423377028997748
Position 397: 0.0015373333669906253
Position 1401: 0.0014734157459666021
Position 177: 0.0013876164614291314
Position 800: 0.0012925706916941733
Position 211: 0.0012788006509065837
Position 499: 0.0012202441684120643
Position 868: 0.001075449736571267
Position 2240: 0.0007254568481653663
Position 2520: 0.0006699888522371471
Position 2471: 0.0005971101262417838
Position 406: 0.0005807721751911833
Position 644: 0.0004833529762331138
Position 2485: 0.0004756773828303582
Position 2185: 0.0004626970326377776
Position 1230: 0.0004494573639081072
Position 1065: 0.0003379387384817013
Position 1052: 0.00032824739465096923
Position 1089: 0.00020042069216345167
Position 1331: 0.0001911083212191447
Position 71: 0.0001871466996938586
Position 1130: 0.00016455423833168896
Position 2716: 0.00015544378397109107
Position 763: 0.0001436884398786461
Position 1166: 6.802820638099328e-05
Position 245: 6.026523845025979e-05
Position 414: 4.763010641872215e-05
Position 2743: 3.6081352638828934e-05
Position 636: 3.576398472843371e-05
Position 270: 2.9635398059266115e-05
Position 818: 2.3250974906544632e-05
Position 302: 1.438425782659923e-05
Position 132: 1.424111414696349e-05
Position 27: 2.2053056062173725e-06
Position 1227: 1.3823105960427019e-06
Position 1407: 1.1313022147780686e-06
Position 1377: 8.281438019119603e-07
Position 1224: 7.822886045340026e-07
Position 1433: 5.250386967730317e-07
Position 1542: 4.2705507165209263e-07
Position 1911: 4.1175704169080793e-07
Position 583: 3.4732213747301664e-07
Position 631: 3.1008888223145854e-07
Position 1146: 2.4097553282433175e-07
Position 358: 1.1214242701502771e-07
Position 758: 1.0874593643429877e-07
Position 698: 1.0270482617573926e-07
Position 460: 1.0094851291855848e-07
Position 614: 9.377039005946527e-08
Position 591: 5.673853778461339e-08
Position 668: 1.500163818481717e-08
Position 653: 1.4181008299382644e-08
