Gene = hoip
index = 1729
Annotated 5SS: [147]
Annotated 3SS: [208]
SMsplice 5SS: [147]
SMsplice 3SS: [208]
top_k =  500
Partition function (log Z): -2.9419007473909913

Sorted 5' Splice Sites (High to Low Probability):
Position 147: 0.9988854337637673
Position 123: 0.0006167721072290022
Position 117: 0.00021553246146168223
Position 91: 0.00013284317526658675
Position 449: 0.00010885941849881642
Position 161: 0.00010503217117230969
Position 375: 6.735001213551919e-05
Position 418: 3.6076535564105466e-05
Position 151: 2.7134101884601492e-05
Position 362: 2.5952553148995244e-05
Position 11: 2.1769671651894866e-05
Position 218: 1.4549192249862615e-05
Position 365: 1.2020984231071733e-05
Position 53: 9.81913961711381e-06
Position 71: 7.580075604571341e-06
Position 474: 6.76966482154706e-06
Position 434: 3.858103873302565e-06
Position 31: 3.734530659071685e-06
Position 177: 2.0784767049714645e-06
Position 33: 1.8336993030292013e-06
Position 443: 1.6958571791143492e-06
Position 541: 1.6032870347885302e-06
Position 191: 1.7786539706793217e-07
Position 453: 1.14350893855909e-07
Position 478: 8.870151605962726e-08
Position 485: 7.062637565459193e-09
Position 512: 6.244453153307634e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 208: 0.9997841741886674
Position 500: 0.0001379427439118565
Position 463: 0.00010944021708665747
Position 229: 6.38233534111582e-05
Position 283: 4.871294198448317e-05
Position 253: 3.232884441971724e-05
Position 214: 3.145924367645884e-05
Position 460: 2.3108419784588566e-05
Position 191: 2.1714311670471223e-05
Position 71: 1.8468938599078796e-05
Position 117: 1.1131573814697332e-05
Position 265: 6.591189620455855e-06
Position 600: 5.222594765385767e-06
Position 287: 3.437434843087775e-06
Position 430: 2.8641382406403777e-06
Position 531: 2.6799891456448014e-06
Position 313: 1.1736316947701394e-06
Position 565: 1.13045319737499e-06
Position 526: 5.533222196318177e-07
Position 138: 5.489649794346827e-07
Position 123: 4.157554175548419e-07
Position 568: 2.9266963860102197e-07
Position 424: 2.7756967919415934e-07
Position 624: 2.2474436598023845e-07
Position 562: 1.589145365155449e-07
Position 607: 1.576773970770551e-07
Position 535: 1.4138100556889634e-07
Position 76: 1.078847520471055e-07
Position 218: 1.0201449323844585e-07
Position 104: 9.792623635412364e-08
Position 79: 9.294438515592721e-08
Position 165: 6.27404618597236e-08
Position 151: 2.4916878753600278e-08
Position 547: 1.545415287739873e-08
Position 394: 5.232067144136966e-09
Position 485: 3.154491322271458e-09
Position 584: 3.140056966080794e-09
Position 541: 2.57563843465483e-09
Position 83: 1.46122375561533e-11
Position 90: 1.4371880694140406e-12
Position 172: 3.715359799767015e-13
Position 88: 1.3931882364602233e-13
Position 334: 4.8481750502614545e-15
Position 174: 3.902478138650994e-15
