Gene = anchor
index = 1609
Annotated 5SS: [ 670 4574 4809 5201 5429 5731 5981 6195 6548 6976 7411 7592]
Annotated 3SS: [4283 4668 4868 5262 5490 5788 6040 6454 6602 7035 7465 7960]
SMsplice 5SS: [ 670 4574 4809 5201 5429 5731 5981 6195 6548 6976 7411 7592]
SMsplice 3SS: [4283 4668 4868 5262 5490 5788 6040 6454 6602 7035 7465 7960]
top_k =  500
Partition function (log Z): 44.45711572212475

Sorted 5' Splice Sites (High to Low Probability):
Position 4574: 0.9990045810091722
Position 5731: 0.9985685595786015
Position 6976: 0.9935465478151287
Position 7411: 0.9935252552174652
Position 5981: 0.9934854478690482
Position 5201: 0.9819702047295403
Position 5429: 0.9631344188436645
Position 4809: 0.9620555533402061
Position 6548: 0.9561875919009729
Position 670: 0.9512715332904051
Position 7592: 0.8019427367579999
Position 6195: 0.5328815716037464
Position 3164: 0.36252484241782346
Position 7783: 0.3244013897710577
Position 2485: 0.07905787798474917
Position 3849: 0.06477445486802891
Position 7787: 0.05215666478597692
Position 7624: 0.04454292130335362
Position 6304: 0.04432462247951784
Position 3229: 0.03754589960884633
Position 6524: 0.03467785719892504
Position 8361: 0.03430975094108075
Position 5420: 0.03276236765437315
Position 818: 0.029353993658657363
Position 3114: 0.026680207401353302
Position 4806: 0.026307792433632123
Position 7893: 0.0260226655259775
Position 7661: 0.02241774910148485
Position 3237: 0.021798789816764978
Position 2840: 0.02147540710595312
Position 6299: 0.013549261945913188
Position 2530: 0.0132879027767651
Position 4202: 0.013110587054995885
Position 771: 0.008849723536595773
Position 8025: 0.008817571618156099
Position 4813: 0.008767557741456801
Position 2536: 0.008685391625438892
Position 2624: 0.007631357236695729
Position 4098: 0.00688640945667516
Position 5130: 0.006729851495641956
Position 5065: 0.006727366662484462
Position 7828: 0.00614086783823288
Position 7666: 0.006107608134495547
Position 5134: 0.005745367314264654
Position 7723: 0.0056980072474749335
Position 5991: 0.0049822555469506286
Position 2826: 0.004607637165400821
Position 4939: 0.004311953177648826
Position 315: 0.0038443518692058516
Position 6167: 0.0036436923769793132
Position 3471: 0.00354814969841109
Position 8174: 0.0032505857620446165
Position 3517: 0.0030581667865147125
Position 7543: 0.0029324289794462038
Position 2020: 0.0027823407425180548
Position 6139: 0.0027742878768011584
Position 611: 0.0026207282965930376
Position 5158: 0.0025911526910200344
Position 156: 0.0024592246064921077
Position 4104: 0.00244323065166552
Position 7228: 0.002305789110751843
Position 6310: 0.0021680808166964567
Position 6388: 0.0020915100662808137
Position 983: 0.002089323517423301
Position 7405: 0.0019045924176166091
Position 5193: 0.0018271821828507236
Position 3904: 0.0017977317586054592
Position 2013: 0.0017967630755508972
Position 1701: 0.0017620002892058764
Position 8088: 0.0017606742921473981
Position 4946: 0.0016962656141262839
Position 6208: 0.0016329301888586304
Position 7236: 0.0015458511570119152
Position 7332: 0.001539925814641154
Position 2783: 0.0013731853395731119
Position 5407: 0.0013661918936560768
Position 637: 0.001357125360067879
Position 8338: 0.0012453443906963826
Position 321: 0.0011830786304271592
Position 2703: 0.0010226530770938882
Position 3118: 0.0009104090389912564
Position 218: 0.0008848839007562394
Position 5690: 0.0008570520885705314
Position 8300: 0.0008402142649415918
Position 3609: 0.0008227444389028542
Position 3465: 0.0008069410925450602
Position 3916: 0.00079437489228271
Position 5444: 0.0007823293087102829
Position 6356: 0.0007702555080355202
Position 8949: 0.0006523980171437663
Position 266: 0.0006227907150722132
Position 3125: 0.0006053989440401099
Position 8233: 0.0005981698252159844
Position 7938: 0.0005875562568090112
Position 3671: 0.0005862123012654338
Position 8595: 0.0005831084887464549
Position 8385: 0.0005798441928550727
Position 6753: 0.0004960258836988804
Position 8536: 0.0004743455125665851
Position 6184: 0.000447351707173862
