Gene = Cip4
index = 1073
Annotated 5SS: [  355  1076 26036 27834 36330 36870 37119 39042 39241 39819]
Annotated 3SS: [  974 25919 27782 36184 36399 36931 38691 39105 39654 39881]
SMsplice 5SS: [ 1076 26036 27834 36330 36870 37119 39042 39819]
SMsplice 3SS: [25919 27782 36184 36399 36931 38676 39105 39881]
top_k =  500
Partition function (log Z): 23.485675742108693

Sorted 5' Splice Sites (High to Low Probability):
Position 39819: 0.9997143020165133
Position 39042: 0.9997083411036891
Position 36870: 0.9980849272423612
Position 1076: 0.9965656097876806
Position 36330: 0.9945300769591723
Position 26036: 0.9910923759602295
Position 37894: 0.5821197295051572
Position 29139: 0.5419172791461615
Position 37119: 0.4606192257757554
Position 39181: 0.3663520380275899
Position 37462: 0.33499194952905165
Position 28901: 0.300783952543876
Position 27834: 0.2774497647176973
Position 28612: 0.27423648855047456
Position 28152: 0.20771720899495094
Position 28148: 0.1780835446725299
Position 27905: 0.15699042940044827
Position 27876: 0.13499140034059615
Position 39451: 0.13062337308533423
Position 39241: 0.12611722314727059
Position 13038: 0.12177333902764488
Position 16054: 0.10320271601083571
Position 28156: 0.08920372712542951
Position 115: 0.07636719043702515
Position 40384: 0.07206733003582307
Position 27974: 0.06736744627003718
Position 28078: 0.054579519687933155
Position 34451: 0.041784672908972566
Position 333: 0.041363974863266956
Position 37322: 0.03267874630694383
Position 39397: 0.03252116156356182
Position 355: 0.029404173702915974
Position 34499: 0.023425921577933363
Position 40269: 0.022195087759729892
Position 302: 0.018855263124813344
Position 37171: 0.016532291672505823
Position 34473: 0.014646723440652829
Position 28880: 0.012610955792853623
Position 28845: 0.011411641359421316
Position 37320: 0.011330469396927466
Position 29028: 0.010690644747763168
Position 29267: 0.010486620212405142
Position 40278: 0.008626153804517053
Position 39456: 0.007995789529403238
Position 337: 0.007187299908411502
Position 254: 0.006862463327291909
Position 36624: 0.006481071603503692
Position 39965: 0.005751541969885508
Position 29567: 0.005512640756523198
Position 36334: 0.005400504318627789
Position 37338: 0.005008158181549373
Position 27909: 0.004968589429422276
Position 40710: 0.0049461170022147465
Position 35112: 0.0047183895346516016
Position 339: 0.004583642130947729
Position 40540: 0.0042201567504330925
Position 40017: 0.003695477351907771
Position 35108: 0.003246880324297351
Position 27867: 0.003120546036823704
Position 26902: 0.0030960096587292815
Position 27283: 0.0030794174474068304
Position 39590: 0.002837896929903411
Position 40479: 0.0028313991545310204
Position 28220: 0.0027298255496595834
Position 36562: 0.00267736671255799
Position 40229: 0.0025315607721354797
Position 41224: 0.002402995837291371
Position 26583: 0.002390393594096205
Position 39473: 0.0022340245588234435
Position 40316: 0.001759149988495389
Position 28302: 0.0017174964620394705
Position 28868: 0.0016252735330343656
Position 36580: 0.001613687203819198
Position 26354: 0.001565067994386212
Position 29339: 0.0014670934144089794
Position 29143: 0.00143882772361796
Position 28107: 0.0013357298453549036
Position 40117: 0.0012901173493171708
Position 13400: 0.001274717627931581
Position 187: 0.0012015220362543075
Position 28160: 0.0011996995828844903
Position 343: 0.001189886636290055
Position 53: 0.0010191159500116524
Position 28379: 0.0009596918556838561
Position 370: 0.0009591307427926804
Position 40883: 0.0008154663323402982
Position 15930: 0.0008047047715299167
Position 36859: 0.000782368476843296
Position 40052: 0.0006883807758512645
Position 37127: 0.000671940773773913
Position 148: 0.0006692109925894871
Position 40084: 0.0006571760002202409
Position 146: 0.00065539134634861
Position 13745: 0.0006428997762907432
Position 28290: 0.0005446456057232197
Position 40249: 0.0005372934918167446
Position 13862: 0.0005309636048997068
Position 40136: 0.0005135460603729318
Position 538: 0.0004905568864197672
Position 28883: 0.0004890389189034114
Position 341: 0.0003980793311987707
Position 144: 0.0003446341612279799
Position 5281: 0.00033600523850314237
Position 39266: 0.00027876517211385517
Position 39253: 0.00026626636226777115
Position 16072: 0.0002507691005320223
Position 36809: 0.00024557478529182156
Position 36986: 0.00023366518655963903
Position 16151: 0.0002320402859925019
Position 37299: 0.00023130145803107094
Position 14283: 0.00021590317965821553
Position 486: 0.0002066982612965133
Position 34: 0.0001776561585900307
Position 36603: 0.00015311770396527253
Position 28257: 0.00013657536382031724
Position 36879: 0.00013619630448086668
Position 331: 0.00013509226757668565
Position 628: 0.00011449833788860449
Position 20: 0.00010969555797994889
Position 119: 0.00010733065708626663
Position 36494: 0.00010583914902277668
Position 125: 0.00010440272346614336
Position 282: 0.00010314573683368374
Position 37271: 9.096067384663081e-05
Position 136: 7.383467445575634e-05
Position 28706: 7.35823559897238e-05
Position 12157: 6.919775990079918e-05
Position 323: 6.807314589642084e-05
Position 36511: 6.55207229479904e-05
Position 37326: 6.339017950161033e-05
Position 39823: 6.33003457163772e-05
Position 13007: 5.8805091903079226e-05
Position 36338: 5.8566292259366584e-05
Position 36814: 4.918332173609098e-05
Position 39259: 4.58925919976925e-05
Position 540: 4.32501454469182e-05
Position 12272: 4.30331659965689e-05
Position 222: 4.2313823916855e-05
Position 606: 3.9272601479846736e-05
Position 37306: 3.774285607545846e-05
