Gene = Ir31a
index = 1236
Annotated 5SS: [ 335  873 1738 2086 2421]
Annotated 3SS: [ 387  933 1798 2280 2480]
SMsplice 5SS: [ 873 1738 2212 2421]
SMsplice 3SS: [ 933 1798 2280 2480]
top_k =  500
Partition function (log Z): 2.1861069799849844

Sorted 5' Splice Sites (High to Low Probability):
Position 1738: 0.9909132973306329
Position 2212: 0.8504755198361774
Position 873: 0.823007813775947
Position 335: 0.6846014847233763
Position 2421: 0.6792384932348059
Position 1298: 0.2708990206702977
Position 2086: 0.15690541668068475
Position 569: 0.11340009737330597
Position 2378: 0.08667862299581341
Position 513: 0.05671971213441232
Position 1567: 0.0184848423614605
Position 618: 0.014070319375125189
Position 203: 0.011237306507054632
Position 877: 0.010722807257143073
Position 2024: 0.009402394379407493
Position 49: 0.007642466203980854
Position 363: 0.007286896568465018
Position 2427: 0.006580380459638035
Position 182: 0.005329435191346836
Position 1295: 0.003889304553455059
Position 1023: 0.0026625512935508065
Position 1742: 0.002317607108439772
Position 65: 0.00215216203848596
Position 2013: 0.001812316842281288
Position 1332: 0.0017237913709203753
Position 1181: 0.001434178426866889
Position 236: 0.001161799350229593
Position 268: 0.0010679400627229966
Position 96: 0.0009007167445607477
Position 1857: 0.0007712282773055368
Position 2408: 0.0007563980488271093
Position 1147: 0.000727364943101778
Position 1454: 0.0007165218231616093
Position 287: 0.000641952730646297
Position 593: 0.0006148980739484005
Position 820: 0.0005725986730143803
Position 604: 0.0005568155001621285
Position 292: 0.0005233539916230206
Position 2220: 0.00047393251100868853
Position 1958: 0.00043881112294843046
Position 1459: 0.0004293602971678349
Position 1417: 0.000362797456069247
Position 2393: 0.00033094874560562386
Position 870: 0.000304933971838505
Position 251: 0.0002976153481313374
Position 1726: 0.00026903859596498134
Position 2115: 0.0002582482000299169
Position 740: 0.000225931161182255
Position 2185: 0.00020994500239166443
Position 590: 0.00019279083916806585
Position 2090: 0.0001583782134429114
Position 432: 0.0001504684533022399
Position 2386: 0.00012430770003055502
Position 697: 0.00011675438498111033
