Gene = Sec61alpha
index = 1480
Annotated 5SS: [ 252  542 2605]
Annotated 3SS: [ 473 1512 2677]
SMsplice 5SS: [ 252  542 2605]
SMsplice 3SS: [ 473 1512 2677]
top_k =  500
Partition function (log Z): 2.039728289714887

Sorted 5' Splice Sites (High to Low Probability):
Position 2605: 0.9975650731068488
Position 542: 0.8040389223221391
Position 252: 0.5962545652290901
Position 1337: 0.12540008168908545
Position 1290: 0.09928256935376614
Position 2841: 0.09019221544354195
Position 2116: 0.0719185118676038
Position 2340: 0.06780000260894133
Position 161: 0.0586283227438246
Position 1741: 0.05606695340398356
Position 1658: 0.04338237088907887
Position 2402: 0.02364713658759567
Position 556: 0.022930046457560072
Position 3074: 0.015484449770596093
Position 2262: 0.012225659879825759
Position 1676: 0.012132153771186776
Position 1198: 0.008259670207944091
Position 1845: 0.005860096180156057
Position 399: 0.004934588365849062
Position 1655: 0.004889985827904916
Position 2847: 0.0036464528270649748
Position 1913: 0.0029114974420538934
Position 780: 0.0023127733757974
Position 124: 0.002056502060889787
Position 1388: 0.0019880979523618936
Position 256: 0.001722217995990816
Position 1745: 0.0015127343834324249
Position 566: 0.0012152364602914774
Position 3080: 0.001079039505570779
Position 546: 0.0009750282789850283
Position 1306: 0.0009119456503478305
Position 1177: 0.0006780838459757978
Position 1294: 0.000641092855437991
Position 1233: 0.0006246505594195861
Position 609: 0.0005856556616058264
Position 363: 0.0005393568364134971
Position 438: 0.0005299159710486937
Position 575: 0.000520565571435772
Position 2609: 0.00048455605785445547
Position 3087: 0.0004552203679400932
Position 48: 0.0004526901347733629
Position 1266: 0.0003731589476269909
Position 383: 0.0003723223421844787
Position 657: 0.000346783367372271
Position 106: 0.0003382313807365279
Position 1592: 0.00030769794630327967
Position 303: 0.00021848498095319437
Position 37: 0.0002135819634859583
Position 235: 0.00020772598811991778
Position 115: 0.00020652665228476118
Position 507: 0.00018501296762063853
Position 2622: 0.00014418837859799655
Position 154: 0.00012728000479167944
Position 743: 0.00011240663901529587
Position 295: 0.00010991212604808496
Position 577: 0.00010826447977257423
Position 189: 0.00010045664708458608
Position 394: 9.649912890292493e-05
Position 142: 8.690835516440926e-05
Position 2803: 7.68034215394446e-05
Position 176: 7.055095907046928e-05
Position 98: 6.553550723657681e-05
Position 182: 6.374452020048283e-05
Position 2456: 5.823658036837804e-05
Position 60: 5.412068869759574e-05
Position 309: 4.689831933038581e-05
Position 2611: 4.272175839131717e-05
Position 3191: 4.185494467284971e-05
Position 311: 3.910401544484041e-05
Position 316: 2.999083620305616e-05
Position 89: 2.45974517604704e-05
Position 95: 2.2053687972036575e-05
Position 838: 1.7737936263335242e-05
Position 149: 1.729909798036015e-05
Position 923: 1.5748129213673092e-05
Position 614: 1.4254539292175603e-05
Position 397: 1.2138654114067671e-05
Position 2781: 1.2005333993181178e-05
Position 3055: 1.1775056889607439e-05
Position 937: 9.277324635993732e-06
Position 721: 7.853349867531797e-06
Position 262: 6.166645940623356e-06
Position 1168: 6.053349741747711e-06
Position 783: 5.396207474007328e-06
Position 214: 5.2709053015187275e-06
Position 764: 5.0233158710182285e-06
Position 17: 4.974057700448248e-06
Position 3331: 4.195034067007036e-06
Position 450: 4.102148726307835e-06
Position 1778: 2.7438082689409437e-06
Position 836: 2.3906722434604353e-06
Position 544: 1.9958113804693535e-06
Position 19: 9.468150681739547e-07
Position 11: 8.055561340267139e-07
Position 26: 4.6749621973801173e-07
Position 2807: 4.113624537732756e-07
Position 1814: 3.858312253554336e-07
Position 478: 3.3251492080857835e-07
Position 1801: 3.299622174158625e-07
Position 29: 2.650266337833917e-07
Position 718: 2.405472456767238e-07
Position 2054: 1.737904619530521e-07
Position 2319: 1.5999623768301943e-07
Position 1634: 1.4576946302428944e-07
Position 2074: 1.4380282106956398e-07
Position 1567: 9.160133223065585e-08
Position 2453: 8.476388361930982e-08
Position 1831: 7.94557735284531e-08
Position 1690: 6.538074534295063e-08
Position 2905: 5.482541269772684e-08
Position 347: 5.3965915008730194e-08
Position 2708: 5.189174629333508e-08
Position 1857: 4.590352664657814e-08
Position 2061: 2.3679383526069267e-08
Position 2784: 1.7553790345733546e-08
Position 602: 5.777476016815037e-09
Position 3133: 1.6391314754149334e-11
Position 488: 1.3212430054684058e-11
Position 584: 1.0987577536936692e-11
Position 2854: 9.705042990591742e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2677: 0.9998270586907421
Position 1512: 0.9440954589800864
Position 473: 0.5311956461003142
Position 2482: 0.23218121778982564
Position 1081: 0.07257032485805477
Position 2899: 0.07006755942841351
Position 2319: 0.06832307287607062
Position 1197: 0.036285540536375414
Position 696: 0.02813687418727985
Position 994: 0.027352524639613678
Position 1713: 0.02384222824501574
Position 214: 0.02107379733596118
Position 3128: 0.01874748524751007
Position 2902: 0.012281306667202476
Position 2355: 0.01208456003716665
Position 903: 0.00653296559495427
Position 1523: 0.0050936345097989805
Position 2905: 0.004217986240589883
Position 1818: 0.0033488259427896564
Position 937: 0.0032808111564221355
Position 507: 0.0032219465942628454
Position 316: 0.0027241508807642127
Position 221: 0.002390802866264901
Position 3131: 0.0019565667846485457
Position 375: 0.0018607872161030257
Position 185: 0.0017057941119275825
Position 2105: 0.0016310488795190144
Position 783: 0.001438717568178403
Position 847: 0.0013226424160894539
Position 1578: 0.000998869571309781
Position 3171: 0.00098439365678273
Position 1899: 0.0009817659349805993
Position 3074: 0.0009531242782646881
Position 300: 0.0009356803928939665
Position 743: 0.0009295662197514288
Position 272: 0.0008750996880992504
Position 1785: 0.000838858026183876
Position 3178: 0.0005447115947167423
Position 2215: 0.0003988016623969622
Position 764: 0.00035779421853909793
Position 705: 0.000297330543495448
Position 3382: 0.00027082455154347454
Position 1020: 0.000264544086487724
Position 1788: 0.00026218621684678925
Position 2027: 0.00024107985319422244
Position 2887: 0.0002346145975263009
Position 1157: 0.0002198532970316987
Position 671: 0.0002193765096891357
Position 2945: 0.00020760658969822335
Position 3143: 0.00017714541000236024
Position 226: 0.00017510615503853915
Position 478: 0.00015063290625990947
Position 3323: 0.00014019751952797262
Position 1419: 0.00013832716054108717
Position 1391: 0.0001315401062698479
Position 2973: 0.00012818111712757486
Position 563: 0.00010365547144378512
Position 2689: 8.61954855419293e-05
Position 154: 6.366016176829572e-05
Position 3328: 4.885037382547517e-05
Position 2942: 3.828215749756584e-05
Position 3305: 5.868341236155155e-06
Position 202: 1.0124837852428848e-06
Position 295: 8.486744393600478e-07
Position 139: 7.393805081311707e-07
Position 2686: 6.585678612977625e-07
Position 161: 4.775091732068517e-07
Position 580: 2.979594095740184e-07
Position 189: 2.8836129004805577e-07
Position 488: 2.2977177439823172e-07
Position 256: 1.714870792653978e-07
Position 433: 1.5305420788363652e-07
Position 235: 1.3040368495977083e-07
Position 252: 3.414205939753671e-08
Position 2701: 1.8299261845470662e-08
Position 535: 8.85552012974911e-09
Position 165: 4.046069680762953e-15
