Gene = GatC
index = 1182
Annotated 5SS: [1168]
Annotated 3SS: [1221]
SMsplice 5SS: [1168]
SMsplice 3SS: [1221]
top_k =  500
Partition function (log Z): -1.9384817168567126

Sorted 5' Splice Sites (High to Low Probability):
Position 1168: 0.991256290037564
Position 28: 0.02828020765692272
Position 424: 0.0270990679800312
Position 322: 0.017613020362149356
Position 1321: 0.012269173743013563
Position 1136: 0.007808605339558347
Position 136: 0.0046960447909451695
Position 379: 0.0013194434971934923
Position 703: 0.0009307303420890479
Position 1059: 0.0007962746745863176
Position 1300: 0.0007807781176951006
Position 406: 0.0007063226534403883
Position 895: 0.0006478491559105726
Position 1390: 0.00044639711621992655
Position 235: 0.00038684419173133877
Position 820: 0.00030444160705105024
Position 285: 0.0002715880653521395
Position 1312: 0.0001478042487590636
Position 481: 0.00012715164745915204
Position 673: 0.00011480697677556542
Position 781: 8.655200612306803e-05
Position 41: 7.809608809651319e-05
Position 1108: 6.548260942376763e-05
Position 363: 6.418255224583465e-05
Position 911: 4.794661989978934e-05
Position 162: 4.229587693930507e-05
Position 333: 3.856356744783231e-05
Position 503: 3.170680749957423e-05
Position 1346: 2.4644569485604646e-05
Position 1140: 2.3551417196542445e-05
Position 723: 2.2678251093340783e-05
Position 45: 1.5457432749007877e-05
Position 751: 1.0718441006558147e-05
Position 787: 1.0431584128380193e-05
Position 1357: 9.497636682668381e-06
Position 36: 9.278303953567681e-06
Position 1314: 8.00249994469269e-06
Position 213: 7.5157352298745315e-06
Position 534: 7.088951064071887e-06
Position 1374: 6.813165031498077e-06
Position 1172: 5.305446836403565e-06
Position 56: 4.2000752010030976e-06
Position 1420: 1.5973056523000471e-06
Position 326: 1.577210233975379e-06
Position 1021: 1.3729644916772669e-06
Position 1035: 1.218240144396995e-06
Position 1116: 1.1842631771473746e-06
Position 1175: 9.54483623903446e-07
Position 1128: 2.3687445596749558e-07
Position 951: 2.1506444541168072e-07
Position 1240: 1.9717199171321443e-07
Position 1068: 1.380881726398052e-07
Position 1281: 1.1559434354638679e-07
Position 340: 9.39909746519654e-08
Position 1041: 6.697629131705621e-08
Position 22: 5.910306672705266e-08
Position 151: 4.415131758888419e-08
Position 919: 3.7274170174414786e-08
Position 5: 2.151305106605874e-08
Position 660: 9.637985133889208e-09
Position 587: 5.0273262053999755e-09
Position 445: 6.085857161169126e-10
Position 562: 4.1474574828222947e-10
Position 228: 1.436079136194491e-10
Position 937: 1.3931524832757313e-10
Position 852: 8.551649694339009e-11
Position 613: 1.1620751506192146e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1221: 0.9996816965812858
Position 818: 0.019774642457285836
Position 893: 0.013010307449935503
Position 852: 0.009983830128802714
Position 1396: 0.009792388693419557
Position 378: 0.008444150889285117
Position 937: 0.007333158621548134
Position 93: 0.0039615210401026035
Position 117: 0.0035293937050450475
Position 192: 0.0034339302614323853
Position 1449: 0.0027603323858549937
Position 796: 0.0024578920980961026
Position 135: 0.0018649667371348406
Position 996: 0.0015060182505284572
Position 775: 0.0011759039315968418
Position 1361: 0.0009861116191146049
Position 743: 0.0009757134467259913
Position 213: 0.0009335580019564582
Position 596: 0.0009209362820731944
Position 691: 0.0006794153855039
Position 729: 0.0006605623166546835
Position 114: 0.0005759025191434923
Position 1029: 0.00038902529246358296
Position 176: 0.0003715600735469286
Position 1446: 0.00035363714198851054
Position 144: 0.0002377214252552345
Position 540: 0.00022375117707425154
Position 1135: 0.00010850981290257415
Position 695: 9.133822707855892e-05
Position 1035: 7.149795518692253e-05
Position 1407: 6.714708672223268e-05
Position 503: 5.911612856577521e-05
Position 671: 4.7439994008279696e-05
Position 875: 3.1383449769359574e-05
Position 660: 3.0029801776752443e-05
Position 1430: 2.8503058851899833e-05
Position 1146: 2.1900963611995217e-05
Position 899: 1.0241434307192796e-05
Position 1532: 7.404858161533992e-06
Position 388: 7.0842252217618365e-06
Position 318: 6.087161612527796e-06
Position 297: 4.8301817053032e-06
Position 474: 3.4273250962496814e-06
Position 278: 3.4192422994278224e-06
Position 162: 3.392515584229061e-06
Position 248: 3.215978592393756e-06
Position 1516: 2.4270885026065214e-06
Position 357: 2.2306856372207745e-06
Position 273: 1.5530995495651621e-06
Position 1505: 1.4943406184250388e-06
Position 1540: 1.1343467965120104e-07
Position 905: 8.466833635908825e-08
Position 285: 5.2349065378872343e-08
Position 354: 2.9957605901635364e-08
Position 151: 1.1401358941728295e-08
Position 53: 1.5827817456392454e-09
Position 222: 1.0982933086510188e-09
Position 363: 8.197180482074154e-10
Position 405: 2.2090501149769179e-10
Position 275: 5.425102933761558e-11
Position 50: 5.0797266034823806e-11
Position 256: 3.56463135202849e-12
