Gene = CYLD
index = 1049
Annotated 5SS: [ 101  804 1067 2143 2417 2632 2910 3223 3424 3676]
Annotated 3SS: [ 626  857 1910 2240 2476 2690 2987 3281 3478 3736]
SMsplice 5SS: [ 804 1378 1825 2143 2417 2632 2910 3223 3424 3676]
SMsplice 3SS: [ 857 1448 1910 2240 2476 2690 2987 3281 3478 3736]
top_k =  500
Partition function (log Z): 23.636036862697033

Sorted 5' Splice Sites (High to Low Probability):
Position 2632: 0.9976789575157163
Position 3424: 0.9974564949768318
Position 3223: 0.9705805858381247
Position 804: 0.9703569122785627
Position 2143: 0.9665925059594223
Position 2417: 0.9615527737020025
Position 2910: 0.9584836487794601
Position 1378: 0.9455926249904787
Position 1825: 0.9309261390912814
Position 420: 0.24023481382043133
Position 1067: 0.19178143896882252
Position 416: 0.12193750774213116
Position 983: 0.05766542712419837
Position 3644: 0.04700027016560028
Position 86: 0.0326592466944179
Position 507: 0.029528102976306297
Position 3192: 0.025692519095390293
Position 3706: 0.018534359392491963
Position 998: 0.016323012177664683
Position 2919: 0.015300032634225899
Position 101: 0.013158771560369523
Position 2081: 0.011506310935870146
Position 2181: 0.01129420708388722
Position 191: 0.011266225123766219
Position 157: 0.010011833790582663
Position 1454: 0.008211754091175983
Position 206: 0.007975629209330896
Position 336: 0.007758090695154107
Position 2900: 0.006702297667238406
Position 203: 0.006052508596185259
Position 3691: 0.005226333992656185
Position 2138: 0.004810922540448459
Position 408: 0.004204953914891051
Position 808: 0.003960189425396898
Position 1382: 0.003815254601479116
Position 1572: 0.0035234860634188376
Position 1167: 0.0035123327907516824
Position 2820: 0.0031955892808039556
Position 2869: 0.0024543971776526618
Position 3617: 0.002362347540638766
Position 1704: 0.0022996870731992847
Position 3557: 0.0022522288836054594
Position 3727: 0.0017939186652691597
Position 3227: 0.0017778610102345909
Position 760: 0.0017562963590676143
Position 584: 0.0016066916819456073
Position 2108: 0.001446191770585199
Position 237: 0.0013307727205439967
Position 1370: 0.0011901454081322653
Position 1605: 0.00112773533482107
Position 109: 0.0009943894071223738
Position 2892: 0.000947524407839769
Position 266: 0.0009025838037865314
Position 493: 0.0008851086096175871
Position 2037: 0.0008660719571989496
Position 105: 0.0008171408038348976
Position 253: 0.0007140750862101765
Position 400: 0.0006895947723977017
Position 1682: 0.000664950549628136
Position 811: 0.000643244443659075
Position 2858: 0.0006346348392482875
Position 128: 0.0005262661995141529
Position 485: 0.0005223156983136628
Position 3543: 0.0005098291116983264
Position 468: 0.0004943124916987327
Position 1162: 0.0003782440568096174
Position 149: 0.0003386440115424719
Position 2000: 0.0003335225426596429
Position 1782: 0.00029693550370466323
Position 1644: 0.000295247690691797
Position 1249: 0.0002886803491244957
Position 3114: 0.0002771910746832778
Position 442: 0.00022987936568279226
Position 2351: 0.00018500969762789675
Position 367: 0.00018058798510773834
Position 1346: 0.00017155015735697258
Position 3566: 0.00014848655079365195
Position 3646: 0.00013746718222370436
Position 2024: 0.00013535905901477797
Position 90: 0.0001341029653614311
Position 275: 0.00012861288165813247
Position 1233: 0.00012729241038975984
Position 1195: 0.00011312743222823662
Position 3847: 0.0001129203224222529
Position 3869: 0.00010842276642322081
Position 2317: 0.0001048052088979332
Position 1617: 9.499097079030533e-05
Position 216: 9.140296258357977e-05
Position 251: 9.138341721849733e-05
Position 2815: 8.5694408568275e-05
Position 1348: 7.877750237262424e-05
Position 617: 7.134216124164789e-05
Position 2636: 6.845652756386512e-05
Position 352: 6.579011857725476e-05
Position 3167: 5.408266927958471e-05
Position 210: 4.4860432856783126e-05
Position 3229: 4.415118876605877e-05
Position 2827: 4.223461878891429e-05
Position 458: 3.282493569008735e-05
Position 2063: 3.193674295662358e-05
Position 3508: 3.1928265121130985e-05
Position 1566: 3.0087203522079728e-05
Position 2610: 2.6768504909657915e-05
Position 257: 2.288355233996388e-05
Position 1592: 2.2253097973864124e-05
Position 292: 2.2204392864798842e-05
Position 3071: 2.08004802827074e-05
Position 3579: 1.865341253515506e-05
Position 2374: 1.7772199382890066e-05
Position 3411: 1.7540870474039744e-05
Position 282: 1.4560931897483171e-05
Position 103: 1.439736077180093e-05
Position 2618: 1.1724745855936776e-05
Position 3576: 1.0782209186535804e-05
Position 208: 1.0148239517719513e-05
Position 2517: 9.802078714768551e-06
Position 3058: 7.701121596948498e-06
Position 2275: 7.526256615688118e-06
Position 287: 7.481064975294728e-06
Position 2344: 7.385118572954154e-06
Position 2707: 7.175531228584892e-06
Position 194: 6.560078820692514e-06
Position 2721: 6.125304493505475e-06
Position 1626: 6.002286737612757e-06
Position 3393: 4.820369463279698e-06
Position 2004: 4.54448392354941e-06
Position 2781: 4.381005438375355e-06
Position 3771: 4.2265047219891725e-06
