Gene = jp
index = 1736
Annotated 5SS: [  318 11117 11467 12751 12948 13163 15034 16547]
Annotated 3SS: [10351 11251 12481 12810 13021 13223 16345 17084]
SMsplice 5SS: [  318 11117 11467 12751 12948 13163 15034 16547]
SMsplice 3SS: [10351 11251 12481 12810 13021 13223 16345 17084]
top_k =  500
Partition function (log Z): 21.368268424892758

Sorted 5' Splice Sites (High to Low Probability):
Position 11117: 0.9953844013973325
Position 11467: 0.9941898290512295
Position 13163: 0.9926295359950935
Position 16547: 0.9844174843743042
Position 15034: 0.9790219739258766
Position 12948: 0.9281436909875077
Position 12751: 0.9030954986371404
Position 318: 0.4014292252878662
Position 17661: 0.34243238585723007
Position 210: 0.282045383566856
Position 16272: 0.23770500726802724
Position 1747: 0.16906521361866925
Position 17650: 0.15567600588645916
Position 17343: 0.1317565101407031
Position 15477: 0.11926042365069144
Position 104: 0.08162251788226522
Position 17254: 0.07374772342472577
Position 12964: 0.06885999732112648
Position 13706: 0.056871924637196744
Position 18557: 0.05381143827103766
Position 10196: 0.04050353089804549
Position 736: 0.038412171275117556
Position 694: 0.03248188607848388
Position 15218: 0.022820796258073903
Position 3452: 0.021614472379087687
Position 13909: 0.02121870129589769
Position 18109: 0.019312505144816926
Position 4231: 0.01828099594304474
Position 859: 0.016496472719487412
Position 108: 0.01542911191897423
Position 15339: 0.015104629817949224
Position 1974: 0.013046908877030255
Position 549: 0.013038190339869906
Position 4469: 0.012840564100514196
Position 13305: 0.010788581111551308
Position 82: 0.010274304768429448
Position 13286: 0.009133601126573097
Position 16019: 0.008128423949443684
Position 14063: 0.00745339682797359
Position 13534: 0.007223633667370953
Position 4104: 0.007065713348101437
Position 18232: 0.007008926685922523
Position 16529: 0.006170160914465063
Position 13102: 0.006111656072541461
Position 12611: 0.005911761193041943
Position 4098: 0.005717091761935062
Position 722: 0.005572242583100112
Position 4913: 0.005342844071559745
Position 12118: 0.004708106723728746
Position 13939: 0.004397959404032504
Position 322: 0.00417506193722236
Position 2771: 0.0040541649913760375
Position 120: 0.0038703252501255023
Position 11136: 0.0038508163798754015
Position 205: 0.0038387456314770184
Position 5634: 0.0036909552850789605
Position 672: 0.003282055638950274
Position 13514: 0.0032405329114468064
Position 18248: 0.003151159218677449
