Gene = obst-E
index = 1829
Annotated 5SS: [182]
Annotated 3SS: [2773]
SMsplice 5SS: [182]
SMsplice 3SS: [2773]
top_k =  500
Partition function (log Z): -6.502676323474985

Sorted 5' Splice Sites (High to Low Probability):
Position 182: 0.4686810803914049
Position 1746: 0.42237760352658343
Position 870: 0.4034819671892581
Position 308: 0.1771154489395744
Position 599: 0.1547312647342823
Position 1811: 0.12806117245792129
Position 1039: 0.09983175141462602
Position 285: 0.07685874628376779
Position 382: 0.05221402791532259
Position 2592: 0.051735978086625674
Position 633: 0.04800954849680403
Position 156: 0.037405059230491165
Position 1988: 0.03692375592920221
Position 590: 0.035805743668486906
Position 2226: 0.031671132510001164
Position 1312: 0.014104765459898121
Position 1652: 0.012925632179542929
Position 1614: 0.01263177880158842
Position 2501: 0.011950034522891919
Position 2368: 0.01039405163013557
Position 2245: 0.010074707518029297
Position 3294: 0.008685634179766056
Position 3245: 0.008241847592710815
Position 471: 0.006023852804644217
Position 2448: 0.004864051603585757
Position 2557: 0.004396317509051504
Position 1319: 0.004393322174676497
Position 400: 0.00431120846478208
Position 1995: 0.0038935957155043963
Position 531: 0.0038606961760108446
Position 1418: 0.0036832049632760707
Position 2545: 0.0036589220765993686
Position 927: 0.002343599511810445
Position 2007: 0.002281527486146198
Position 2126: 0.002208537593365388
Position 944: 0.0020975225700678012
Position 2198: 0.0016760796080049377
Position 2106: 0.0013406319834803103
Position 2370: 0.001315155756984588
Position 885: 0.00129236639363048
Position 648: 0.0011668286500632666
Position 186: 0.0009772788266412904
Position 2041: 0.0008638822096936566
Position 168: 0.0008443644748281642
Position 275: 0.0007633832612947895
Position 787: 0.0007119334168330261
Position 697: 0.0006752993426254082
Position 1658: 0.0004707800137931106
Position 953: 0.00046586254345671544
Position 312: 0.00042649732030098747
Position 3285: 0.00038540043239853044
Position 1303: 0.0003205399446327891
Position 605: 0.0002441972359514967
Position 828: 0.00022685485862324617
Position 71: 0.0001952494511543845
Position 1092: 0.00017255725777962482
Position 57: 3.738725544872906e-05
Position 32: 3.7291116026521486e-05
Position 250: 3.6515181660665865e-05
Position 196: 3.630428432068024e-05
Position 1329: 2.5352620431081176e-05
Position 506: 2.2173375388270398e-05
Position 160: 1.6440570047708512e-05
Position 83: 1.5861532219828714e-05
Position 23: 1.4690676910146855e-05
Position 662: 1.4173984522799194e-05
Position 451: 1.4109262310320573e-05
Position 434: 8.602858559454583e-06
Position 6: 6.582203976590119e-06
Position 1422: 5.071026139909426e-06
Position 265: 2.4306420716879766e-06
Position 40: 6.973219662916073e-07
Position 146: 5.219468718797537e-07
Position 234: 1.5807142998714777e-07
Position 482: 3.1576890753261575e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2773: 0.8384824818214733
Position 696: 0.37075171683451813
Position 444: 0.3116087766961239
Position 1870: 0.28734355721145616
Position 927: 0.2636023689428596
Position 1808: 0.11908471512027821
Position 265: 0.04767411552956003
Position 365: 0.03762316640432399
Position 1381: 0.02731284948747451
Position 3354: 0.0173128822048754
Position 1081: 0.015995950062461243
Position 1522: 0.009463662087615834
Position 613: 0.0066754885043432905
Position 1126: 0.00374534502219096
Position 1310: 0.003440904764711493
Position 1373: 0.0030130670945104332
Position 717: 0.0020948386452632906
Position 704: 0.001773876992757128
Position 944: 0.0016486670320122626
Position 561: 0.0015637259151877365
Position 952: 0.001248050730627386
Position 329: 0.0009321832151261363
Position 564: 0.0008644907006704697
Position 982: 0.0007880706336923479
Position 739: 0.0005553994652387934
Position 1399: 0.00044093453943443763
Position 1386: 0.0003422389978042981
Position 373: 0.0003378446487841251
Position 1107: 0.0002531556346397585
Position 316: 0.00015511546792512827
Position 701: 0.00013899057232924373
Position 275: 0.00012846032512766652
Position 2845: 0.00011980748675546097
Position 451: 9.674163978072013e-05
Position 83: 3.837369329129919e-05
Position 400: 3.2439111785849476e-05
Position 825: 2.3101455239972477e-05
Position 590: 1.889820420816924e-05
Position 746: 9.780302773126221e-06
Position 146: 9.181004776972909e-06
Position 629: 4.089368185029447e-06
Position 284: 2.9983828981110388e-06
Position 615: 2.464368891944425e-06
Position 902: 9.976091357972174e-07
Position 186: 8.151849580679527e-07
Position 196: 7.257809197921503e-07
Position 458: 6.561824351193981e-07
Position 71: 2.0813331739222227e-07
Position 281: 1.1257094052728688e-07
Position 112: 8.586420600827038e-08
Position 114: 2.7762731195565844e-08
Position 57: 3.65326840538504e-09
Position 60: 2.3127021574817845e-09
Position 49: 9.004658913172697e-19
