Gene = odd
index = 1830
Annotated 5SS: [471]
Annotated 3SS: [656]
SMsplice 5SS: [471]
SMsplice 3SS: [656]
top_k =  500
Partition function (log Z): -5.392851929773273

Sorted 5' Splice Sites (High to Low Probability):
Position 471: 0.9905685563811599
Position 2119: 0.09717875646243247
Position 1091: 0.06646297373172964
Position 1901: 0.013158151993345827
Position 1945: 0.012591680278190338
Position 1384: 0.011877848369688504
Position 2059: 0.006098957822430092
Position 585: 0.005234940158060689
Position 266: 0.0033748405342238132
Position 1583: 0.0024288794724882396
Position 1252: 0.002260464740242258
Position 1589: 0.0013305047408799012
Position 301: 0.0012781033261163987
Position 1785: 0.00104073397306664
Position 1414: 0.0006228165072269633
Position 1931: 0.0005886443295699058
Position 2348: 0.0005846880157821531
Position 1434: 0.0005648788244581617
Position 2282: 0.0004965726319766296
Position 324: 0.00048031598473017954
Position 1488: 0.0003830777446785538
Position 244: 0.000379860397469625
Position 216: 0.00036482523614308603
Position 919: 0.00033732114367228605
Position 481: 0.00033165654693547363
Position 2319: 0.0003232743019418738
Position 1792: 0.00032071299090550485
Position 2458: 0.0003192262379641175
Position 2018: 0.0003183583943805599
Position 311: 0.00025307966992293025
Position 233: 0.0002498550144864261
Position 1976: 0.00023249847206792748
Position 1907: 0.00021673984277204052
Position 237: 0.00019984394291920157
Position 554: 0.0001909137001135313
Position 1586: 0.00018430617603666037
Position 1983: 0.00014310406398701628
Position 1619: 0.00013810465382912482
Position 119: 0.00013622741121875568
Position 475: 0.00012745547963416678
Position 2001: 0.00012263087900091455
Position 566: 0.00011512716424457117
Position 761: 9.386443892447803e-05
Position 1276: 8.653406805686435e-05
Position 2176: 8.490261824496847e-05
Position 1957: 8.201033697170219e-05
Position 1197: 7.422950745613282e-05
Position 1469: 7.118863598015904e-05
Position 1224: 6.601021036641476e-05
Position 1194: 6.499866528781758e-05
Position 2353: 5.6370541960536545e-05
Position 1179: 5.565792444282164e-05
Position 393: 5.498405358462944e-05
Position 970: 5.4016741180422313e-05
Position 1176: 5.353436818133715e-05
Position 1119: 4.575843950928443e-05
Position 1638: 4.394554728635263e-05
Position 1240: 4.309787583819097e-05
Position 1267: 3.4356458524655156e-05
Position 108: 3.2393595881145845e-05
Position 179: 3.161593870876064e-05
Position 1279: 3.0999813285359684e-05
Position 5: 3.0027085607064883e-05
Position 2296: 2.7414963169875293e-05
Position 2159: 2.230988003776912e-05
Position 926: 2.1967200185570514e-05
Position 788: 2.0719038669125772e-05
Position 230: 1.9169437593433086e-05
Position 1199: 1.8156275483409895e-05
Position 1185: 1.7159859720632517e-05
Position 1140: 1.456890872590453e-05
Position 185: 1.2826487224710737e-05
Position 2226: 1.1301705587312238e-05
Position 336: 9.57298228097761e-06
Position 1095: 9.20768495655974e-06
Position 871: 8.246548811705215e-06
Position 2346: 8.11901562295824e-06
Position 158: 6.7106552944961764e-06
Position 588: 5.877277976758245e-06
Position 437: 4.850866223162181e-06
Position 331: 3.2927915122919267e-06
Position 2423: 2.907420604399158e-06
Position 220: 2.3355799969829046e-06
Position 1498: 4.046053013332385e-07
Position 222: 3.560562175203304e-07
Position 9: 9.971280872310871e-08
Position 705: 5.3506696693830594e-08
Position 1834: 5.1078563725040126e-08
Position 1444: 4.716786097015279e-08
Position 400: 1.105550117256986e-08
Position 959: 8.387568847954891e-09
Position 680: 4.738291134702254e-09
Position 953: 2.460938811666957e-09
Position 629: 4.756298590433449e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 656: 0.9769841361351342
Position 2190: 0.22553449060408753
Position 2391: 0.006246280987469699
Position 2417: 0.0026061978430768845
Position 2319: 0.002362358788301839
Position 360: 0.0020475843540348664
Position 1630: 0.001377792841695965
Position 2251: 0.0007337932392993131
Position 1945: 0.0006932129278973152
Position 1666: 0.0006873856153688564
Position 1363: 0.0005314914942437614
Position 336: 0.0005196034088344413
Position 426: 0.0004503837249426315
Position 540: 0.0003350735439568323
Position 2521: 0.0003224263669798376
Position 1989: 0.00028527523063099557
Position 1555: 0.000281090858560928
Position 2215: 0.0002693079999062982
Position 304: 0.00026317977077658654
Position 938: 0.00025964110439608516
Position 2143: 0.00023046098721782383
Position 2196: 0.00020536798889072427
Position 2199: 0.00020212798767878497
Position 379: 0.00019081675899930732
Position 668: 0.00018850485391533586
Position 177: 0.00013203627578959763
Position 1823: 0.00011800588171722826
Position 1924: 0.0001148704603032687
Position 680: 7.948414528808331e-05
Position 1468: 6.67425657251753e-05
Position 2368: 6.155253969074841e-05
Position 324: 5.5514566577537854e-05
Position 1709: 4.939120444306688e-05
Position 2208: 4.012373596729784e-05
Position 393: 3.923706635595588e-05
Position 1513: 3.809527738997561e-05
Position 998: 3.755268397991486e-05
Position 598: 3.6423282569247033e-05
Position 1815: 3.414393115440918e-05
Position 1119: 2.9456695472624688e-05
Position 1399: 2.7152776710614306e-05
Position 691: 2.4918311448836198e-05
Position 1267: 2.300116364028617e-05
Position 588: 2.292873746635661e-05
Position 1012: 2.252660395919984e-05
Position 1349: 2.1614373832848642e-05
Position 1444: 1.9661553126741052e-05
Position 688: 1.8040675308916792e-05
Position 554: 1.6235216083092994e-05
Position 1952: 1.2707366079546235e-05
Position 2018: 1.2096393782021607e-05
Position 970: 1.1991137567277833e-05
Position 1900: 1.083918345307374e-05
Position 967: 9.29852764166261e-06
Position 389: 8.697519453905986e-06
Position 832: 8.374819531221041e-06
Position 2488: 8.287654629623564e-06
Position 1419: 5.792439756959883e-06
Position 1206: 4.130279391638579e-06
Position 880: 2.9048794129610976e-06
Position 311: 2.6614807169921053e-06
Position 670: 2.4501651284429656e-06
Position 257: 2.0414994899804356e-06
Position 829: 1.9185185053176776e-06
Position 191: 1.7605488100702929e-06
Position 216: 1.1681714889816818e-06
Position 585: 1.1454777142713914e-06
Position 57: 9.030611162355435e-07
Position 266: 5.848267806270116e-07
Position 292: 5.312105320846164e-07
Position 462: 4.830482939601115e-07
Position 318: 4.738495817476868e-07
Position 54: 4.5638746330284634e-07
Position 459: 3.727174364153897e-07
Position 99: 2.966749214230579e-07
Position 525: 2.468281066685341e-07
Position 60: 1.0172586361059656e-07
Position 270: 9.421152625072159e-08
Position 48: 9.225572708125578e-08
Position 227: 8.71061918886164e-08
Position 919: 9.755459686676352e-09
Position 942: 9.547693791732789e-09
Position 448: 9.429939033894733e-09
Position 1009: 9.412138934478792e-09
Position 916: 7.729178934206094e-09
Position 464: 6.839508869438831e-09
Position 63: 4.454216438458242e-09
Position 835: 3.593021817894502e-09
Position 784: 3.54919988971001e-09
Position 142: 3.353736674722147e-09
Position 1018: 2.1468273036006664e-09
Position 84: 1.5847463400152645e-09
Position 125: 1.1857987010457885e-09
Position 777: 2.988166728276625e-10
Position 748: 2.9140235707293265e-10
Position 886: 1.5437930387248716e-10
