Gene = arx
index = 1612
Annotated 5SS: [235]
Annotated 3SS: [302]
SMsplice 5SS: [235]
SMsplice 3SS: [302]
top_k =  500
Partition function (log Z): -8.178708783826513

Sorted 5' Splice Sites (High to Low Probability):
Position 235: 0.8207866678739673
Position 187: 0.15925367873740384
Position 453: 0.016545999907451266
Position 477: 0.011804016468545314
Position 653: 0.004929583820524639
Position 239: 0.004817202774705467
Position 430: 0.004158870635468753
Position 266: 0.0038282888973130047
Position 175: 0.0032684003679312643
Position 252: 0.0014567250039789915
Position 650: 0.001129330678072528
Position 155: 0.00021328692169806743
Position 203: 0.00016096880147644277
Position 460: 0.00016085398376114936
Position 255: 9.102906132571847e-05
Position 401: 8.29557481440828e-05
Position 157: 6.9314423011133e-05
Position 791: 6.573114214471989e-05
Position 45: 6.474271060857198e-05
Position 432: 6.253043717930505e-05
Position 4: 3.0078376031489216e-05
Position 258: 1.838707747740066e-05
Position 659: 1.7568705912766987e-05
Position 880: 1.5611959444331973e-05
Position 494: 1.1525800566655583e-05
Position 228: 9.870546947941089e-06
Position 763: 9.281192896449973e-06
Position 299: 8.702885632180643e-06
Position 657: 6.927046406077367e-06
Position 803: 6.655513540191362e-06
Position 888: 2.5061503685182827e-06
Position 725: 1.2199674404983648e-06
Position 50: 3.84706264772147e-07
Position 85: 2.4445256928721897e-07
Position 317: 5.082459124408487e-08
Position 339: 2.6847358576467877e-08
Position 270: 1.0187937596530305e-08
Position 96: 8.905463476334412e-09
Position 191: 2.56376861325887e-09
Position 366: 1.1361805002497979e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 302: 0.625532117437623
Position 350: 0.1456916762764874
Position 281: 0.10591823795740732
Position 509: 0.032816920912017634
Position 339: 0.028852328198328246
Position 286: 0.024220061031450798
Position 244: 0.020487459459188166
Position 530: 0.01466095600683283
Position 921: 0.012650364527428381
Position 373: 0.009901261312495314
Position 452: 0.003901777792803817
Position 514: 0.0021651402627051552
Position 803: 0.002000058705442978
Position 355: 0.001522219927056625
Position 255: 0.00044368691886668364
Position 378: 0.0003781522427715409
Position 258: 0.00037545517316336973
Position 466: 0.00035372519820156556
Position 808: 0.00034474192050843426
Position 791: 0.0002922023176869109
Position 395: 0.0001530929287265302
Position 938: 0.00011382201689534722
Position 385: 0.00011142468260306288
Position 105: 6.181770851186769e-05
Position 628: 5.0945162839763776e-05
Position 220: 3.303533069392295e-05
Position 688: 2.425552822953039e-05
Position 203: 2.2803137224186494e-05
Position 846: 3.772644304845064e-06
Position 323: 3.760860278808122e-06
Position 108: 1.558727753384727e-06
Position 129: 2.664108383518777e-07
Position 228: 5.415394020792558e-08
Position 407: 2.068749648150334e-08
Position 138: 1.7595716260882743e-08
Position 239: 1.7209375517437577e-08
Position 126: 1.2215781283735984e-08
Position 563: 5.972817741145894e-09
Position 169: 5.829991750237891e-09
Position 572: 3.603181806925393e-09
Position 575: 3.5814838955809103e-09
Position 222: 2.0056737245520897e-09
Position 135: 5.438664747613707e-10
