Gene = saturn
index = 1864
Annotated 5SS: [330]
Annotated 3SS: [388]
SMsplice 5SS: [330]
SMsplice 3SS: [388]
top_k =  500
Partition function (log Z): -4.361914263668041

Sorted 5' Splice Sites (High to Low Probability):
Position 330: 0.987566580367023
Position 150: 0.32983231694947907
Position 522: 0.3253193584045681
Position 32: 0.07454656836407109
Position 479: 0.030571777684102144
Position 47: 0.021360784529203647
Position 550: 0.004149947775104676
Position 258: 0.002578698975728854
Position 231: 0.0019031697279807151
Position 719: 0.001113247790425491
Position 132: 0.00041574032034841235
Position 190: 0.0002467675166350041
Position 99: 0.00024063715142267204
Position 704: 0.00015044249539437882
Position 297: 0.00013790227125112025
Position 840: 0.00010182177771976978
Position 430: 7.186482856930612e-05
Position 707: 7.155832422276967e-05
Position 194: 5.956423498158916e-05
Position 51: 5.769080917991763e-05
Position 164: 5.5291865161037303e-05
Position 334: 5.416090775418514e-05
Position 124: 4.833353331352557e-05
Position 434: 4.3893338066597165e-05
Position 815: 4.3521569605021406e-05
Position 58: 3.288240037651439e-05
Position 644: 2.79760192069976e-05
Position 671: 2.3771101525460588e-05
Position 847: 1.6992687897380906e-05
Position 425: 1.3864946186489573e-05
Position 113: 1.1245560132855866e-05
Position 282: 1.1173395517431404e-05
Position 627: 2.4409577904717084e-06
Position 218: 9.939300350730269e-07
Position 273: 1.5175969349494745e-07
Position 353: 2.413256953948745e-08
Position 389: 1.7145774367014126e-08
Position 423: 1.2276570037202302e-08
Position 358: 4.8921139564320266e-09
Position 377: 8.158424740196497e-11
Position 397: 4.979191933008176e-12
Position 409: 3.640577293601946e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 388: 0.987932003773168
Position 207: 0.33648991422032254
Position 578: 0.18278514597709825
Position 611: 0.178226333947765
Position 81: 0.07223164634277385
Position 103: 0.007068752602615034
Position 128: 0.0031451362268562063
Position 99: 0.002992156707389068
Position 961: 0.0022742190104395273
Position 307: 0.0016292854097569992
Position 85: 0.0013188248251929191
Position 680: 0.0009592448191430061
Position 548: 0.0007038728100136367
Position 932: 0.0005284599784700115
Position 737: 0.0004378653729859896
Position 587: 0.00041089769135114676
Position 627: 0.00036905064956139545
Position 782: 0.00030703117026930173
Position 803: 0.00022209597054408207
Position 831: 0.0001844966701750652
Position 796: 0.00015391369312900966
Position 241: 0.00011914660094352435
Position 638: 0.00010822865014716518
Position 717: 9.110992036697367e-05
Position 155: 5.978701256337769e-05
Position 898: 3.8711296577064566e-05
Position 653: 1.7517017572023757e-05
Position 519: 1.4571189250311872e-05
Position 707: 1.4276564973673748e-05
Position 442: 1.395469222780735e-05
Position 644: 1.3637720863776943e-05
Position 742: 7.028615170149614e-06
Position 430: 5.310980787983903e-06
Position 132: 5.059449444234142e-06
Position 490: 2.9430767424234224e-06
Position 375: 5.434722135713162e-07
Position 340: 5.103033761666316e-07
Position 500: 1.510853646259132e-07
Position 409: 1.351197665574347e-07
Position 403: 1.0309586926257918e-07
Position 364: 6.901497603471809e-08
Position 464: 2.5255962290616474e-08
Position 361: 2.4802727900567434e-08
