Gene = PHGPx
index = 1356
Annotated 5SS: [ 448 1919]
Annotated 3SS: [1594 1985]
SMsplice 5SS: [ 448 1289 1919]
SMsplice 3SS: [1077 1594 1985]
top_k =  500
Partition function (log Z): 2.1523851148179647

Sorted 5' Splice Sites (High to Low Probability):
Position 1919: 0.9980916519844963
Position 1289: 0.9708892278661512
Position 587: 0.2840368775660838
Position 448: 0.2647152437881808
Position 103: 0.19303612339577836
Position 1014: 0.1319395288816318
Position 177: 0.07383872967626881
Position 581: 0.04659493331572503
Position 58: 0.027574878180236982
Position 530: 0.027500126335170856
Position 713: 0.02053114741304346
Position 602: 0.009589359806203537
Position 546: 0.009583746356279723
Position 1293: 0.007932408040728808
Position 2191: 0.007191355518427975
Position 402: 0.007028346393990455
Position 192: 0.006076125201883142
Position 2174: 0.005420144882337441
Position 998: 0.004806031225869946
Position 259: 0.004718420573854304
Position 687: 0.003275847904395671
Position 781: 0.0032543602173017087
Position 1783: 0.003000034051879692
Position 426: 0.002938968776982741
Position 639: 0.002539021716778433
Position 764: 0.0016144837268341132
Position 1064: 0.0013441157801080998
Position 619: 0.0009886951024909824
Position 1223: 0.0006300418346034947
Position 1703: 0.0006065712425947135
Position 591: 0.00051195401778345
Position 297: 0.0005101744132681837
Position 555: 0.00043201009532553786
Position 364: 0.0003755404548187266
Position 550: 0.0003410468670356721
Position 793: 0.0003333364536675122
Position 1732: 0.00030764229021943367
Position 1439: 0.00028171352796843574
Position 1690: 0.00026545756401910885
Position 339: 0.00023669975733882687
Position 66: 0.00018916167860352705
Position 976: 0.00018143360050093332
Position 912: 0.00017095676654222091
Position 607: 0.0001411883408313437
Position 1182: 0.000134856393464366
Position 2091: 0.0001306154880676093
Position 2180: 0.00012893778198527306
Position 171: 0.00011753828395260368
Position 1470: 0.00010580049477084194
Position 15: 0.00010393875951241629
Position 920: 9.819404779289639e-05
Position 719: 7.602368966832241e-05
Position 1715: 6.626972889489759e-05
Position 348: 6.184611121041245e-05
Position 788: 5.467107300158764e-05
Position 1907: 5.389812970611113e-05
Position 2084: 4.4037758077472444e-05
