Gene = Rpn10
index = 1456
Annotated 5SS: [139 381]
Annotated 3SS: [239 440]
SMsplice 5SS: [139 381]
SMsplice 3SS: [239 440]
top_k =  500
Partition function (log Z): -3.688070585943775

Sorted 5' Splice Sites (High to Low Probability):
Position 381: 0.9919684010599404
Position 139: 0.8809831419798366
Position 679: 0.017873909621198364
Position 126: 0.008455807631115593
Position 784: 0.007584491863364971
Position 79: 0.0029942679177520776
Position 92: 0.0027093798605165955
Position 116: 0.001870912196382302
Position 694: 0.0008877229588578202
Position 685: 0.0006906890541936441
Position 704: 0.0005706488113669555
Position 188: 0.0004121920252273344
Position 604: 0.0003062350462795366
Position 394: 0.0002136622916005787
Position 646: 0.00016541538502249522
Position 149: 0.00014772357850179806
Position 39: 0.00013994149549558966
Position 610: 0.00013531683372190848
Position 358: 0.00012827919450368925
Position 1318: 8.665188646431207e-05
Position 385: 7.202856036842969e-05
Position 1508: 5.04911582567508e-05
Position 180: 4.4752232324183526e-05
Position 559: 4.271316790520157e-05
Position 790: 3.9920085305571774e-05
Position 8: 2.812591639678568e-05
Position 1390: 2.7762408029790744e-05
Position 84: 2.1096975445561522e-05
Position 938: 1.8829122904057874e-05
Position 387: 1.4505433076931404e-05
Position 1402: 9.954669852211076e-06
Position 1406: 8.746288404350409e-06
Position 1495: 6.6572206337123735e-06
Position 210: 6.5100989746602304e-06
Position 601: 4.485197366971688e-06
Position 319: 4.31632759607641e-08
Position 375: 2.8253596222382607e-08
Position 398: 2.2784429363931648e-08
Position 451: 2.164623555251852e-08
Position 445: 1.6840851456869915e-08
Position 505: 1.5079777187832615e-08
Position 338: 1.2163261742685299e-08
Position 422: 7.309683602283183e-09
Position 428: 2.098086594941305e-09
Position 1073: 8.949063045682895e-10
Position 1121: 8.797231012231623e-10
Position 896: 7.836602301912765e-10
Position 295: 1.7467247493917264e-10
Position 287: 1.1744823894270465e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 440: 0.9333212037961199
Position 239: 0.860821115944928
Position 736: 0.01548722170746133
Position 843: 0.015420520170983108
Position 210: 0.01449665098634931
Position 261: 0.012801413281117707
Position 470: 0.012512864673798403
Position 510: 0.011508479088392733
Position 1224: 0.007592777953046516
Position 300: 0.004949527696683091
Position 251: 0.004566953138508125
Position 478: 0.0044147679186933
Position 1344: 0.003753784753538089
Position 1212: 0.0031624488842342535
Position 901: 0.0031187944878264505
Position 1251: 0.0021403766361031925
Position 788: 0.0012411546094980334
Position 495: 0.0011610638205846965
Position 516: 0.001043535546136427
Position 451: 0.0010178245293505901
Position 762: 0.0008034959028047397
Position 1532: 0.0007500576573253379
Position 1255: 0.0006126337494953428
Position 1556: 0.000503176737048841
Position 1194: 0.00048006726186222617
Position 1380: 0.00042604573045930513
Position 567: 0.00039354104314028574
Position 180: 7.300845131972297e-05
Position 805: 2.5857042466885375e-05
Position 1069: 1.3182419943834935e-05
Position 1084: 1.3046914502398135e-05
Position 1386: 1.2823790510019901e-05
Position 633: 1.0044794868473981e-05
Position 1260: 9.247453502605917e-06
Position 1502: 8.335375257311414e-06
Position 333: 8.014449214955678e-06
Position 1269: 7.1056533091927385e-06
Position 726: 6.2277517968156165e-06
Position 1491: 6.205931743856462e-06
Position 654: 6.045850666203387e-06
Position 951: 5.897836555692267e-06
Position 672: 4.777103573715041e-06
Position 1419: 3.3928646455488665e-06
Position 582: 3.169454578047259e-06
Position 577: 2.87417431253475e-06
Position 168: 2.6047775186176196e-07
Position 79: 2.2384663210157491e-07
Position 351: 1.9031583646990612e-07
Position 158: 6.086042181970252e-08
Position 304: 2.7943804646890847e-08
Position 302: 9.035656066370661e-09
Position 124: 4.755291051995283e-09
Position 92: 3.475851478722701e-09
Position 271: 3.016309536892012e-09
Position 84: 1.6573205228815092e-09
Position 53: 4.114103401074378e-10
Position 381: 3.768816504311921e-10
Position 99: 2.144907701080392e-10
Position 126: 5.849979656683804e-12
Position 170: 4.316786522805251e-12
Position 385: 6.486594857615161e-14
Position 392: 4.8099214847626853e-14
