Gene = Clc
index = 1080
Annotated 5SS: [54]
Annotated 3SS: [1731]
SMsplice 5SS: [54]
SMsplice 3SS: [280]
top_k =  500
Partition function (log Z): -11.600464585552487

Sorted 5' Splice Sites (High to Low Probability):
Position 54: 0.48167651047665944
Position 632: 0.36200052603825156
Position 1478: 0.1364082958526902
Position 1678: 0.11452003458051732
Position 488: 0.04984539506039695
Position 1127: 0.041244010699494474
Position 1272: 0.01578890884805492
Position 2405: 0.014374968099393022
Position 48: 0.009883831750868608
Position 1615: 0.009305017773855721
Position 1560: 0.008105462973464513
Position 1899: 0.00743292455538527
Position 1132: 0.0065911348276561045
Position 1684: 0.006517429956721184
Position 503: 0.0028701160061556227
Position 157: 0.0027230447315374053
Position 600: 0.0026428590336053056
Position 2387: 0.002528778715078579
Position 40: 0.001988685636769122
Position 549: 0.0014251264901863538
Position 784: 0.0013195399017556695
Position 240: 0.0013126630673371761
Position 32: 0.0010146811587094838
Position 1352: 0.000991314714414566
Position 1280: 0.0009078395581464253
Position 732: 0.0007907344646882228
Position 1150: 0.0007208096814353285
Position 1290: 0.0006822520893408912
Position 519: 0.0005848776626554519
Position 859: 0.0005566445705355536
Position 770: 0.0004507271240977533
Position 729: 0.00044607252297708085
Position 170: 0.0004416698860432618
Position 1162: 0.0004252378251849324
Position 58: 0.00040283306100566234
Position 753: 0.0002991569769265432
Position 779: 0.0002840653490842228
Position 126: 0.00023764062992738243
Position 760: 0.00020664385924622515
Position 232: 0.000180836402558726
Position 1488: 0.00016107797658658092
Position 1482: 0.0001553641899856748
Position 410: 0.00014146170903354092
Position 909: 0.00011648282742168122
Position 1318: 9.898280944644675e-05
Position 180: 8.937712628931788e-05
Position 295: 5.445170840408186e-05
Position 583: 4.721385181790571e-05
Position 1000: 4.297244279326236e-05
Position 727: 3.341924220978256e-05
Position 1510: 2.162917556323819e-05
Position 391: 1.764199836872424e-05
Position 291: 1.3308886486298688e-05
Position 1016: 1.1919876346296475e-05
Position 782: 8.284867995788706e-06
Position 1350: 7.287642736375315e-06
Position 707: 4.876036937633419e-06
Position 373: 4.708894647385798e-06
Position 114: 3.628916061408803e-06
Position 658: 3.5415484643069503e-06
Position 527: 3.5265466770519094e-06
Position 511: 3.0410027784228315e-06
Position 653: 9.744296839427739e-07
Position 844: 8.715592942155228e-07
Position 542: 7.906875593660263e-07
Position 636: 6.97828986260084e-07
Position 881: 6.733776612831932e-07
Position 540: 5.392877252830919e-07
Position 677: 4.5191874237638695e-07
Position 425: 3.879160032384012e-07
Position 553: 3.7499322991721647e-07
Position 663: 2.5461674690285823e-07
Position 661: 2.309126617505091e-07
Position 246: 2.3046451155228485e-07
Position 577: 1.9977021343629195e-07
Position 274: 1.851138661086575e-07
Position 464: 1.0622981938493486e-07
Position 244: 1.0194265968081279e-07
Position 271: 3.272720538956687e-08
Position 561: 4.140499823939362e-09
Position 564: 3.801589671576748e-09
Position 257: 4.812087725355204e-10
Position 616: 4.884379514228906e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1435: 0.2709093699941583
Position 1731: 0.2020280923878723
Position 858: 0.18453433843342856
Position 280: 0.12622015242216206
Position 1194: 0.10582664546420895
Position 271: 0.06392362663320035
Position 1564: 0.0634862749553535
Position 1214: 0.05126765806832559
Position 1553: 0.03942961428827404
Position 1592: 0.0350775730425516
Position 999: 0.03342698659547068
Position 404: 0.019371713793970374
Position 1980: 0.017391516384311603
Position 2526: 0.015579414158378383
Position 691: 0.014103788261067196
Position 2575: 0.010386448347674875
Position 1609: 0.006219642027593436
Position 1886: 0.003958597176855727
Position 487: 0.0032429148607005707
Position 385: 0.003223482002193568
Position 1332: 0.0031930176117451773
Position 2314: 0.002042442673975225
Position 1048: 0.001994156245586115
Position 1526: 0.0019674559038202924
Position 720: 0.0018082005969178153
Position 1247: 0.001765594901387658
Position 812: 0.0013911472098209843
Position 631: 0.0013172516976169355
Position 1777: 0.00126775808950336
Position 826: 0.0008306591257084778
Position 600: 0.0007948773019376134
Position 464: 0.0007396138528818312
Position 2674: 0.0005146497767264695
Position 1086: 0.00046985301901054515
Position 2562: 0.0003655262848229268
Position 253: 0.0002578409087979169
Position 145: 0.0002505408775892134
Position 760: 0.00014096847770863756
Position 257: 0.00013910898357500932
Position 527: 0.0001324364502290916
Position 653: 9.261275944532619e-05
Position 310: 8.937829408901934e-05
Position 1455: 5.173755634354976e-06
Position 336: 2.4869815477915728e-06
Position 540: 8.787908803058995e-09
Position 362: 4.272839777525605e-09
