Gene = SsRbeta
index = 1524
Annotated 5SS: [ 96 667]
Annotated 3SS: [290 888]
SMsplice 5SS: [ 96 667]
SMsplice 3SS: [290 888]
top_k =  500
Partition function (log Z): -1.0872390961438425

Sorted 5' Splice Sites (High to Low Probability):
Position 667: 0.987122734190453
Position 96: 0.8592406011331449
Position 430: 0.007364479775372922
Position 475: 0.00639554892216474
Position 1102: 0.0015139812140017193
Position 237: 0.0013026854110013107
Position 125: 0.0012278769414618596
Position 58: 0.0009579770340552004
Position 1154: 0.0006985472336686003
Position 589: 0.00049679287452737
Position 426: 0.00035434860075563577
Position 100: 0.0003331896382005502
Position 249: 0.0003052695764034175
Position 802: 0.00024628424032118894
Position 484: 0.00022884794852770512
Position 256: 0.00019152378275685478
Position 402: 0.00018260856262722536
Position 684: 0.00015885876310915668
Position 55: 0.00014639223890236622
Position 281: 8.916580106062055e-05
Position 216: 8.783247703447016e-05
Position 287: 5.794964827845759e-05
Position 917: 5.277213549753833e-05
Position 103: 5.209600185983002e-05
Position 331: 4.403194734878612e-05
Position 207: 4.361056601260497e-05
Position 705: 3.980737677200761e-05
Position 1172: 3.8689540596847704e-05
Position 451: 3.716549561736092e-05
Position 409: 3.102140649960344e-05
Position 671: 3.09679716373017e-05
Position 820: 2.198547274291574e-05
Position 634: 1.2315836205541832e-05
Position 166: 1.1540165485329905e-05
Position 1163: 1.1514833837868658e-05
Position 657: 1.1063909362540553e-05
Position 324: 8.952071036023867e-06
Position 586: 6.774342696952451e-06
Position 461: 5.559608758766075e-06
Position 196: 4.854883514699609e-06
Position 544: 4.798947163772064e-06
Position 737: 4.593578704822227e-06
Position 333: 3.3114499940446196e-06
Position 142: 3.1052129234919943e-06
Position 735: 2.709137930205388e-06
Position 982: 2.6009651774814653e-06
Position 994: 2.4212015087068797e-06
Position 945: 2.379178818138738e-06
Position 636: 2.072509080542682e-06
Position 901: 2.0275050226401353e-06
Position 923: 1.9291512351721403e-06
Position 517: 1.9275554967970325e-06
Position 703: 1.5327393422753411e-06
Position 541: 1.2228022856668145e-06
Position 123: 1.0836827117601369e-06
Position 315: 9.841943676220197e-07
Position 9: 9.049629757958937e-07
Position 172: 6.15680293792634e-07
Position 294: 2.882709422622045e-07
Position 129: 2.297569056997692e-07
Position 144: 1.7330661454676703e-09
Position 348: 1.2594476750785269e-09
Position 379: 7.784943361774534e-10
Position 371: 6.182578275998469e-10
Position 649: 2.7097361140960505e-10
Position 520: 2.056338636666612e-10
Position 365: 2.3546299667694285e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 888: 0.988993608124601
Position 290: 0.436508970753116
Position 156: 0.2089522611163963
Position 177: 0.16762592911851829
Position 338: 0.021766645386460552
Position 390: 0.014824697401973444
Position 487: 0.006682468944238778
Position 564: 0.00435861548269266
Position 820: 0.004302394662310082
Position 735: 0.002604047350386073
Position 1172: 0.0020566847351232063
Position 507: 0.001856174015349285
Position 458: 0.001409221937017445
Position 1231: 0.0013241371324697604
Position 851: 0.0012736525722508096
Position 531: 0.0008951509199878376
Position 551: 0.0008711430262155496
Position 387: 0.0008235009147084216
Position 300: 0.0003597635477991402
Position 862: 0.00035008685135586005
Position 743: 0.00030378180554241113
Position 193: 0.00017512212245887398
Position 402: 0.00015472026067296716
Position 474: 0.0001531782328137946
Position 802: 0.0001518691908681371
Position 355: 0.0001343664599717309
Position 526: 9.37850750191901e-05
Position 249: 5.086260300057354e-05
Position 417: 3.941576616409526e-05
Position 645: 2.8460487269499782e-05
Position 1272: 2.455212680879834e-05
Position 1041: 2.3525694465878456e-05
Position 746: 1.271436991776145e-05
Position 921: 5.5053104769767534e-06
Position 905: 5.488561683955155e-06
Position 633: 3.617677556594457e-06
Position 600: 3.2465211780197068e-06
Position 1071: 2.0415053628894664e-06
Position 954: 1.013124777551112e-06
Position 1335: 7.76910359450179e-07
Position 945: 7.141319987770365e-07
Position 758: 4.2916917815742976e-07
Position 1137: 3.4031911735938157e-07
Position 1315: 1.4942185930761356e-07
Position 1330: 1.3029071034617725e-07
Position 360: 1.4727338280324455e-09
Position 103: 2.6756440786791706e-10
Position 77: 2.1604738570895007e-11
Position 100: 1.966493337620421e-11
Position 55: 9.898503291361412e-12
Position 96: 7.489083811966173e-13
