Gene = Gr22d
index = 1195
Annotated 5SS: [1010]
Annotated 3SS: [1067]
SMsplice 5SS: [1010]
SMsplice 3SS: [1067]
top_k =  500
Partition function (log Z): -6.176529674295454

Sorted 5' Splice Sites (High to Low Probability):
Position 1010: 0.9948166104486403
Position 185: 0.08784472856649096
Position 98: 0.03445847307498559
Position 509: 0.029511050195815246
Position 290: 0.02503414500883422
Position 812: 0.01701051172814904
Position 32: 0.01619603026634424
Position 848: 0.013771398494836787
Position 541: 0.013620091962830568
Position 710: 0.01277552642436581
Position 635: 0.011532112980248775
Position 379: 0.007753970444121175
Position 584: 0.007009614792244307
Position 581: 0.004400551454310069
Position 536: 0.004184782475641016
Position 425: 0.00366469068701802
Position 476: 0.0014743905628534927
Position 420: 0.0014202216520589246
Position 300: 0.0013397803648385188
Position 794: 0.0010017694550387834
Position 755: 0.0007526676007665037
Position 914: 0.0006339048506521925
Position 42: 0.0006127442087723403
Position 53: 0.0005461353186359001
Position 305: 0.00044543297294894765
Position 195: 0.0004277939866802796
Position 443: 0.00030976609338169376
Position 452: 0.0003036123373754497
Position 278: 0.00026008192617298537
Position 1008: 0.00019284918466899538
Position 19: 0.00017405252773079806
Position 398: 0.00016394241025663163
Position 223: 0.0001553210001657044
Position 677: 0.00011147452230634617
Position 287: 9.384916025880013e-05
Position 524: 8.503914039297226e-05
Position 264: 6.07081033169236e-05
Position 16: 6.059582601950692e-05
Position 518: 6.0035711676271934e-05
Position 602: 5.3106765207179694e-05
Position 1014: 4.0316036697315635e-05
Position 403: 3.9185579886396434e-05
Position 838: 3.438360521670885e-05
Position 1134: 6.383647753015133e-06
Position 127: 5.1882245783850414e-06
Position 124: 4.1718823841845925e-06
Position 134: 3.2573683115996797e-06
Position 36: 3.1153809112455436e-06
Position 1085: 1.709189164986642e-06
Position 1099: 1.1739240821302915e-06
Position 1056: 8.721800382030022e-07
Position 162: 4.0605503358106117e-07
Position 230: 5.4872948699974026e-08
Position 152: 3.44979852423721e-08
Position 155: 3.116790518548888e-08
Position 281: 2.795206465856108e-08
Position 405: 2.04346011408591e-08
Position 527: 1.882027192574357e-08
Position 168: 1.2525557257942262e-08
Position 440: 2.2258765924362447e-09
Position 967: 6.065098045359338e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1067: 0.9258998902963356
Position 878: 0.14979409614515365
Position 931: 0.09521036744102128
Position 1093: 0.03562744154881105
Position 1055: 0.02157468466511653
Position 240: 0.015626300642716428
Position 1074: 0.0114245973307886
Position 618: 0.009761078836181318
Position 779: 0.008020006882643808
Position 264: 0.004392155868142697
Position 819: 0.0032214785269158407
Position 98: 0.003140348524298694
Position 433: 0.0014582224102772101
Position 1102: 0.0014352811770608723
Position 398: 0.001229285146903806
Position 751: 0.0011374126156370097
Position 193: 0.0009243409508952583
Position 706: 0.0007877582495922213
Position 723: 0.0007396223771599
Position 964: 0.000659734226414188
Position 675: 0.000633321614360316
Position 152: 0.0003473595631755084
Position 464: 0.0002683301685203253
Position 162: 0.00019760048515875912
Position 494: 0.00018216293179013947
Position 113: 0.0001493376604513698
Position 437: 0.00013794173209298792
Position 1143: 9.588658387782213e-05
Position 168: 6.057960047258173e-05
Position 327: 5.4782180467634284e-05
Position 630: 5.14892337970492e-05
Position 661: 4.7338522462944435e-05
Position 913: 4.4007820802414955e-05
Position 1171: 2.4350040005519865e-05
Position 67: 2.2169929557913543e-05
Position 281: 1.5196422378485487e-05
Position 1199: 1.3764382184217564e-05
Position 440: 1.2943394442152558e-05
Position 666: 1.0297990851672546e-05
Position 1109: 1.0236336437598131e-05
Position 403: 7.417942758061618e-06
Position 648: 6.864461124997061e-06
Position 278: 6.358069310390429e-06
Position 202: 5.067744599147424e-08
Position 118: 2.5026728351599173e-08
Position 115: 9.871078741265344e-09
Position 200: 3.0875193627196207e-09
Position 207: 6.506895367514319e-10
Position 195: 1.6918816048670774e-11
