Gene = ND-39
index = 1298
Annotated 5SS: [ 133 3438 3994 4442]
Annotated 3SS: [3269 3542 4075 4509]
SMsplice 5SS: [ 133 4442]
SMsplice 3SS: [4075 4509]
top_k =  500
Partition function (log Z): 1.2952514880536192

Sorted 5' Splice Sites (High to Low Probability):
Position 4442: 0.9998687973498339
Position 133: 0.8833728859935339
Position 3994: 0.5336428267439236
Position 786: 0.20450270191251244
Position 2973: 0.18166036315548176
Position 3438: 0.10857632436945026
Position 2962: 0.05110756937456348
Position 190: 0.02778923924392777
Position 1232: 0.02295208940341539
Position 2845: 0.020215797550286976
Position 1960: 0.019203309915769504
Position 520: 0.0191715584324952
Position 1985: 0.017445760023809567
Position 1956: 0.011055387339193482
Position 493: 0.009579050073488757
Position 3356: 0.006809908220556257
Position 827: 0.006160003700343298
Position 18: 0.005187102185562724
Position 2623: 0.005035445155835961
Position 2953: 0.003608424633776357
Position 1796: 0.0022831925472239214
Position 2610: 0.0022789892857859938
Position 2999: 0.0022027402693227094
Position 3082: 0.0008976212878433154
Position 898: 0.0007332206729367855
Position 371: 0.0005659688254314577
Position 3839: 0.0005422919910147457
Position 2389: 0.0004904002444882638
Position 3120: 0.00028743862028757043
Position 9: 0.0002492937125687271
Position 2470: 0.00023346739782954497
Position 188: 0.00022045225704235213
Position 137: 0.00016233913853260453
Position 1873: 0.0001538293031393826
Position 321: 0.00013111475969689577
Position 278: 0.00012568762434940375
Position 561: 0.00012185731023499795
Position 4718: 0.00010994361484666361
Position 254: 0.00010328798312438289
Position 308: 8.262294744218891e-05
Position 1516: 7.057318200470784e-05
Position 484: 5.012940033098114e-05
Position 1251: 4.852605325805119e-05
Position 126: 4.728777281663557e-05
Position 4446: 4.4594925048433395e-05
Position 270: 3.858522750512131e-05
Position 315: 2.6372431677351973e-05
Position 76: 2.484354421378584e-05
Position 4437: 1.9952145069048155e-05
Position 4890: 1.8930069900647228e-05
Position 1835: 1.771783509694883e-05
Position 4464: 1.6141922828684522e-05
Position 4195: 1.5140805623624446e-05
Position 42: 1.10735673971736e-05
Position 4781: 9.004051318932054e-06
Position 478: 8.323417214424472e-06
Position 4674: 5.761440224189883e-06
Position 834: 4.962377055674403e-06
Position 4864: 4.662962587761251e-06
Position 2349: 4.392276056523309e-06
Position 606: 3.273378607956554e-06
Position 622: 3.1200491243270747e-06
Position 4894: 2.2065221402495184e-06
Position 4151: 1.6080384357382388e-06
Position 4187: 1.565615386609713e-06
Position 22: 1.4265781962597879e-06
Position 229: 1.1402711979960709e-06
Position 850: 1.066373399003872e-06
Position 4920: 1.065225253336027e-06
Position 4914: 1.0320919457796398e-06
Position 92: 9.2095103108181e-07
Position 4206: 8.084389016008212e-07
Position 686: 7.583607606248225e-07
Position 20: 3.45136519609475e-07
Position 4840: 5.2693583388654654e-08
Position 731: 4.0862977442019984e-08
Position 665: 3.1730620898223475e-08
Position 4303: 4.312501523545494e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 4509: 0.9990559790456606
Position 4075: 0.9788803793721887
Position 2689: 0.24723774934825934
Position 684: 0.19854078770460865
Position 3218: 0.1638113788585539
Position 2513: 0.10630513641216155
Position 3542: 0.09829311839622781
Position 3430: 0.09438722233541227
Position 3269: 0.03881092572964474
Position 2726: 0.032938563315511635
Position 3036: 0.032211133880284626
Position 2205: 0.029498788012099243
