Gene = roq
index = 1861
Annotated 5SS: [ 135 1491 3707]
Annotated 3SS: [1327 1555 3898]
SMsplice 5SS: [1221 1491 3707]
SMsplice 3SS: [1327 1555 3898]
top_k =  500
Partition function (log Z): -0.9047566133663194

Sorted 5' Splice Sites (High to Low Probability):
Position 1491: 0.9999939340442175
Position 3707: 0.9348047623586833
Position 1221: 0.7438313876341369
Position 715: 0.33568516954811567
Position 2859: 0.22145531746684693
Position 1841: 0.2210485697914006
Position 135: 0.18418430053494425
Position 4401: 0.1582983829353168
Position 465: 0.10360647407872471
Position 4037: 0.08057429547126574
Position 2804: 0.06756610809585431
Position 4090: 0.048764629906672456
Position 4942: 0.04537926689636428
Position 561: 0.0358297883150494
Position 2208: 0.02743568988742154
Position 1701: 0.021706642699823645
Position 4159: 0.021549269614967396
Position 914: 0.019177096544511132
Position 2619: 0.019100226498790722
Position 2644: 0.016483865468999888
Position 4026: 0.01048723778345681
Position 324: 0.009611034978036634
Position 217: 0.00879171539518058
Position 3731: 0.00852414343717617
Position 2684: 0.006028028917829827
Position 965: 0.006021874526616742
Position 687: 0.005965545476180174
Position 979: 0.005762871072658466
Position 1708: 0.005730962613355835
Position 2675: 0.005199120095283713
Position 2212: 0.004544375430355311
Position 210: 0.004349074363912899
Position 428: 0.0037151117534251015
Position 178: 0.0037085900169912984
Position 2059: 0.0035909755539595646
Position 776: 0.0035156677202756513
Position 773: 0.0032277142507648442
Position 2810: 0.0028185520640820207
Position 4374: 0.0025167316060799106
Position 2123: 0.0024584654097530175
Position 338: 0.00244494768720943
Position 2308: 0.0023371886850620575
Position 461: 0.002256670829858122
Position 2503: 0.002140429653419896
Position 1033: 0.002100031806156911
Position 2732: 0.0020530133740974815
Position 4273: 0.0020410953590338414
Position 457: 0.0014592366132878609
Position 459: 0.0011666442278667729
Position 3504: 0.0010817209262223152
Position 35: 0.0010312626966633071
Position 203: 0.0010150003911639823
Position 2271: 0.0009498037835656264
Position 1994: 0.0009298690771464822
Position 683: 0.0009115833142648628
Position 819: 0.0006790698173895561
Position 937: 0.0006640711620502814
Position 4199: 0.0006613977678322475
Position 650: 0.0005903930013546006
Position 423: 0.0005440766931207607
Position 904: 0.000531023518180377
Position 4268: 0.0004417213138746802
Position 249: 0.00042607216012812923
Position 550: 0.0004256073899881656
Position 1159: 0.00037169407590732735
Position 383: 0.00031170706794179096
Position 1921: 0.00030150814004631886
Position 139: 0.00014413122321021263
Position 182: 0.0001281878854534918
Position 1413: 0.00010714377468018537
Position 2461: 0.00010428252669957103
Position 11: 0.00010043103895075756
Position 538: 9.735598600164927e-05
Position 576: 8.910315984687814e-05
Position 1559: 8.602193207745243e-05
Position 758: 7.157956356716383e-05
Position 1082: 6.142697016299274e-05
Position 377: 5.921440417094712e-05
Position 654: 5.9181689792774686e-05
Position 660: 5.563342951638358e-05
Position 2296: 5.4568101954187914e-05
Position 1303: 4.353140047878754e-05
Position 656: 4.1504711818105084e-05
Position 1565: 3.466767400141378e-05
Position 252: 3.345286975440542e-05
Position 2697: 2.6678147643434104e-05
Position 463: 2.576724981183853e-05
Position 3441: 2.053605893061925e-05
Position 685: 2.008864557861572e-05
Position 281: 1.8733995596122923e-05
Position 488: 1.7808509059634804e-05
Position 4127: 1.6282267257277006e-05
Position 807: 1.556683844123841e-05
Position 1936: 1.5053025859995897e-05
Position 802: 1.448645198507953e-05
Position 2318: 1.157071049951943e-05
Position 2006: 8.07092071417036e-06
Position 1687: 7.714728395228718e-06
Position 3083: 7.183632231736982e-06
Position 2156: 6.06809846698097e-06
Position 1799: 4.641285692786872e-06
Position 1738: 2.775554769051831e-06
Position 259: 2.206769622105881e-06
Position 231: 2.0755363548525525e-06
Position 1511: 1.2003989656417707e-06
Position 247: 9.15907211055368e-07
Position 25: 8.427445783211762e-07
Position 2048: 6.256623766895334e-07
Position 1495: 4.862783922578776e-07
Position 122: 2.883066361550377e-07
Position 1656: 2.7656236857431576e-07
Position 1609: 2.6850927256114664e-07
Position 2054: 2.465015483932512e-07
Position 101: 1.5726018701567578e-07
Position 1475: 1.0408050819382716e-07
Position 2120: 1.0144607341940334e-07
Position 1658: 6.625927528837659e-08
Position 1477: 3.191557809790146e-08
Position 1689: 2.5882955986805212e-08
Position 1786: 2.53065826427426e-08
Position 1883: 2.014715205935846e-08
Position 143: 1.3632070574775324e-08
Position 154: 6.300792886615326e-09
Position 1808: 4.800858450285031e-09
Position 1613: 3.916003798346374e-09
Position 469: 2.6489259088504204e-09
Position 434: 2.602437903640373e-09
Position 412: 2.4872733402170652e-09
Position 450: 1.8167321109499033e-09
Position 432: 9.568477854532416e-10
Position 1417: 3.80648943339492e-10
Position 305: 3.090226628905206e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1327: 0.9755508225324254
Position 1555: 0.968437601044951
Position 3898: 0.5254778614382893
Position 2913: 0.21014788090322645
Position 1074: 0.19106427759517303
Position 7390: 0.18572694086999553
Position 4451: 0.158961540312946
Position 2725: 0.14254280868043345
Position 3842: 0.13998729508115262
Position 3901: 0.11992242011794327
Position 7374: 0.09990900554783552
Position 1097: 0.09323591971917726
Position 1009: 0.08344510708333654
Position 3533: 0.07062040277048413
Position 2948: 0.052654642212390954
Position 890: 0.046158236481538974
Position 4366: 0.03307503260070002
Position 2413: 0.02919775470809687
Position 913: 0.02560514408740876
Position 6487: 0.02383964388405195
Position 2988: 0.022123347980359784
Position 1903: 0.018967186989005475
Position 3863: 0.018562930515042438
Position 1033: 0.017333013151928183
Position 1609: 0.013666157318704053
Position 3785: 0.011154039313820634
Position 2976: 0.008028713266802533
Position 1116: 0.0077060826337179275
Position 1946: 0.0071728029202286535
Position 1356: 0.007115657964509804
Position 1155: 0.006264966689585394
Position 4156: 0.005940947116320796
Position 3123: 0.005625113312210633
Position 7052: 0.005622987554419289
Position 4456: 0.005234090142922144
Position 3024: 0.005055722524437649
Position 2254: 0.004966613415622944
Position 2931: 0.00490607176495945
Position 1340: 0.004880520844068553
Position 2569: 0.004800512858525482
Position 1987: 0.004702951074639224
Position 4173: 0.004700342143402697
Position 6212: 0.004572765082574143
Position 962: 0.004191653398739569
Position 782: 0.00394236455124147
Position 4208: 0.0038137210943659863
Position 1921: 0.0035823380966998547
Position 2341: 0.003526935773500994
Position 2387: 0.003389930257362499
Position 863: 0.0030982403027496374
Position 595: 0.0028416368385529743
Position 323: 0.0025007494377114873
Position 928: 0.002396540494674047
Position 637: 0.002291654593566124
Position 527: 0.002099273565845091
Position 2728: 0.002083470709731121
Position 446: 0.001865684332907963
Position 943: 0.0015627751111026975
Position 5093: 0.001436967280533039
Position 4476: 0.0014109433467927616
Position 5275: 0.0013875606182910585
Position 288: 0.0013704372818734993
Position 354: 0.0013614887744883473
Position 4840: 0.0012360744568081401
Position 3334: 0.0011109740322302387
Position 4484: 0.0010651119457741748
Position 640: 0.0010482711772046862
Position 4697: 0.0010109994571600104
Position 4103: 0.0009969711169669
Position 3948: 0.0009529861574286083
Position 1819: 0.0008398999347447541
Position 954: 0.0008235657202672609
Position 2128: 0.0007987765619845878
Position 252: 0.0007777450594668612
Position 3921: 0.0007563369607878936
Position 3821: 0.0006338892421766387
Position 1569: 0.0005629141832207504
Position 201: 0.0005604193512047656
Position 198: 0.0005457255284420486
Position 2071: 0.0005370024516170887
Position 1918: 0.0004692415736513021
Position 1159: 0.0004245017421685189
Position 134: 0.00042109282025205093
Position 1399: 0.000354402978798844
Position 178: 0.0003539765293979417
Position 968: 0.0003398782095991304
Position 2258: 0.00033021285444200427
Position 497: 0.0003079697304744528
Position 2191: 0.00030540647607827385
Position 2048: 0.0003044424575153045
Position 2095: 0.0002986638241818049
Position 1195: 0.000265501815698986
Position 3907: 0.0002616083200688979
Position 576: 0.00022948871045944065
Position 904: 0.00020434842566289805
Position 1121: 0.00015973343187264193
Position 1475: 0.00010411857336403038
Position 546: 9.243143873149849e-05
Position 1047: 6.153743720028623e-05
Position 538: 4.7106443475285336e-05
Position 392: 3.990307804291254e-05
