Gene = Hpd
index = 1214
Annotated 5SS: [ 101  345  796 1508]
Annotated 3SS: [ 317  411  853 1571]
SMsplice 5SS: [ 345  796 1508]
SMsplice 3SS: [ 411  853 1571]
top_k =  500
Partition function (log Z): 2.439452951443067

Sorted 5' Splice Sites (High to Low Probability):
Position 796: 0.9975092432894781
Position 1508: 0.9542855737655096
Position 345: 0.9476580322248418
Position 101: 0.1287993182639879
Position 270: 0.05350156154712589
Position 1268: 0.03903117914589249
Position 25: 0.008693218934027257
Position 359: 0.00793334181771444
Position 1033: 0.0075066019641113636
Position 141: 0.003971063397661869
Position 1198: 0.0034199639518295607
Position 133: 0.0032231621706170907
Position 125: 0.001214169733001787
Position 122: 0.0008832786659903329
Position 136: 0.0007549350800525832
Position 155: 0.0005478353308665017
Position 180: 0.0005183169027906803
Position 1066: 0.00042150434019708763
Position 1382: 0.0003695408451639171
Position 349: 0.0003614551005134159
Position 989: 0.00024707033489608054
Position 800: 0.00024078073533482028
Position 892: 0.00020678630971765645
Position 209: 0.00018265445963724103
Position 86: 0.00013631043791375805
Position 772: 0.0001304999674710405
Position 1484: 0.00012343199336672142
Position 92: 0.0001154581871756051
Position 1142: 0.00011220143914564008
Position 1207: 7.641194846116988e-05
Position 58: 3.088494379449945e-05
Position 986: 2.436317937010048e-05
Position 457: 1.946920477624467e-05
Position 1221: 1.4967951703049907e-05
Position 1118: 1.1588371147740183e-05
Position 1393: 1.0286005768482774e-05
Position 679: 7.781511105967276e-06
Position 377: 6.313340674127934e-06
Position 591: 3.177968622961307e-06
Position 656: 2.853117594984017e-06
Position 23: 2.597050382586709e-06
Position 1224: 2.2584205780628534e-06
Position 1183: 1.5176573312914854e-06
Position 1202: 1.4609142995109666e-06
Position 1546: 1.3183438022560619e-06
Position 804: 7.521416042869964e-07
Position 667: 5.685707199347775e-07
Position 1051: 5.050658472491956e-07
Position 1070: 4.939197935253758e-07
Position 1318: 4.80838753465484e-07
Position 658: 1.8464756925902334e-07
Position 1297: 1.7079348087726756e-07
Position 733: 1.0661733461792741e-07
Position 1022: 3.216098017644618e-08
Position 938: 2.5984890516518017e-08
Position 925: 2.126272936616847e-08
Position 730: 7.39193133915697e-09
Position 853: 1.5915809423666939e-09
Position 565: 6.474242629221991e-10
Position 878: 2.7281547197444593e-10
Position 719: 2.678876040623374e-10
Position 583: 7.205166840145506e-13
Position 712: 5.317891420620904e-13
Position 595: 4.0558734924599046e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 853: 0.9839815034923259
Position 411: 0.9692406999348004
Position 1571: 0.9609287457135766
Position 317: 0.1351035795374518
Position 1336: 0.03453067346409076
Position 246: 0.02342338949235338
Position 191: 0.017555789690795215
Position 1342: 0.009148482220147075
Position 922: 0.00668422676962772
Position 178: 0.0037789317808758845
Position 525: 0.0024221618493110355
Position 1084: 0.0023257539294919043
Position 155: 0.0020337560806195296
Position 147: 0.0019421183840121889
Position 1438: 0.001284429862457407
Position 269: 0.001225809344180883
Position 1339: 0.0008348775830735236
Position 1327: 0.0006958653026416552
Position 220: 0.0006647631318917398
Position 1051: 0.0005574815366746826
Position 967: 0.0004733571346701546
Position 1012: 0.00044399279138631394
Position 1000: 0.0003921647436795161
Position 1189: 0.0003863912792087957
Position 322: 0.00028455632536410577
Position 256: 0.0002781957229169577
Position 1363: 0.00026888986198714867
Position 1264: 0.00020853461059897632
Position 474: 0.0001860998741800714
Position 573: 0.00017954712683389718
Position 1393: 0.00011677270561959613
Position 935: 0.00011113956923179425
Position 1282: 9.634327049940765e-05
Position 1353: 8.994132110298152e-05
Position 336: 5.2454387788128936e-05
Position 92: 5.1426177714709477e-05
Position 579: 3.629152963255544e-05
Position 1138: 2.8906769194254864e-05
Position 345: 2.7084233924199828e-05
Position 1459: 2.5111440248826663e-05
Position 1595: 2.4376679407998734e-05
Position 902: 2.3169410377915892e-05
Position 1183: 2.142394203885591e-05
Position 471: 1.9266513636027253e-05
Position 730: 1.552254661419278e-05
Position 434: 1.467447503133729e-05
Position 1180: 1.3653890673139634e-05
Position 1450: 1.3073873786681218e-05
Position 1464: 1.241233196207573e-05
Position 829: 1.2393318680111938e-05
Position 418: 1.0310914854598249e-05
Position 1540: 9.1166151577717e-06
Position 1484: 4.194397925762768e-06
Position 1166: 3.798726158230842e-06
Position 532: 3.7768181415861003e-06
Position 180: 3.7482008180429032e-06
Position 1195: 3.6566708894325245e-06
Position 684: 2.6849602589736607e-06
Position 558: 1.4874727508568126e-06
Position 663: 1.160156591771579e-06
Position 1626: 1.1393946093829587e-06
Position 357: 8.919742865730662e-07
Position 750: 8.535198365728723e-07
Position 1546: 6.067369866663252e-07
Position 1631: 5.508773595141525e-07
Position 375: 2.6920444736637826e-07
Position 1135: 1.5948736764608882e-07
Position 792: 1.4913855485820763e-07
Position 670: 1.40282087486599e-07
Position 349: 1.3189088070196158e-07
Position 482: 3.996967382148071e-08
Position 1018: 9.498278612456547e-09
Position 109: 4.3141451641729024e-09
Position 67: 2.822618280235813e-09
Position 86: 1.1235433831397993e-09
Position 69: 3.154300979786575e-10
