Gene = pigeon
index = 1836
Annotated 5SS: [ 150  613  978 2200 2489 2763 3058]
Annotated 3SS: [ 207  675 1035 2255 2547 2832 3402]
SMsplice 5SS: [ 150  613  978 2200 2489 2763 3058 3286]
SMsplice 3SS: [ 207  675 1035 2255 2547 2832 3138 3402]
top_k =  500
Partition function (log Z): 22.290817038023263

Sorted 5' Splice Sites (High to Low Probability):
Position 613: 0.9898088786082404
Position 2489: 0.9891243803559566
Position 978: 0.9784070900666344
Position 2200: 0.9705986438017017
Position 2763: 0.9544314190335536
Position 3286: 0.93269034855105
Position 150: 0.9272459590416983
Position 3058: 0.8614843449494092
Position 1840: 0.11480234663886853
Position 468: 0.06483038507229355
Position 2767: 0.028316199512752348
Position 3073: 0.022053258274262147
Position 982: 0.01989611350249829
Position 2704: 0.009034966217911772
Position 1825: 0.008959071831933766
Position 1844: 0.002621420697992968
Position 1996: 0.0025003876830864027
Position 373: 0.001955610103881273
Position 2735: 0.0016130913166939184
Position 975: 0.001398878940457135
Position 1393: 0.0013557374930138995
Position 2741: 0.0013024533899361655
Position 2493: 0.0011024041007069113
Position 617: 0.0009248130206904458
Position 3557: 0.000888541663530469
Position 2430: 0.0006869831866812879
Position 3260: 0.0006170504501489005
Position 1426: 0.000589211954550627
Position 3027: 0.0005454513506518064
Position 1482: 0.0005320436387737942
Position 2223: 0.0005194054016747651
Position 3641: 0.0004879801602372569
Position 624: 0.00048272367565030985
Position 3550: 0.0004620889138235742
Position 1530: 0.0004046599857728953
Position 2643: 0.00036144693805794786
Position 3805: 0.00034983585536524657
Position 2497: 0.00029666935913330567
Position 1246: 0.0002704507478184457
Position 154: 0.00020769346286290014
Position 2384: 0.0001848518424287598
Position 3569: 0.00017906510457095797
Position 812: 0.00017688405952977736
Position 3589: 0.00017634654416204815
Position 3305: 0.00016321705497185588
Position 3647: 0.00015996575490993288
Position 2197: 0.00015381972614637168
Position 2512: 0.00014505998284913659
Position 3337: 0.0001439457587691113
Position 1292: 0.0001301682384109404
Position 2483: 0.00012902535363671123
Position 2756: 0.00011494197694040009
Position 2909: 0.00011101871979775139
Position 2997: 0.00010445532761311699
Position 594: 0.00010239887055346993
Position 278: 0.00010160251250140691
Position 2476: 0.00010041001036650272
Position 1690: 9.350179524408151e-05
Position 2096: 8.276163159905504e-05
Position 1574: 7.94745166957963e-05
Position 2983: 7.523701864404453e-05
