Gene = kin17
index = 1739
Annotated 5SS: [1062]
Annotated 3SS: [1133]
SMsplice 5SS: [1062]
SMsplice 3SS: [1133]
top_k =  500
Partition function (log Z): -5.015483911555619

Sorted 5' Splice Sites (High to Low Probability):
Position 1062: 0.9926083718374674
Position 105: 0.01003634564758257
Position 21: 0.008115842041274163
Position 925: 0.003778469934351682
Position 500: 0.002502481347438095
Position 471: 0.0024420317564846886
Position 167: 0.0009243649174655549
Position 1395: 0.000766094562566239
Position 1053: 0.0005835994908399049
Position 1362: 0.0002816193270445795
Position 109: 0.0002533975316529045
Position 996: 0.00022962219648231123
Position 179: 0.00014995165095974517
Position 444: 0.00013371959877795425
Position 1365: 0.0001252829704230173
Position 845: 0.0001229559470660141
Position 668: 9.68279846486656e-05
Position 1287: 8.76843786844622e-05
Position 1245: 7.614229831441738e-05
Position 731: 7.064647330373994e-05
Position 215: 6.857750475838081e-05
Position 380: 6.0275954559096136e-05
Position 930: 5.976329282890155e-05
Position 338: 5.553579842464868e-05
Position 933: 4.8641009257435236e-05
Position 1349: 4.7600426941460116e-05
Position 1267: 4.4805379380103594e-05
Position 148: 4.152471219250964e-05
Position 434: 2.299633338872868e-05
Position 449: 1.7647721109292473e-05
Position 965: 1.4959155489896827e-05
Position 1296: 1.4564086174591e-05
Position 1025: 1.3630460270684935e-05
Position 233: 9.681167242781369e-06
Position 60: 8.97348785546085e-06
Position 747: 8.511355871965243e-06
Position 248: 8.50310045412321e-06
Position 8: 7.893926733080883e-06
Position 801: 7.057032030194104e-06
Position 1107: 5.213262587362881e-06
Position 984: 5.124048667150298e-06
Position 119: 2.455433136522968e-06
Position 1399: 1.8086730971481165e-06
Position 191: 1.6987638478568272e-06
Position 849: 1.6970099231190485e-06
Position 892: 1.52743696225016e-06
Position 1251: 8.831926296410624e-07
Position 39: 4.692542809446127e-07
Position 1149: 4.498033580894017e-07
Position 94: 3.490899085951696e-07
Position 1182: 2.8983765781345786e-07
Position 323: 2.7729244133865836e-07
Position 1179: 2.5336381730791714e-07
Position 302: 2.49216346075042e-07
Position 45: 2.1262309086855663e-07
Position 803: 7.167144930800732e-11
Position 523: 6.0474963226291656e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1133: 0.9984717214511163
Position 81: 0.007165952975313407
Position 155: 0.003492984341463696
Position 523: 0.0026658606698426847
Position 981: 0.0019997282685789747
Position 158: 0.001846058124932658
Position 835: 0.0011058103824222439
Position 289: 0.0008748445464127854
Position 768: 0.0008313711216011324
Position 1443: 0.0007075938684720515
Position 1106: 0.0006774071337909544
Position 1006: 0.0006249571207970888
Position 789: 0.0006230540716606619
Position 1427: 0.0005944133843678127
Position 1145: 0.0004324452878271501
Position 528: 0.00029792510537808337
Position 1169: 0.0002483279810336848
Position 295: 0.00010892059229675553
Position 551: 8.971416457724655e-05
Position 731: 8.917322735204518e-05
Position 176: 8.474118175569664e-05
Position 617: 8.366765442241381e-05
Position 1492: 8.310296817351432e-05
Position 614: 8.26552807322805e-05
Position 800: 6.73098246042615e-05
Position 809: 6.614072724859597e-05
Position 449: 6.591701666771368e-05
Position 563: 6.164467536858122e-05
Position 1362: 4.84428507449397e-05
Position 134: 4.4555518576527446e-05
Position 545: 3.673523257324373e-05
Position 569: 3.2582221316980456e-05
Position 753: 3.16950074712427e-05
Position 1013: 2.4059783019953118e-05
Position 1399: 2.352428957369081e-05
Position 398: 2.268381931282054e-05
Position 965: 2.1998916503093604e-05
Position 1025: 1.5912320033785727e-05
Position 795: 1.573249452334139e-05
Position 773: 1.1568705804637697e-05
Position 108: 1.061538080225513e-05
Position 707: 9.21392800525372e-06
Position 215: 9.155114952998319e-06
Position 530: 8.338287630445883e-06
Position 146: 8.312118633929116e-06
Position 242: 7.972638280717647e-06
Position 566: 7.337904205595958e-06
Position 380: 7.327871934737009e-06
Position 1349: 4.803792474792015e-06
Position 395: 4.0616501465367e-06
Position 188: 3.888154950709714e-06
Position 1308: 3.3416662829945924e-06
Position 638: 2.222164588281245e-06
Position 737: 2.216036964320782e-06
Position 1423: 1.930190881788725e-06
Position 358: 1.8293815746188002e-06
Position 191: 1.349218998166969e-06
Position 1334: 1.0966090989905008e-06
Position 1290: 8.802914855664759e-07
Position 1278: 4.039955761761843e-07
Position 1237: 1.9521349744949465e-07
Position 1282: 1.1029562258069809e-07
Position 350: 4.320682068249084e-09
Position 368: 3.161908222348215e-09
Position 377: 2.8599596076188715e-09
Position 300: 2.2059129917159677e-09
Position 119: 1.816911149282709e-09
Position 248: 1.5885463257509112e-09
Position 104: 8.553936662155737e-12
Position 185: 4.991651674428708e-13
Position 50: 3.4614013191330034e-14
