Gene = ninaC
index = 1818
Annotated 5SS: [ 164  987 1946 2942 3303 3634 3988 4204 4357 4474 5244 5725 6054]
Annotated 3SS: [ 682 1081 2003 3009 3361 3700 4053 4258 4419 5055 5308 5776 6104]
SMsplice 5SS: [ 164  987 1946 2942 3303 3634 3988 4204 4357 4596 5244 5725 6054]
SMsplice 3SS: [ 228 1081 2003 3144 3361 3700 4053 4258 4419 5055 5308 5776 6104]
top_k =  500
Partition function (log Z): 52.964703597422265

Sorted 5' Splice Sites (High to Low Probability):
Position 5244: 0.9999118010512087
Position 1946: 0.9997307218984954
Position 987: 0.9974310633401765
Position 4204: 0.9963361603889265
Position 3634: 0.9949182428685963
Position 4357: 0.9914329902284477
Position 5725: 0.9913549055059896
Position 6054: 0.9843626911082299
Position 164: 0.9019333047465581
Position 2942: 0.8850161965017684
Position 3988: 0.8783549170255873
Position 4596: 0.7619687302177954
Position 3303: 0.7450324812677559
Position 1206: 0.33789856012170993
Position 4960: 0.14273547522526403
Position 2268: 0.115145045151425
Position 3992: 0.1107280991222934
Position 2570: 0.10724826513003738
Position 59: 0.04286401642450343
Position 4474: 0.013192863269556739
Position 2250: 0.012973559704922881
Position 4694: 0.010744610838853365
Position 2946: 0.010236672380285515
Position 6060: 0.009777483156745276
Position 466: 0.009098161272370384
Position 297: 0.008752656844733352
Position 335: 0.0076386825131892514
Position 1249: 0.006686289752052736
Position 456: 0.004956855993642913
Position 3638: 0.004844731180200177
Position 6310: 0.004567345904879567
Position 5745: 0.0037083137553973484
Position 3072: 0.0034443647935550026
Position 6049: 0.002986234066948002
Position 786: 0.0028279963579421565
Position 352: 0.002574579999198769
Position 974: 0.002279423437947039
Position 2246: 0.0021958617700393772
Position 4505: 0.0019270960143301272
Position 4166: 0.0019069620225565876
Position 5479: 0.0017733268540307489
Position 79: 0.0016533656995692504
Position 337: 0.0016278114805898772
Position 4332: 0.0015225788926712205
Position 4488: 0.0014741697090834055
Position 2631: 0.001441610524060083
Position 1403: 0.0013062844996467756
Position 4389: 0.0012956271053158502
Position 6266: 0.0011341794855493418
Position 6501: 0.0009785815997821721
Position 2693: 0.0008301917574211555
Position 4865: 0.0008148693864870049
Position 4347: 0.0007566359728665419
Position 101: 0.0007470445224159643
Position 5486: 0.0006652743125690893
Position 185: 0.0006539485975431251
Position 6491: 0.0005757126457684097
Position 2579: 0.0005667678935301222
Position 4716: 0.0005601351132328022
Position 202: 0.0005457526066265601
Position 245: 0.00047703035079089994
Position 6259: 0.0004594750429411052
Position 2640: 0.00039019547723494484
Position 1301: 0.00038700111200659675
Position 3132: 0.0003826784483923588
Position 4927: 0.00035290522520863905
Position 5393: 0.0003228912408634538
Position 6015: 0.0003071086088085886
Position 83: 0.0003015218400093557
Position 2534: 0.00030053648271878786
Position 2188: 0.00028989170761101847
Position 400: 0.0002422017586925111
Position 183: 0.00023881243292700688
Position 4825: 0.00023491987540310216
Position 1465: 0.00023420392821607125
Position 2335: 0.00023256401264627014
Position 2462: 0.00022687796852420452
Position 1185: 0.00017785216607443891
Position 314: 0.00017144616322445076
Position 2200: 0.0001679209570222469
Position 140: 0.00016614532628462305
Position 4793: 0.00014858619721909425
Position 6372: 0.000146056371613986
Position 3627: 0.00013628370464286748
Position 1709: 0.00011857276841616505
Position 502: 0.0001168410834683368
Position 1137: 0.00011401690377120909
Position 1765: 0.00010849654094711012
Position 2762: 0.00010716990991167424
Position 4747: 0.00010111505324974798
Position 2354: 8.707614226311977e-05
Position 1004: 8.684677108523997e-05
Position 5756: 7.768504403506373e-05
Position 197: 7.68394646546118e-05
Position 2886: 7.11657230422194e-05
Position 4920: 6.962548153048547e-05
Position 2562: 6.156008716660782e-05
Position 2939: 5.360041597313534e-05
Position 1876: 5.2626260482251925e-05
Position 1622: 5.2366884181122794e-05
Position 553: 4.891858914373149e-05
Position 6522: 4.585800397362677e-05
Position 2963: 4.457963529479943e-05
Position 6058: 3.9784390714587654e-05
Position 1214: 3.906229977965053e-05
Position 1613: 3.903233383954169e-05
Position 5859: 3.46329779755276e-05
Position 74: 3.2443302512446856e-05
Position 1112: 3.1929750148690126e-05
Position 3833: 3.172060357082987e-05
Position 1444: 3.147897995373318e-05
Position 4784: 2.9972697854209973e-05
Position 1823: 2.9508155973453367e-05
Position 3976: 2.6739967114135726e-05
Position 555: 2.659670021322831e-05
Position 4781: 2.6046033020445496e-05
