Gene = Culd
index = 1112
Annotated 5SS: [ 292  685 1153 2055 2818]
Annotated 3SS: [ 353  747 1685 2112 2883]
SMsplice 5SS: [ 292 1153 1519 2055 2818]
SMsplice 3SS: [ 353 1348 1685 2112 2883]
top_k =  500
Partition function (log Z): 5.5135773941714685

Sorted 5' Splice Sites (High to Low Probability):
Position 2055: 0.993441704214134
Position 292: 0.9818229853712378
Position 1153: 0.9731138750482914
Position 2818: 0.9378716186674295
Position 1519: 0.6589064240949627
Position 2998: 0.45975364369558314
Position 685: 0.4046302808759042
Position 909: 0.3184351862055
Position 2544: 0.13773264291935966
Position 1615: 0.12570932333609933
Position 1000: 0.06894034454515542
Position 705: 0.040681369458164265
Position 2264: 0.027315713494220715
Position 1591: 0.019933291607212453
Position 594: 0.013556031938240887
Position 3197: 0.009199239455860672
Position 868: 0.00799411751008685
Position 437: 0.00685454097745367
Position 1550: 0.006517443524309464
Position 1265: 0.004871305493534259
Position 1495: 0.004782294852356034
Position 1216: 0.0032594369329717885
Position 3213: 0.00254758294097163
Position 1430: 0.002408945194743178
Position 1255: 0.0021014345816786524
Position 1514: 0.0020942996500398275
Position 1555: 0.0020673772972533287
Position 481: 0.0019489592973397636
Position 1026: 0.0019332535225646947
Position 1504: 0.0017088219273692553
Position 1098: 0.0012019249495009347
Position 2406: 0.0011642208619942486
Position 3002: 0.0009443082748565364
Position 3822: 0.0005564876501251395
Position 1509: 0.0005462026615716992
Position 1558: 0.0005276376695236161
Position 2822: 0.0005259181621540156
Position 271: 0.00048121595172337026
Position 256: 0.0003872398851101341
Position 1157: 0.0002660583474567357
Position 822: 0.0002553102087232684
Position 762: 0.00024310026626211544
Position 2385: 0.00022941141662962205
Position 1433: 0.00019875115098837555
Position 2455: 0.00018589651956904446
Position 2425: 0.00017604999236992168
Position 298: 0.000157878488708526
Position 2059: 0.0001451296893940861
Position 709: 0.00014392904543658553
Position 701: 0.0001328160095524127
Position 1442: 0.00012361039764962852
Position 2000: 0.00010599165357496448
Position 836: 0.00010400003828565176
Position 401: 9.493100244235123e-05
Position 802: 9.231709304113735e-05
Position 2815: 9.067179546394596e-05
Position 1437: 8.342698555031871e-05
Position 3833: 8.26531786514437e-05
Position 296: 8.202118350412015e-05
Position 1572: 7.953167097225094e-05
Position 3809: 6.161380657487804e-05
Position 1080: 5.815573490079463e-05
Position 789: 5.498708437617831e-05
Position 575: 5.127720636873943e-05
Position 503: 4.9413103987934274e-05
Position 2393: 4.669993075652481e-05
