Gene = FucTA
index = 1171
Annotated 5SS: [ 266 3865 5048 5417]
Annotated 3SS: [3674 4330 5232 5482]
SMsplice 5SS: [ 266 3865 5048 5417 5690 6199]
SMsplice 3SS: [3674 4330 5232 5482 6114 6343]
top_k =  500
Partition function (log Z): 9.260988258557855

Sorted 5' Splice Sites (High to Low Probability):
Position 5048: 0.9968767183404172
Position 5417: 0.994939884705943
Position 5690: 0.7556596846767732
Position 266: 0.7484458563459376
Position 3865: 0.6637749991299596
Position 6199: 0.6513543468558142
Position 677: 0.358204451221933
Position 1542: 0.17873267371504734
Position 5820: 0.099942289390548
Position 1963: 0.07405366332867519
Position 6634: 0.05060708174247555
Position 3574: 0.03974318850108089
Position 6080: 0.02886506604405606
Position 6774: 0.024652243873540133
Position 1550: 0.022340504361495327
Position 70: 0.01902774918627501
Position 3922: 0.01718950062842166
Position 6014: 0.01573405469632063
Position 6226: 0.014736230417631084
Position 6404: 0.013332250865642232
Position 1270: 0.013098680993208016
Position 6397: 0.009456467114081676
Position 595: 0.008197811774278859
Position 1949: 0.007553332029747439
Position 4125: 0.007228727848139332
Position 6052: 0.00642578973735193
Position 555: 0.006318745645616544
Position 6050: 0.004150272099393663
Position 1477: 0.0037308301255213946
Position 5386: 0.003669015143749761
Position 727: 0.0030865005290932547
Position 6786: 0.002729653862489888
Position 462: 0.0022816639664361505
Position 530: 0.001988858502720845
Position 6233: 0.0019368920557791794
Position 880: 0.0019197779406854186
Position 6035: 0.0012730083702242533
Position 5013: 0.0012726798228926437
Position 5347: 0.0011229334731680419
Position 1073: 0.001008491871828632
Position 414: 0.0009920709716124117
Position 82: 0.0009882635271124178
Position 521: 0.0008944228834407977
Position 2508: 0.0008929658974415339
Position 692: 0.0008641289932787348
Position 1975: 0.0008355857546146737
Position 841: 0.000827411415308021
Position 1185: 0.0008273095972138976
Position 4721: 0.0007336770808599428
Position 3869: 0.0006811055942487327
Position 2129: 0.0006471415300158488
Position 3808: 0.0006179956521790734
Position 1233: 0.0005073408108927265
Position 466: 0.0004994385180015436
Position 5899: 0.00048501287032495745
Position 6008: 0.0004361179070492571
Position 2027: 0.00025053563711198163
Position 848: 0.00024519424412923566
Position 76: 0.00019399590319086008
Position 1968: 0.00018082366238048305
Position 505: 0.0001695396844091889
Position 2368: 0.00016531849842134152
Position 439: 0.0001536363519158289
Position 5052: 0.00013974335804403537
Position 447: 0.00012570639590040638
Position 1716: 0.00011729496080358266
Position 5581: 0.00011700171718830626
Position 80: 9.621213111256339e-05
Position 4987: 8.157645204610846e-05
Position 5627: 6.7223941347922e-05
Position 5379: 6.452904158709083e-05
Position 39: 5.631396892920533e-05
Position 4795: 5.5701565862547575e-05
Position 507: 4.419593161098142e-05
Position 270: 3.3493776913717326e-05
Position 502: 3.072137933939069e-05
Position 5852: 3.0310541901354965e-05
Position 5788: 2.5030707106573702e-05
Position 706: 2.1983323399057973e-05
Position 5755: 1.8980844602347717e-05
Position 264: 1.836982745667544e-05
Position 4806: 1.818228096515344e-05
Position 186: 1.6873096487734824e-05
Position 5836: 1.653228164863393e-05
Position 478: 1.538452508630901e-05
Position 13: 1.4961000540931491e-05
Position 6203: 1.3062675194761654e-05
Position 4589: 1.263147171158742e-05
Position 4607: 1.0775855536018232e-05
Position 74: 1.0507331003637017e-05
Position 470: 1.0303352447456509e-05
Position 285: 9.1176804798715e-06
Position 5797: 8.20785732964933e-06
Position 6578: 7.82588225440163e-06
Position 5288: 6.577756437103862e-06
Position 5569: 5.767178460829876e-06
Position 5441: 5.484520035396965e-06
Position 6111: 5.27328677766352e-06
Position 4973: 5.216438497923707e-06
Position 475: 2.925805573510265e-06
Position 5539: 2.736478306055087e-06
Position 5339: 1.982704144534663e-06
Position 5361: 1.956167595124683e-06
Position 5353: 1.3404876365944381e-06
Position 6115: 1.2641319537440016e-06
Position 18: 1.1725201083468493e-06
Position 146: 8.397015619340914e-07
Position 2338: 1.3046335470107123e-07
Position 5351: 1.0072020626594396e-07
Position 715: 2.8124048236603602e-08
Position 157: 2.6242050832108168e-08
Position 5620: 2.1693158826764867e-08
Position 5272: 1.8320538540163244e-08
Position 5694: 1.4864113648236189e-08
Position 5720: 1.21904886085166e-08
Position 297: 9.950878851206644e-09
Position 228: 8.810729151679343e-09
Position 4: 4.49327678180903e-09
Position 5648: 3.690011293170414e-09
Position 5660: 3.5816989926990816e-09
Position 5515: 3.1364729596173996e-09
Position 480: 3.0028112793696125e-09
Position 5728: 2.4169335394523182e-09
Position 159: 1.3165452373878344e-09
Position 5483: 4.3636394033695826e-13
Position 5444: 3.9720267190166147e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 5482: 0.9993710221887403
Position 5232: 0.9792825224990588
Position 4330: 0.9513729313542051
Position 6114: 0.6527784392434413
Position 3674: 0.5425139859846617
Position 6343: 0.3879780998040698
Position 6454: 0.21788464719821246
Position 1320: 0.10708893742694212
Position 1759: 0.08371038279103339
Position 6314: 0.08094764267501163
Position 3737: 0.07098334011414581
Position 5744: 0.06797715909369773
Position 6697: 0.06617632483179033
Position 1171: 0.06457051170422709
Position 6458: 0.04943063562939872
Position 3389: 0.04294960716696081
Position 6858: 0.041210583371349
Position 5806: 0.0362804311770323
Position 341: 0.029280697336928223
Position 6304: 0.02829173125920039
Position 458: 0.026985320118517227
Position 583: 0.026825455777341276
Position 6877: 0.02519044842309652
Position 4373: 0.022183693013335646
Position 642: 0.020268645205724904
Position 398: 0.019636403129566708
Position 5190: 0.01884068694101739
Position 1709: 0.017385925187401317
Position 3916: 0.015665033025701762
Position 586: 0.015455946499054313
Position 366: 0.011558381833042381
Position 322: 0.010863919051991902
Position 3496: 0.010317247172386515
Position 2591: 0.008887221566433448
Position 6839: 0.008799427338812551
Position 2550: 0.00851132573950303
Position 1119: 0.008099515293327418
Position 4276: 0.007573328798426344
Position 1227: 0.00717089521595506
Position 980: 0.006865574998760875
Position 6080: 0.006441955216153007
