Gene = Kaz1-ORFB
index = 1242
Annotated 5SS: [818]
Annotated 3SS: [865]
SMsplice 5SS: [532]
SMsplice 3SS: [594]
top_k =  500
Partition function (log Z): -7.770972492718094

Sorted 5' Splice Sites (High to Low Probability):
Position 532: 0.2615579447928684
Position 257: 0.24509733865509545
Position 536: 0.2358878084369361
Position 540: 0.1325835483024674
Position 818: 0.12542442422778946
Position 485: 0.0957605044436364
Position 205: 0.05670203951170502
Position 1151: 0.037794535931384474
Position 442: 0.02119988579585552
Position 498: 0.014385760661268359
Position 370: 0.006236647431741715
Position 760: 0.0033493699192826444
Position 82: 0.002974182739992675
Position 701: 0.0016346254524896749
Position 252: 0.0012271502534906354
Position 246: 0.0010047704698806581
Position 1198: 0.0006795832149197699
Position 261: 0.00043138257503875274
Position 1301: 0.00039174412198699236
Position 194: 0.0002831729366504647
Position 824: 0.00023437952073254232
Position 516: 0.00020598279793906786
Position 326: 0.00018203797650985198
Position 1297: 0.00014091880802554737
Position 415: 0.0001338419281315766
Position 329: 0.0001310352996226675
Position 400: 0.0001279211134768509
Position 1241: 0.00012397664661585955
Position 544: 0.00011729926986271391
Position 321: 6.85367092612268e-05
Position 489: 6.378338071655605e-05
Position 378: 3.1010909037840116e-05
Position 16: 2.993412224348899e-05
Position 30: 2.692067536972713e-05
Position 33: 1.2826562700223536e-05
Position 177: 8.968443900510375e-06
Position 197: 8.560655174824659e-06
Position 602: 4.294738993956932e-06
Position 284: 3.7436977743897385e-06
Position 345: 3.63892970935354e-06
Position 86: 3.5259451015506045e-06
Position 753: 2.496786621204948e-06
Position 135: 1.7116403133158136e-06
Position 469: 1.4442000100535637e-06
Position 827: 1.3407725722899758e-06
Position 300: 9.636375435653126e-07
Position 446: 6.35297377343625e-07
Position 187: 3.996753421890581e-07
Position 673: 3.9929177401982195e-07
Position 649: 3.128345530178025e-07
Position 564: 2.729633938234643e-07
Position 692: 1.2313541435075787e-07
Position 1155: 5.6326333509434163e-08
Position 24: 4.075207500231941e-09
Position 587: 3.4198150929405754e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 594: 0.9054937761511882
Position 871: 0.14817377568027787
Position 442: 0.07582402010910386
Position 649: 0.021497212186984704
Position 1229: 0.021223464652899364
Position 704: 0.019859291120467144
Position 1399: 0.009767133501041742
Position 284: 0.00814603950588327
Position 1287: 0.006591754201730824
Position 291: 0.0031485484150094102
Position 903: 0.0027545426246027662
Position 412: 0.0025481171847593345
Position 915: 0.0021700701135115024
Position 135: 0.002142775870273781
Position 865: 0.0018104201184467033
Position 723: 0.00179397948544001
Position 497: 0.0015680837266132083
Position 420: 0.001304082698937636
Position 1261: 0.001155947449288993
Position 527: 0.0009223450682726738
Position 1067: 0.0008770068003356541
Position 1267: 0.000827911546268513
Position 750: 0.0008186722875211798
Position 1305: 0.0007072277664939647
Position 821: 0.0006422490327909598
Position 446: 0.000592374342669195
Position 140: 0.000532919120866015
Position 858: 0.0004455163205753768
Position 1023: 0.00041445824998824363
Position 1091: 0.00030113775041823513
Position 662: 0.00026221310582904243
Position 1179: 0.00026208069234519174
Position 1240: 0.0002310541870105332
Position 489: 0.0002247971335054434
Position 257: 0.00017062792969781468
Position 989: 0.00016861502868940057
Position 763: 0.00015991020459515533
Position 424: 0.00015136163074436226
Position 1272: 0.0001298062061794639
Position 753: 0.00010631067731271448
Position 681: 0.0001009862983553916
Position 1354: 9.466953018779967e-05
Position 378: 3.580286124938681e-05
Position 246: 2.4871269558678902e-05
Position 261: 1.903891591879632e-05
Position 125: 1.853056986469702e-05
Position 86: 1.4990837085634086e-05
Position 673: 1.2087116647275357e-05
Position 68: 1.0240942144999896e-05
Position 458: 7.02592974329132e-06
Position 102: 6.595388493576699e-06
Position 370: 5.693463046293845e-06
Position 197: 5.493457163668232e-06
Position 923: 1.177609699573544e-06
Position 1122: 5.780386431570374e-07
Position 177: 2.907969551274229e-07
Position 224: 1.585928742796132e-08
Position 194: 2.2120292782441616e-10
Position 209: 1.5041601912769728e-19
