Gene = lt
index = 1760
Annotated 5SS: [  131   313   536   704  1125  2971 14048 14511 14746 15040 15219]
Annotated 3SS: [  186   364   585   770  2642 13978 14108 14558 14799 15091 15277]
SMsplice 5SS: [  536   704  1125  2971 17656]
SMsplice 3SS: [  585   770  2642 17543 17713]
top_k =  500
Partition function (log Z): -6.393057167325253

Sorted 5' Splice Sites (High to Low Probability):
Position 2971: 0.9998849855044116
Position 704: 0.9923933330315067
Position 536: 0.9844629060627917
Position 1125: 0.7485779247745569
Position 1625: 0.12938048957050408
Position 313: 0.1047001633336147
Position 1310: 0.040360651135281866
Position 2493: 0.03626562686441329
Position 131: 0.029008439525982824
Position 1325: 0.02704798064291256
Position 1129: 0.025713189339206716
Position 29: 0.019370904970153268
Position 1669: 0.014261352592441724
Position 2473: 0.012387493374265278
Position 952: 0.008675020496089786
Position 1163: 0.0057232566929999095
Position 315: 0.005342475997439914
Position 23: 0.005271442432553299
Position 959: 0.004324788589178845
Position 700: 0.004010484770580214
Position 1832: 0.003725909835605697
Position 1153: 0.0033237010011685523
Position 1300: 0.003210608298137649
Position 2406: 0.003034002036118264
Position 2267: 0.0030310933050578556
Position 2669: 0.002967227016974446
Position 708: 0.002737669755710159
Position 505: 0.0023883839251944037
Position 1949: 0.002289583599866776
Position 293: 0.0022449119957929343
Position 1494: 0.0021098880400394005
Position 2163: 0.0019081582847525224
Position 301: 0.001777277557062042
Position 126: 0.0016885816059793858
Position 1002: 0.0014640175239361407
Position 1134: 0.001294690568792498
Position 1398: 0.0012664442657828634
Position 1636: 0.0011531594056002374
Position 1891: 0.0011140401763314373
Position 353: 0.0009683182041585189
Position 2246: 0.0009364576882347156
Position 1574: 0.0008682139255024606
Position 1037: 0.0005964768894951878
Position 6052: 0.0005890762722540216
Position 6319: 0.0005478766100456175
Position 697: 0.0003110919576720143
Position 237: 0.00021456731445509557
Position 339: 0.00020054516859807658
Position 540: 0.00010456665994920381
Position 129: 9.946855283722564e-05
Position 473: 7.114183805627958e-05
Position 3790: 6.609798056629681e-05
Position 488: 5.9524943401524504e-05
Position 5148: 4.8187352554494446e-05
Position 112: 3.928024608778118e-05
Position 7: 3.591312105583983e-05
Position 90: 3.3055449904369105e-05
Position 58: 3.189766480803274e-05
Position 3774: 2.743407524488355e-05
Position 66: 1.3353790572778304e-05
Position 1058: 1.2682280637114714e-05
Position 140: 1.2597831851559139e-05
Position 220: 1.0620929660636943e-05
Position 586: 8.601866276373513e-06
Position 1115: 8.313725597483737e-06
Position 3820: 7.501506917443956e-06
Position 162: 7.269241784037264e-06
Position 652: 7.182522781337432e-06
Position 245: 6.800813419541751e-06
Position 905: 4.5730137321614186e-06
Position 364: 3.7648726908565705e-06
Position 1243: 3.6919251141740907e-06
Position 3293: 3.4206549946815788e-06
Position 3109: 3.1115288811474475e-06
Position 2918: 2.6565310643978394e-06
Position 3278: 2.4933345431597987e-06
Position 395: 2.264971408645516e-06
Position 69: 1.8084917458310043e-06
Position 283: 1.667118506120006e-06
Position 3749: 1.6626151511462692e-06
Position 726: 1.3989970658426914e-06
Position 467: 1.1948391658519532e-06
Position 655: 1.1684073869062181e-06
Position 399: 9.399777706074789e-07
Position 56: 8.817789468367305e-07
Position 176: 8.687061134491893e-07
Position 911: 6.271610404238698e-07
Position 790: 5.532503214144219e-07
Position 894: 5.144676556800621e-07
Position 393: 4.792613598969083e-07
Position 1006: 4.092344312288681e-07
Position 3669: 2.6713781419877355e-07
Position 1193: 2.494111417567528e-07
Position 3049: 2.452022947067115e-07
Position 3054: 2.4122573664637803e-07
Position 851: 2.106824503849936e-07
Position 849: 7.48372565341732e-08
Position 2956: 5.833844748066848e-08
Position 2915: 3.0541768801011154e-08
Position 856: 2.934381156831196e-08
Position 425: 2.736906725534141e-08
Position 603: 5.010801816865164e-10
Position 832: 1.221101988851807e-10
Position 453: 8.743106716132434e-17
Position 1052: 1.874665936819509e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 770: 0.9993257974748181
Position 2642: 0.9543002310068628
Position 585: 0.9161678346603463
Position 15091: 0.47868688523448716
Position 15892: 0.3661095490639847
Position 364: 0.10503392453032566
Position 14904: 0.09973063290174862
Position 608: 0.07030333972302871
Position 186: 0.047629531147251394
Position 1227: 0.036775693483650736
Position 12956: 0.031375581107966184
Position 2375: 0.030322362110507855
Position 2160: 0.020034608387655237
Position 12464: 0.018097455964641677
Position 1465: 0.008314853154061249
Position 2747: 0.006816004119410409
Position 81: 0.005499476114444679
Position 2489: 0.005187205824928037
Position 416: 0.005182432828214517
Position 11454: 0.00455862442020678
Position 1239: 0.004238631531602434
Position 2596: 0.00413464673835704
Position 441: 0.0032357736218222126
Position 1525: 0.0029102161069668184
Position 2022: 0.002731664289066252
Position 1366: 0.0022402999647646205
Position 2054: 0.0021500841677291587
