Gene = Sfp77F
index = 1494
Annotated 5SS: [98]
Annotated 3SS: [154]
SMsplice 5SS: [98]
SMsplice 3SS: [154]
top_k =  500
Partition function (log Z): -5.887467857860789

Sorted 5' Splice Sites (High to Low Probability):
Position 98: 0.967798191796318
Position 345: 0.17074659891850727
Position 431: 0.11988867223131981
Position 403: 0.11195886974166112
Position 461: 0.10051967494385745
Position 421: 0.04024754564545485
Position 241: 0.03740072704590109
Position 692: 0.0038782804626969185
Position 304: 0.0019981754176999185
Position 425: 0.0016857285269709253
Position 824: 0.0012156104079996761
Position 349: 0.0008300043876774775
Position 208: 0.0005604781370684813
Position 245: 0.0005596215617047338
Position 133: 0.0005301292166003288
Position 828: 0.00033585220198029147
Position 753: 0.0003212182199754415
Position 778: 0.00018177052242515727
Position 838: 0.000174622439437785
Position 265: 0.00014887821531408846
Position 106: 9.77299896735017e-05
Position 765: 7.572052523423303e-05
Position 543: 7.570680529475022e-05
Position 916: 7.285500343353931e-05
Position 274: 5.1676537144756216e-05
Position 158: 4.670208592114407e-05
Position 28: 4.599749659866308e-05
Position 33: 3.4735204272191554e-05
Position 505: 2.14435481211718e-05
Position 465: 1.3507973923172954e-05
Position 407: 1.3312675290844977e-05
Position 854: 1.2399297419209259e-05
Position 224: 1.0996305072854204e-05
Position 154: 6.351937360291571e-06
Position 206: 1.2515333508298581e-06
Position 31: 6.499106363192147e-07
Position 435: 7.909334725105062e-08
Position 508: 4.869702291615363e-08
Position 490: 3.861567902586262e-09
Position 613: 2.4798555470605955e-09
Position 5: 4.498831181389965e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 154: 0.9455499194812013
Position 525: 0.4964493533208999
Position 622: 0.03655621110986264
Position 494: 0.03277946234777274
Position 809: 0.014167053365775643
Position 673: 0.011226344764344266
Position 185: 0.005973439913905633
Position 403: 0.0031169792445429004
Position 236: 0.0027481160187641396
Position 911: 0.002739256303484994
Position 583: 0.002585351086608674
Position 503: 0.001260752398438587
Position 765: 0.0008667547790243855
Position 530: 0.0008533802531587029
Position 854: 0.000735422011271139
Position 216: 0.00048587295860158384
Position 546: 0.00045744872889266747
Position 658: 0.00043936147906283154
Position 1083: 0.0004139305015896855
Position 431: 0.00034313560056876795
Position 1072: 0.00033756281840826506
Position 508: 0.00031311220826631873
Position 557: 0.00028996675625493265
Position 265: 0.00018590581520067787
Position 162: 0.0001259637589342756
Position 319: 0.0001229703221588006
Position 286: 0.00010777515261330072
Position 1132: 9.209689370379351e-05
Position 329: 7.174446831140402e-05
Position 1046: 6.172947204427062e-05
Position 368: 4.011690340078337e-05
Position 303: 2.6200952999567654e-05
Position 641: 2.292184561084964e-05
Position 980: 1.1417583312983147e-05
Position 241: 2.572279460265919e-06
Position 244: 1.7950613976748276e-06
Position 75: 4.1482779824876386e-07
Position 336: 5.38419080061669e-09
Position 90: 1.7480697714198633e-09
Position 133: 1.3966624128583836e-09
Position 102: 1.03671490810019e-10
Position 49: 2.4626480614687203e-11
Position 53: 3.609621175637474e-12
Position 59: 2.517141301731213e-12
