Gene = Strip
index = 1528
Annotated 5SS: [ 173 4172 5962]
Annotated 3SS: [3269 4234 6028]
SMsplice 5SS: [ 173 4172]
SMsplice 3SS: [3269 4234]
top_k =  500
Partition function (log Z): -6.304745729376929

Sorted 5' Splice Sites (High to Low Probability):
Position 173: 0.9408310502125007
Position 4172: 0.9363451966720362
Position 4509: 0.38262816553614587
Position 5962: 0.37897494473327487
Position 2985: 0.04520462634571835
Position 6385: 0.03834656965617601
Position 240: 0.032340728342910074
Position 211: 0.023378443202432948
Position 4053: 0.022469508456623738
Position 2932: 0.01839408540171387
Position 2715: 0.01589732673004382
Position 5152: 0.010924313832462264
Position 2960: 0.010493650939514713
Position 5346: 0.008825488182928876
Position 6404: 0.008704037112585852
Position 5369: 0.008518559078383593
Position 5463: 0.00829781717976443
Position 1045: 0.00825461894692815
Position 2138: 0.0064611991347187205
Position 4473: 0.005500927517634906
Position 4749: 0.005422362871158561
Position 4950: 0.0047898591868385685
Position 5096: 0.004337501577943862
Position 6392: 0.0037733824969982043
Position 1605: 0.003541183038223047
Position 6076: 0.0032319415700513016
Position 251: 0.0031800285516418664
Position 1723: 0.002935053923061339
Position 6481: 0.0029163403772246104
Position 1991: 0.0026950341107202006
Position 6007: 0.0026705008321320743
Position 1126: 0.0019613520382328175
Position 4565: 0.0019148547672519695
Position 1028: 0.001677285415132741
Position 6082: 0.0016171557524314209
Position 5839: 0.0014942164160183526
Position 4306: 0.0014180778603770858
Position 4649: 0.001410759360119809
Position 4930: 0.0013421677366859189
Position 2151: 0.0012423339835340107
Position 6252: 0.0011743857842421216
Position 3320: 0.0009930341461035243
Position 5402: 0.000643606697364067
Position 2744: 0.0005757524225661617
Position 1784: 0.00022825379344034013
Position 4367: 0.00022823687449249232
Position 299: 8.954410888537906e-05
Position 4579: 5.284002839912329e-05
Position 579: 4.170751122163858e-05
Position 1034: 3.417675884523879e-05
Position 863: 3.37287031547154e-05
Position 2558: 2.316731621229292e-05
Position 944: 1.947774044309098e-05
Position 850: 1.8953979385381713e-05
Position 793: 1.3230435777798927e-05
Position 3966: 9.989388695933262e-06
Position 2264: 6.561572830459071e-06
Position 4556: 6.271044619213678e-06
Position 283: 6.161658065734812e-06
Position 839: 3.95919742842546e-06
Position 629: 2.929476007571413e-06
Position 526: 2.800080813784312e-06
Position 4668: 2.295499713885786e-06
Position 489: 1.602223300331558e-06
Position 853: 1.550044082060947e-06
Position 248: 1.54430829062987e-06
